Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	Amino sugar and nucleotide sugar metabolism	0.7002865661760742	5.36396665836775	0.0	0.0	0.0	43/48	25.52%	GFUS;HEXB;CYB5R3;GFPT1;UAP1;CYB5R1;UGP2;HK1;GALE;UGDH;GPI;HK2;HKDC1;CMAS;PMM1;GMDS;UXS1;GMPPA;NANS;GMPPB;GNPDA1;RENBP;PGM1;NAGK;FCSK;CHIT1;NPL;PGM3;PGM2;GNE;GALK1;GNPNAT1;GALT;MPI;FPGT;PMM2;HK3;AMDHD2;GNPDA2;NANP;CYB5R4;HEXA;UAP1L1	KEGG_2021_Human	False
prerank	Reactive Oxygen Species Pathway	0.733058059921537	5.149971572086406	0.0	0.0	0.0	45/48	24.09%	FTL;PRDX4;TXN;PRDX1;PRDX6;GPX4;JUNB;PDLIM1;MGST1;NQO1;SOD1;NDUFB4;LAMTOR5;PRDX2;GPX3;NDUFA6;SELENOS;CAT;PTPA;GSR;HMOX2;PRNP;TXNRD1;STK25;NDUFS2;G6PD;OXSR1;SBNO2;ABCC1;ATOX1;GCLM;GLRX;LSP1;PFKP;SCAF4;TXNRD2;CDKN2D;FES;MSRA;GLRX2;ERCC2;EGLN2;HHEX;GCLC;MBP	MSigDB_Hallmark_2020	False
prerank	Mitophagy	0.6963847760567209	4.89931781012044	0.0	0.0	0.0	61/68	26.24%	UBC;RPS27A;UBB;ATF4;TOMM7;JUN;CITED2;GABARAPL1;UBA52;RRAS;FIS1;SQSTM1;RAB7A;GABARAPL2;HIF1A;BNIP3L;TAX1BP1;CALCOCO2;BNIP3;RHOT2;NBR1;NRAS;BCL2L1;TFE3;RELA;SP1;SRC;FUNDC1;HRAS;KRAS;TBC1D17;BECN1;MFN1;ULK1;OPTN;MAPK9;MFN2;EIF2AK3;PGAM5;RHOT1;TP53;RRAS2;FOXO3;TBC1D15;ATG5;ATG9A;MAPK8;AMBRA1;BCL2L13;RAB7B;CSNK2B;E2F1;CSNK2A1;MITF;USP30;TFEB;USP15;PINK1;USP8;CSNK2A2;TBK1	KEGG_2021_Human	False
prerank	Vibrio cholerae infection	0.6804346410691219	4.545961711399127	0.0	0.0	0.0	31/50	12.30%	ACTB;ACTG1;GNAS;ARF1;ATP6V0E1;KDELR1;PDIA4;SEC61A1;KDELR2;SEC61B;ATP6V1F;ATP6AP1;ATP6V0B;KDELR3;ATP6V1G1;SEC61G;TCIRG1;ATP6V1E1;KCNQ1;ATP6V1A;ATP6V1B2;ERO1A;ATP6V0D1;SLC12A2;ATP6V1D;TJP1;ATP6V0A1;ATP6V1H;ATP6V1C1;PRKCA;PLCG1	KEGG_2021_Human	False
prerank	Renal cell carcinoma	0.6597780985072187	4.538689587457678	0.0	0.0	0.0	63/69	27.82%	ELOB;RAC1;EPAS1;JUN;ELOC;VEGFA;CDKN1A;HIF1A;FH;ARAF;MAPK3;GRB2;MAPK1;RBX1;PAK2;NRAS;CDC42;CRK;TFE3;RAPGEF1;PTPN11;TGFB1;RAP1A;PRCC;CRKL;HRAS;MAP2K1;KRAS;PAK1;ARNT;MAP2K2;ETS1;VHL;AKT1;SLC2A1;MET;EP300;PAK4;PAK3;CREBBP;SOS1;CUL2;PDGFB;RAF1;ARNT2;PIK3CB;SOS2;AKT2;PIK3R1;BAD;PIK3R3;PIK3CD;EGLN2;TGFA;RAP1B;PAK6;AKT3;PIK3CA;EGLN3;FLCN;GAB1;BRAF;TGFB3	KEGG_2021_Human	False
prerank	Leishmaniasis	0.6832027509210011	4.45646751388472	0.0	0.0	0.0	51/74	20.66%	HLA-DRA;HLA-DRB1;EEF1A1;MARCKSL1;FOS;HLA-DMA;HLA-DRB5;JUN;HLA-DPA1;NFKBIA;CYBA;IRAK1;EEF1A2;HLA-DPB1;C3;ITGB1;IFNGR1;FCGR3A;MAPK3;HLA-DQA2;MAPK13;STAT1;MAPK1;HLA-DQA1;CYBB;RELA;MYD88;TGFB1;IFNGR2;NFKB1;TAB2;NFKBIB;HLA-DMB;ITGB2;HLA-DQB1;JAK1;MAPK14;HLA-DOA;PTPN6;ELK1;FCGR2A;TAB1;NCF2;PTGS2;TLR2;IRAK4;JAK2;NCF4;MAP3K7;IL1B;ITGAM	KEGG_2021_Human	False
prerank	Valine, leucine and isoleucine degradation	0.6732993503670269	4.326157158621559	0.0	0.0	0.0	37/48	21.06%	ECHS1;HADHA;HSD17B10;HADHB;MCCC2;HMGCS2;ALDH3A2;ALDH2;HIBADH;MCCC1;ALDH9A1;DLD;MMUT;MCEE;ACADS;ACADM;IVD;ALDH6A1;HMGCL;ACAA1;BCAT2;AUH;ACAA2;HMGCS1;ACADSB;ALDH1B1;HADH;ACAT1;IL4I1;HIBCH;ALDH7A1;ACAT2;ABAT;EHHADH;BCKDHB;ACAD8;PCCB	KEGG_2021_Human	False
prerank	Th1 and Th2 cell differentiation	0.6167914726395362	4.278450462739692	0.0	0.0	0.0	68/90	26.50%	HLA-DRA;HLA-DRB1;FOS;HLA-DMA;HLA-DRB5;JUN;HLA-DPA1;NFKBIA;HLA-DPB1;STAT6;IFNGR1;MAPK3;HLA-DQA2;IL2RG;MAPK13;IL4R;STAT1;MAPK1;HLA-DQA1;CD4;RELA;PPP3CB;RBPJ;IFNGR2;IKBKB;PPP3CA;NFKB1;NOTCH3;NFKBIB;HLA-DMB;HLA-DQB1;JAK1;PPP3R1;MAPK14;TYK2;STAT5B;MAML1;HLA-DOA;MAPK9;NFKBIE;CD3D;PLCG1;CHUK;JAG2;NOTCH2;CD3E;PPP3CC;NOTCH1;STAT5A;MAPK8;JAK2;MAF;IL2RB;MAML3;JAK3;LCK;DLL4;MAPK11;RUNX3;ZAP70;JAG1;CD3G;CD247;MAML2;IL2RA;HLA-DOB;MAPK12;NFATC3	KEGG_2021_Human	False
prerank	Citrate cycle (TCA cycle)	0.7139387048836321	4.24256960535813	0.0	0.0	0.0	25/30	15.74%	SUCLG2;IDH1;MDH2;DLST;SDHC;ACLY;IDH2;FH;MDH1;IDH3B;SDHB;CS;IDH3G;SUCLG1;OGDH;DLD;PDHA1;PC;ACO1;SDHD;PCK1;PDHB;ACO2;PCK2;DLAT	KEGG_2021_Human	False
prerank	Arginine and proline metabolism	0.5518323553542893	4.125034182168569	0.0	0.0	0.0	24/50	11.64%	ODC1;SAT1;OAT;CKB;AOC1;ALDH18A1;MAOA;P4HA1;GOT1;SMS;SAT2;LAP3;ALDH3A2;SRM;ALDH2;CNDP2;GOT2;PYCR3;ALDH9A1;PYCR1;PYCR2;AMD1;PRODH;P4HA2	KEGG_2021_Human	False
