Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	Chronic myeloid leukemia	0.7134657375524207	5.660964465312519	0.0	0.0	0.0	63/76	20.17%	CCND1;NFKBIA;GRB2;BCL2L1;HDAC1;TGFB1;GADD45A;ARAF;CRK;MAP2K2;TGFBR2;CDKN1B;MAP2K1;BAX;CDKN1A;RELA;NRAS;MAPK3;MAPK1;TP53;GADD45B;SHC1;RUNX1;CRKL;HRAS;PTPN11;KRAS;NFKB1;CTBP1;SHC2;CDK4;TGFBR1;ABL1;IKBKB;MYC;GADD45G;AKT1;STAT5B;RB1;HDAC2;PIK3CD;BAD;BAK1;SOS2;STAT5A;AKT2;MECOM;PIK3CB;GAB2;E2F1;E2F3;SMAD3;PIK3R3;CTBP2;SMAD4;SOS1;BCR;RAF1;CHUK;DDB2;PIK3R1;CDKN2A;CBL	KEGG_2021_Human	False
prerank	Pertussis	0.6589153359767191	5.642973431312488	0.0	0.0	0.0	52/76	20.63%	SFTPA1;SFTPA2;C3;C1QA;C1QB;C1QC;RHOA;CD14;CFL1;CALM2;FOS;GNAI2;MAPK13;JUN;CALM1;IRAK1;ITGB2;CALM3;LY96;C1S;C1R;MYD88;SERPING1;CXCL8;IRF3;RELA;MAPK3;MAPK1;C2;MAPK14;GNAI3;CASP3;CASP1;PYCARD;ITGB1;NFKB1;ITGAM;C4BPA;CASP7;TICAM1;IRF1;CXCL6;IRF8;MAPK9;ITGA5;IL1B;IRAK4;CFL2;MAPK11;CXCL5;NOD1;C4B	KEGG_2021_Human	False
prerank	Cholesterol Homeostasis	0.7088227012798571	5.632614967048436	0.0	0.0	0.0	64/74	23.54%	ACTG1;S100A11;LGALS3;MAL2;ANXA5;ERRFI1;SCD;LGMN;CTNNB1;CXCL16;GUSB;PMVK;TNFRSF12A;PNRC1;ECH1;ALCAM;CD9;CLU;FDFT1;PLAUR;TM7SF2;FASN;PLSCR1;ALDOC;ETHE1;ATF5;STX5;NFIL3;NSDHL;FBXO6;SREBF2;DHCR7;TP53INP1;EBP;ACSS2;PPARG;LDLR;NIBAN1;TMEM97;MVD;SEMA3B;LSS;IDI1;LPL;SC5D;ATF3;FDPS;HMGCR;ANTXR2;PCYT2;ACAT2;CHKA;SQLE;GPX8;TRIB3;ABCA2;HMGCS1;PDK3;JAG1;HSD17B7;STARD4;CPEB2;FABP5;MVK	MSigDB_Hallmark_2020	False
prerank	DNA Repair	0.7096036037577799	5.144607839958915	0.0	0.0	0.0	125/149	20.60%	GPX4;EDF1;DAD1;BCAP31;BCAM;SEC61A1;APRT;TMED2;SDCBP;CETN2;ARL6IP1;GUK1;IMPDH2;PCNA;RPA2;SRSF6;POLR2G;GTF2F1;POLR2J;NME4;SURF1;NME3;POLR2C;POLR2E;SF3A3;HPRT1;NELFE;VPS28;ALYREF;SSRP1;CANT1;RALA;POLR2K;NELFB;CDA;TSG101;TAF13;POLR2A;POLE4;DDB1;GMPR2;TAF9;NCBP2;SUPT5H;ITPA;MPG;RFC2;DGUOK;MRPL40;AK3;POLR2H;NUDT21;NELFCD;TP53;ADRM1;MPC2;DUT;HCLS1;EIF1B;TAF12;RPA3;AK1;RBX1;GTF2B;USP11;DCTN4;GTF3C5;NT5C3A;GTF2A2;FEN1;ELOA;ZWINT;RRM2B;POLR3GL;POLB;POLR2D;PNP;CCNO;ERCC1;COX17;NUDT9;SMAD5;SNAPC5;NT5C;POLR1D;NFX1;AAAS;VPS37B;POLR3C;ERCC3;GTF2H1;SAC3D1;STX3;TAF1C;TAF6;RNMT;CLP1;CSTF3;UPF3B;GTF2H3;CMPK2;AGO4;GSDME;POLD1;TARBP2;RFC4;RAE1;NME1;ERCC2;POLR1C;TK2;SNAPC4;POLL;RFC3;DDB2;POLD3;GTF2H5;ADCY6;LIG1;ELL;VPS37D;UMPS;POM121;XPC;DGCR8	MSigDB_Hallmark_2020	False
prerank	Legionellosis	0.6729208938071649	5.000600544199776	0.0	0.0	0.0	48/57	25.15%	EEF1A1;C3;HSPA8;ARF1;CD14;RAB1A;NFKBIA;HSPD1;CXCL1;ITGB2;VCP;RAB1B;HSPA1A;CXCL2;MYD88;CYCS;CXCL8;TLR2;CLK1;HSPA1B;SAR1A;RELA;BNIP3;CASP3;HSF1;NFKB2;CASP1;PYCARD;IL18;NFKB1;ITGAM;CASP7;SAR1B;SEC22B;CASP8;HSPA6;BCL2L13;IL1B;CXCL3;CLK4;CASP9;TLR5;EEF1A2;HBS1L;APAF1;TNF;NLRC4;IL6	KEGG_2021_Human	False
prerank	Reactive Oxygen Species Pathway	0.7324666243231102	4.867875406751726	0.0	0.0	0.0	45/48	23.62%	FTL;TXN;GPX4;PRDX1;PRDX6;PRDX4;PRDX2;SOD1;PDLIM1;JUNB;NDUFB4;MGST1;GPX3;GSR;CAT;NDUFA6;PRNP;PTPA;G6PD;LAMTOR5;SBNO2;TXNRD1;HMOX2;STK25;SELENOS;NDUFS2;PFKP;GLRX;NQO1;OXSR1;FES;GCLM;LSP1;ABCC1;ATOX1;SCAF4;HHEX;ERCC2;GCLC;CDKN2D;MSRA;IPCEF1;GLRX2;MBP;TXNRD2	MSigDB_Hallmark_2020	False
prerank	TGF-beta Signaling	0.7506734480739259	4.859084781350166	0.0	0.0	0.0	47/54	18.50%	RHOA;CDH1;JUNB;CTNNB1;ID1;ENG;PPP1CA;IFNGR2;HDAC1;TGFB1;FURIN;CDK9;FKBP1A;RAB31;UBE2D3;ID2;PPP1R15A;ID3;KLF10;SKI;SMURF1;SPTBN1;NCOR2;SLC20A1;TGFBR1;XIAP;LTBP2;SMURF2;ACVR1;TGIF1;TJP1;SKIL;MAP3K7;PMEPA1;THBS1;BMPR2;SMAD7;CDKN1C;HIPK2;FNTA;SERPINE1;SMAD3;TRIM33;WWTR1;SMAD1;ARID4B;PPM1A	MSigDB_Hallmark_2020	True
prerank	Myc Targets V2	0.7095889573378444	4.800646255838812	0.0	0.0	0.0	53/57	25.33%	NPM1;CBX3;HSPD1;SRM;GNL3;NOLC1;FARSA;HK2;MRTO4;PA2G4;MAP3K6;EXOSC5;RRP9;IMP4;DCTPP1;MYBBP1A;TFB2M;TBRG4;PES1;BYSL;MCM4;DDX18;NOP56;WDR43;HSPE1;MPHOSPH10;CDK4;TMEM97;UNG;MYC;SLC29A2;PPRC1;AIMP2;RABEPK;NIP7;NOC4L;MCM5;GRWD1;NOP16;RRP12;SUPV3L1;TCOF1;NDUFAF4;WDR74;LAS1L;PRMT3;RCL1;DUSP2;PUS1;PLK1;SLC19A1;SORD;UTP20	MSigDB_Hallmark_2020	True
prerank	Bacterial invasion of epithelial cells	0.6657869669148812	4.784582530457495	0.0	0.0	0.0	55/77	19.14%	ACTB;ACTG1;RAC1;RHOA;CDH1;ACTR2;MET;CTNNA1;FN1;CTNNB1;SEPTIN2;ARPC3;CTTN;CLTA;CLTC;ARPC2;RHOG;CLTB;ARPC4;WASL;SEPTIN9;CRK;WASF2;ELMO3;ACTR3;ARPC1A;CAV1;CD2AP;ARPC5;VCL;ARPC5L;CDC42;DNM2;HCLS1;SHC1;CAV2;CRKL;ITGB1;SRC;SHC2;PTK2;MAD2L2;ELMO2;SEPTIN11;PIK3CD;BCAR1;SEPTIN6;ITGA5;PIK3CB;PIK3R3;DOCK1;PXN;WASF1;SEPTIN8;PIK3R1	KEGG_2021_Human	False
prerank	Mitophagy	0.6954629561032757	4.696635119379559	0.0	0.0	0.0	61/68	26.85%	RPS27A;UBC;UBB;UBA52;TOMM7;HIF1A;FIS1;BNIP3L;JUN;ATF4;TAX1BP1;BCL2L1;RRAS;RAB7A;CITED2;GABARAPL2;SQSTM1;NBR1;FUNDC1;TFE3;RELA;RAB7B;NRAS;RHOT2;TP53;OPTN;BNIP3;HRAS;MFN2;CALCOCO2;KRAS;TBC1D17;SRC;SP1;GABARAPL1;BECN1;RRAS2;ATG5;RHOT1;MFN1;MAPK9;PGAM5;FOXO3;BCL2L13;E2F1;ULK1;AMBRA1;ATG9A;TBC1D15;EIF2AK3;PINK1;MRAS;CSNK2B;TFEB;MAPK8;CSNK2A2;USP30;USP15;MITF;CSNK2A1;USP8	KEGG_2021_Human	False
