Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	Legionellosis	0.6466233097256714	5.99471500460785	0.0	0.0	0.0	33/57	13.93%	C3;EEF1A1;ARF1;HSPA1A;HSPA8;HSPA1B;HSPD1;HSPA6;RAB1A;CYCS;NFKBIA;RAB1B;VCP;RELA;CLK1;HSF1;CASP3;NFKB2;SAR1A;SEC22B;BCL2L13;BNIP3;CD14;CASP7;SAR1B;NFKB1;CXCL8;PYCARD;CASP8;MYD88;CASP9;ITGB2;HBS1L	KEGG_2021_Human	False
prerank	Mitophagy	0.7137230255390674	5.1173745583711225	0.0	0.0	0.0	56/68	21.54%	UBC;ATF4;RPS27A;UBB;UBA52;TOMM7;JUN;FIS1;TAX1BP1;RAB7A;BCL2L1;RELA;GABARAPL1;TFE3;PGAM5;SQSTM1;RHOT2;FUNDC1;SP1;ULK1;CITED2;NBR1;GABARAPL2;NRAS;OPTN;HIF1A;HRAS;RRAS;EIF2AK3;KRAS;BNIP3L;BCL2L13;TBC1D17;BNIP3;TBC1D15;CALCOCO2;MFN2;E2F1;CSNK2A1;MFN1;SRC;FOXO3;ATG5;BECN1;ATG9A;RHOT1;CSNK2B;MAPK9;TP53;AMBRA1;USP15;USP30;RRAS2;MAPK8;USP8;TBK1	KEGG_2021_Human	False
prerank	Adherens junction	0.6301659667120236	4.667361497245072	0.0	0.0	0.0	53/71	23.77%	ACTB;ACTG1;RAC1;RHOA;ACTN4;CDH1;ACP1;IQGAP1;CTNNA1;NECTIN2;PTPRF;MAPK3;NECTIN4;ERBB2;WASF2;WASL;MAPK1;PTPN1;YES1;IGF1R;CTNNB1;LMO7;PTPN6;INSR;MET;PARD3;CDC42;TJP1;CSNK2A1;EP300;SRC;TGFBR2;VCL;PTPRM;RAC2;ACTN1;AFDN;SNAI1;MAP3K7;CSNK2B;NLK;SMAD3;CREBBP;EGFR;SMAD4;TGFBR1;WAS;SSX2IP;TCF7L2;FYN;CSNK2A2;PTPRJ;FARP2	KEGG_2021_Human	False
prerank	Reactive Oxygen Species Pathway	0.752690169584679	4.519049942881724	0.0	0.0	0.0	38/48	16.24%	FTL;TXN;GPX4;PRDX6;PRDX4;PDLIM1;NDUFB4;PRDX1;MGST1;PRDX2;SOD1;JUNB;SBNO2;TXNRD1;SELENOS;NDUFA6;FES;PRNP;LAMTOR5;PTPA;NQO1;NDUFS2;G6PD;PFKP;CDKN2D;GSR;GPX3;CAT;STK25;HMOX2;ABCC1;TXNRD2;SCAF4;GLRX2;ATOX1;OXSR1;GCLM;ERCC2	MSigDB_Hallmark_2020	False
prerank	Bladder cancer	0.7313103356251207	4.506390382312541	0.0	0.0	0.0	31/41	19.10%	TYMP;CDH1;MAPK3;CDKN1A;MAP2K2;CCND1;MAP2K1;ERBB2;ARAF;DAPK3;CDK4;MAPK1;NRAS;MMP2;CDKN2A;HRAS;RASSF1;KRAS;THBS1;E2F1;CXCL8;RB1;VEGFA;RAF1;MDM2;SRC;DAPK1;E2F3;TP53;EGFR;HBEGF	KEGG_2021_Human	False
prerank	Bacterial invasion of epithelial cells	0.6345827336750074	4.414258188780432	0.0	0.0	0.0	51/77	18.01%	ACTB;ACTG1;RAC1;RHOA;ACTR2;SEPTIN2;ARPC3;SHC1;CTTN;CDH1;FN1;CLTC;CTNNA1;CLTA;ITGB1;ARPC2;ACTR3;CD2AP;WASF2;ARPC4;WASL;CLTB;SEPTIN9;ARPC5L;ELMO3;CRKL;RHOG;ARPC5;CRK;DNM2;CTNNB1;ARPC1A;ITGA5;MET;CDC42;SRC;VCL;PTK2;BCAR1;PIK3R3;HCLS1;CAV2;MAD2L2;SHC2;ELMO1;SEPTIN8;SEPTIN6;SEPTIN11;DOCK1;CAV1;ELMO2	KEGG_2021_Human	False
prerank	Nucleotide excision repair	0.6670847449029491	4.377510900612921	0.0	0.0	0.0	36/46	19.48%	PCNA;RAD23B;RAD23A;POLD2;DDB1;CETN2;POLE3;RFC2;RBX1;RPA2;CDK7;CUL4A;ERCC1;RPA1;POLE4;RFC3;ERCC3;LIG1;RPA3;RFC4;GTF2H3;CUL4B;POLD1;RFC5;POLD3;RFC1;DDB2;POLD4;XPA;ERCC2;POLE2;CCNH;POLE;GTF2H1;MNAT1;XPC	KEGG_2021_Human	False
prerank	Ferroptosis	0.6777359181178023	4.324038582137191	0.0	0.0	0.0	32/41	19.97%	FTL;SAT1;CP;GPX4;SLC3A2;HMOX1;FTH1;ACSL1;TFRC;ACSL3;PRNP;VDAC2;MAP1LC3B;PCBP2;VDAC3;NCOA4;SAT2;SLC11A2;GSS;MAP1LC3A;SLC40A1;SLC7A11;SLC39A14;ATG5;STEAP3;PCBP1;TF;GCLM;SLC39A8;TP53;CYBB;GCLC	KEGG_2021_Human	False
prerank	Amino sugar and nucleotide sugar metabolism	0.6704831082366178	4.264186007959724	0.0	0.0	0.0	38/48	23.30%	UAP1;GFUS;GFPT1;UGDH;GPI;HK2;GNPNAT1;CMAS;PGM1;UGP2;CYB5R1;GMPPA;GALE;CYB5R3;NANS;GMDS;HEXB;PGM3;GMPPB;NAGK;HK1;GNPDA1;UXS1;GALK1;PGM2;NANP;MPI;UAP1L1;PMM1;FCSK;RENBP;GNE;FPGT;NPL;HEXA;GALT;PMM2;AMDHD2	KEGG_2021_Human	False
prerank	Vasopressin-regulated water reabsorption	0.5922035033698781	4.23587869562307	0.0	0.0	0.0	29/44	15.02%	AQP3;RAB11B;DYNLL1;GNAS;CREB3;RAB11A;RAB5B;ARHGDIA;CREB3L2;ARHGDIB;DYNC1I2;DCTN2;RAB5A;CREB3L1;NSF;CREB3L4;STX4;DYNLL2;VAMP2;DYNC1LI1;RAB5C;DYNC1LI2;DCTN1;DCTN4;PRKACA;DYNC1H1;ADCY6;DYNC2LI1;DCTN5	KEGG_2021_Human	False
prerank	Cholesterol Homeostasis	0.7286277545642161	4.13617162381349	0.0	0.0	0.0	55/74	14.21%	S100A11;ACTG1;ANXA5;LGALS3;SCD;TRIB3;IDI1;FASN;MAL2;DHCR7;PMVK;CD9;ERRFI1;ECH1;EBP;STX5;FDPS;ATF5;SREBF2;LGMN;NFIL3;LDLR;GUSB;PNRC1;SQLE;MVD;ACSS2;ALCAM;HMGCS1;NIBAN1;ATF3;TNFRSF12A;FDFT1;GPX8;TM7SF2;CXCL16;PLSCR1;CTNNB1;NSDHL;LSS;HMGCR;FADS2;TMEM97;ACAT2;CLU;CHKA;FBXO6;TP53INP1;SC5D;PLAUR;MVK;ETHE1;PCYT2;STARD4;HSD17B7	MSigDB_Hallmark_2020	False
prerank	Base excision repair	0.7363032543735502	4.133908957179562	0.0	0.0	0.0	27/33	17.65%	APEX1;PCNA;POLD2;HMGB1;FEN1;XRCC1;POLE3;MBD4;PARP4;APEX2;PARP1;POLE4;MPG;LIG1;TDG;PARP2;UNG;SMUG1;POLD1;POLD3;NTHL1;POLD4;PARP3;POLB;POLE2;POLL;POLE	KEGG_2021_Human	False
