Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	Bacterial invasion of epithelial cells	0.6654244058518706	5.799070684436781	0.0	0.0	0.0	51/77	16.03%	ACTB;ACTG1;ACTR2;RAC1;RHOA;ARPC3;CDH1;CTNNA1;SEPTIN2;CTNNB1;CLTA;CLTC;RHOG;CTTN;ARPC2;CLTB;FN1;ACTR3;SHC1;CD2AP;ARPC5;ARPC5L;ELMO3;ARPC4;ITGB1;SEPTIN9;CRK;WASL;HCLS1;WASF2;CRKL;CDC42;ITGA5;DNM2;SRC;SHC2;ELMO2;ARPC1A;CAV1;MAD2L2;PIK3CB;PTK2;VCL;WASF1;BCAR1;SEPTIN11;SEPTIN8;DOCK1;SEPTIN6;PIK3R3;PXN	KEGG_2021_Human	False
prerank	Pancreatic cancer	0.695006372097137	5.367610923861252	0.0	0.0	0.0	67/76	25.87%	RAC1;STAT1;GADD45A;GADD45B;ERBB2;CCND1;TGFB1;CDKN1A;BAX;BCL2L1;STAT3;RAC2;GADD45G;ARAF;VEGFA;EGFR;RALA;RALB;KRAS;CDK4;MAP2K1;MAPK3;MAPK1;RELA;CDC42;JAK1;AKT1;NFKB1;TP53;RALBP1;E2F1;BAK1;TGFBR2;PIK3CB;E2F3;RB1;MAPK9;AKT2;TGFBR1;SMAD3;BAD;RPS6KB2;PIK3R3;MTOR;RAD51;SMAD4;PLD2;TGFA;PIK3CD;RAC3;RAF1;RPS6KB1;IKBKB;CHUK;DDB2;CASP9;TGFB3;ARHGEF6;PIK3R1;SMAD2;E2F2;BRCA2;MAPK8;EGF;BRAF;IKBKG;POLK	KEGG_2021_Human	False
prerank	TNF signaling pathway	0.6891567484876139	5.341010433884709	0.0	0.0	0.0	89/112	24.43%	FOS;PTGS2;JUNB;ICAM1;CEBPB;NFKBIA;SOCS3;LIF;JUN;ATF4;CXCL10;BCL3;MMP14;CCL2;CREB3;TNFRSF1A;MAPK13;CREB3L1;BIRC3;TRADD;CCL5;ATF6B;CSF1;TNFRSF1B;MMP9;MAP2K1;MAPK3;MAPK1;MAP2K3;PGAM5;CREB3L2;RELA;TAB2;RPS6KA4;CASP3;CXCL2;CREB3L4;ATF2;MAP3K5;AKT1;NFKB1;MAPK14;MAP2K7;DNM1L;TRAF2;CASP10;BIRC2;PIK3CB;CFLAR;TNFAIP3;ITCH;CASP8;MAPK9;AKT2;IRF1;MAP3K7;MAP2K4;IL6;PIK3R3;RIPK1;CX3CL1;BAG4;TAB1;DAB2IP;MAP3K8;RIPK3;PIK3CD;CXCL1;CREB1;CASP7;MLKL;FAS;IKBKB;MAPK11;JAG1;CHUK;SELE;TAB3;VCAM1;TRAF3;VEGFC;EDN1;TRAF1;CCL20;PIK3R1;CSF2;TRAF5;MAPK8;IL1B	KEGG_2021_Human	False
prerank	Myc Targets V2	0.7717716356778334	5.18323532538693	0.0	0.0	0.0	53/57	19.83%	NPM1;HSPD1;CBX3;SRM;FARSA;PA2G4;NOLC1;HK2;DCTPP1;IMP4;GNL3;NOC4L;UNG;EXOSC5;TFB2M;PES1;NOP56;MRTO4;CDK4;MYBBP1A;MCM5;HSPE1;BYSL;DDX18;DUSP2;MCM4;MPHOSPH10;WDR43;GRWD1;TBRG4;RRP9;NIP7;AIMP2;MAP3K6;TCOF1;PPRC1;MYC;TMEM97;SLC29A2;RABEPK;PLK1;PUS1;NDUFAF4;NOP16;WDR74;LAS1L;RRP12;UTP20;PLK4;SUPV3L1;PRMT3;SLC19A1;RCL1	MSigDB_Hallmark_2020	True
prerank	Viral myocarditis	0.6972780918119005	5.173000965838529	0.0	0.0	0.0	37/57	13.04%	ACTB;HLA-DRA;HLA-DRB1;ACTG1;HLA-B;HLA-C;HLA-A;HLA-E;HLA-DRB5;HLA-DQB1;HLA-DPA1;ICAM1;HLA-DMA;HLA-DPB1;RAC1;EIF4G2;EIF4G1;CD55;HLA-DQA1;CCND1;ITGB2;RAC2;BID;CYCS;HLA-DMB;HLA-F;CD40;DAG1;ABL1;CASP3;HLA-DOA;HLA-DQA2;CAV1;EIF4G3;PRF1;CASP8;CD86	KEGG_2021_Human	False
prerank	Interferon Alpha Response	0.829501815281385	5.1698851332032225	0.0	0.0	0.0	88/97	13.74%	CD74;ISG15;IFITM3;LGALS3BP;HLA-C;B2M;LY6E;BST2;IFITM1;IFI27;IFITM2;PSME1;LAMP3;NCOA7;ADAR;WARS1;TXNIP;UBE2L6;PSME2;IFI44;IFIT3;MX1;PSMB8;IFI35;IRF7;LAP3;CXCL10;TAP1;PSMB9;OAS1;STAT2;CD47;PSMA3;PLSCR1;PARP14;TRIM26;TRAFD1;TRIM21;HERC6;CNP;IFIH1;PARP9;IFIT2;C1S;CSF1;OGFR;UBA7;NMI;USP18;IL4R;TRIM14;SAMD9L;GBP2;ELF1;EIF2AK2;PARP12;OASL;RSAD2;PNPT1;HELZ2;SLC25A28;TENT5A;MOV10;IRF2;NUB1;CMPK2;RTP4;SAMD9;DDX60;CASP1;MVB12A;DHX58;IFI44L;EPSTI1;CXCL11;ISG20;CMTR1;SP110;TDRD7;GBP4;BATF2;RIPK2;TRIM5;CASP8;TMEM140;PROCR;IRF1;GMPR	MSigDB_Hallmark_2020	True
prerank	Epithelial cell signaling in Helicobacter pylori infection	0.6268856948887791	4.895753640711304	0.0	0.0	0.0	53/70	25.74%	ATP6V0E1;NFKBIA;ATP6V1G1;ATP6V1F;RAC1;JUN;ATP6V1E1;F11R;TCIRG1;ATP6V0B;ATP6AP1;MAPK13;CCL5;EGFR;ATP6V1A;ATP6V0D1;LYN;PTPN11;ATP6V1D;RELA;CXCL8;HBEGF;CSK;CDC42;ATP6V1B2;CASP3;CXCL2;SRC;TJP1;GIT1;NFKB1;PAK1;MAPK14;ATP6V1C1;ADAM10;ATP6V0A1;ATP6V1H;MAPK9;PLCG1;MAP2K4;CXCL1;ATP6V0E2;IKBKB;MAPK11;CHUK;NOD1;ADAM17;MET;MAPK8;IGSF5;MAP3K14;IKBKG;JAM2	KEGG_2021_Human	False
prerank	Rheumatoid arthritis	0.597640393608889	4.855419664582335	0.0	0.0	0.0	71/89	29.55%	HLA-DRA;HLA-DRB1;HLA-DRB5;FOS;HLA-DQB1;HLA-DPA1;ICAM1;HLA-DMA;ATP6V0E1;HLA-DPB1;ATP6V1G1;ATP6V1F;JUN;CTSL;ACP5;HLA-DQA1;ATP6V1E1;CCL2;TCIRG1;ATP6V0B;ITGB2;TGFB1;ATP6AP1;CCL5;VEGFA;CSF1;ATP6V1A;ATP6V0D1;HLA-DMB;ATP6V1D;CXCL8;TLR2;ATP6V1B2;CXCL2;HLA-DOA;HLA-DQA2;ATP6V1C1;ATP6V0A1;ATP6V1H;TNFSF13B;CD86;LTB;FLT1;IL6;TNFSF13;IL18;CXCL1;CXCL12;ATP6V0E2;MMP1;ITGAL;CTSK;TGFB3;CCL20;TEK;CSF2;IL23A;IL1B;TNFRSF11A;CTLA4;CCL3L3;HLA-DOB;ATP6V0A2;CXCL3;ATP6V1C2;IL11;CD80;CXCL5;TLR4;TGFB2;ATP6V1E2	KEGG_2021_Human	False
prerank	Glioma	0.5877651121554851	4.829824556892534	0.0	0.0	0.0	52/75	24.88%	CALM2;GADD45A;GADD45B;CALM3;CALM1;GRB2;CCND1;SHC1;CDKN1A;BAX;GADD45G;MAP2K2;ARAF;EGFR;KRAS;CDK4;MAP2K1;MAPK3;MAPK1;NRAS;HRAS;PDGFRB;AKT1;TP53;CAMK2D;SHC2;E2F1;BAK1;CAMK1D;PIK3CB;E2F3;RB1;AKT2;PLCG1;SOS2;CAMK2G;PIK3R3;MTOR;SOS1;TGFA;PDGFB;PTEN;PIK3CD;MDM2;RAF1;DDB2;PDGFA;PIK3R1;E2F2;IGF1R;EGF;BRAF	KEGG_2021_Human	False
prerank	Notch signaling pathway	0.6155479409452214	4.811207540735027	0.0	0.0	0.0	46/59	23.02%	APH1A;NCSTN;DTX3L;NCOR2;HDAC1;SNW1;DTX2;HES1;NOTCH3;DVL1;DVL3;CIR1;KAT2A;PSENEN;LFNG;MAML1;CREBBP;TLE1;NUMB;CTBP1;RBPJ;TLE3;EP300;PSEN1;DTX3;HDAC2;JAG2;NOTCH2;NUMBL;HEYL;RFNG;NOTCH1;DVL2;DLL4;DTX4;CTBP2;MFNG;DLL1;TLE4;ATXN1L;JAG1;NOTCH4;TLE2;KAT2B;TLE6;ADAM17	KEGG_2021_Human	True
prerank	Inositol phosphate metabolism	0.6326593367216431	4.800554899084234	0.0	0.0	0.0	59/73	27.67%	TPI1;PIP4K2C;CDIPT;ITPKC;INPPL1;PIP5K1A;PI4KB;ITPK1;PIP4K2A;ISYNA1;PLCH1;PI4K2B;IMPA2;PIP5K1C;PIP4K2B;PLCB3;PIK3CB;OCRL;ITPKA;MTMR1;INPP5K;ITPKB;PLCG1;PI4K2A;ALDH6A1;PI4KA;PIK3C2A;MTMR14;INPP5B;SACM1L;MINPP1;INPP1;MTMR6;PTEN;PIK3C2B;PIK3CD;MTMR4;INPP5D;PLCB4;IMPA1;IPMK;PLCB2;MTM1;PIKFYVE;INPP5A;INPP4A;SYNJ1;MTMR2;PIP5KL1;PIK3C3;PLCB1;INPP5E;INPP5F;SYNJ2;INPP4B;PIP5K1B;PLCD1;PIK3CA;PLCG2	KEGG_2021_Human	False
prerank	Antigen processing and presentation	0.6913007481852144	4.77497272218964	0.0	0.0	0.0	43/70	8.93%	HLA-DRA;CD74;HLA-DRB1;HLA-B;HLA-C;CALR;HLA-A;HSP90AB1;B2M;HLA-E;HSPA5;HLA-DRB5;PDIA3;HSPA8;HLA-DQB1;HSP90AA1;HLA-DPA1;HLA-DMA;PSME1;TAPBP;CANX;CTSB;HLA-DPB1;HSPA1A;HSPA1B;PSME2;CTSS;CTSL;HLA-DQA1;TAP1;LGMN;HSPA4;HSPA6;RFX5;PSME3;HLA-DMB;HLA-F;NFYA;RFXANK;CD4;TAP2;HLA-DOA;HLA-DQA2	KEGG_2021_Human	False
