Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	Chronic myeloid leukemia	0.7358516769649879	6.028307368425092	0.0	0.0	0.0	68/76	21.78%	NFKBIA;BCL2L1;CDKN1A;SHC1;HDAC1;E2F1;CDKN1B;GADD45A;TGFB1;GRB2;BAX;GADD45B;CCND1;ARAF;TGFBR2;MAP2K2;ABL1;MAPK3;AKT1;TP53;CRK;MAPK1;BAK1;NRAS;RELA;CDK4;HRAS;CRKL;E2F3;SHC2;PTPN11;NFKB1;MAP2K1;CTBP1;AKT2;BCR;RUNX1;IKBKB;PIK3R3;STAT5B;SMAD3;SMAD4;PIK3CB;CDKN2A;PIK3CD;GADD45G;TGFBR1;CTBP2;SOS2;HDAC2;TGFB3;DDB2;SOS1;TGFB2;MDM2;MYC;STAT5A;MECOM;KRAS;RAF1;E2F2;BAD;SHC3;CHUK;RB1;GAB2;CBL;PIK3R1	KEGG_2021_Human	False
prerank	B cell receptor signaling pathway	0.6645342588934621	5.9268825640190705	0.0	0.0	0.0	73/79	30.58%	RAC1;JUN;IFITM1;FOS;NFKBIA;CD81;CD79A;INPPL1;RAC2;GRB2;MAP2K2;MAPK3;NFKBIE;AKT1;NFKBIB;MAPK1;NRAS;VAV2;RELA;HRAS;LYN;PTPN6;SYK;NFKB1;MAP2K1;AKT2;PPP3R1;CARD11;IKBKB;PIK3R3;CR2;PPP3CA;PIK3CB;BCL10;PIK3CD;RAC3;PPP3CB;SOS2;GSK3B;NFATC1;SOS1;CD19;KRAS;RAF1;NFATC2;INPP5D;PPP3CC;CD22;CHUK;DAPP1;MALT1;CD79B;PIK3AP1;PIK3R1;PLCG2;BTK;CD72;NFATC3;VAV1;LILRB2;LILRB4;BLNK;LILRB3;PRKCB;LILRB1;FCGR2B;RASGRP3;LILRA5;VAV3;AKT3;IKBKG;LILRA6;PIK3CA	KEGG_2021_Human	False
prerank	Interferon Alpha Response	0.7767461586215862	5.249592095304686	0.0	0.0	0.0	90/97	20.36%	HLA-C;IFITM3;ISG15;CD74;B2M;LGALS3BP;BST2;TXNIP;LY6E;IFI44;IFITM1;C1S;PSME1;ADAR;PARP14;CD47;PLSCR1;IFITM2;IRF7;TAP1;IFIT3;MX1;UBE2L6;PSMB8;STAT2;PSME2;WARS1;IFI44L;IL4R;NCOA7;LAMP3;IFI35;IFI27;LAP3;OAS1;PSMB9;PARP9;TRIM26;PSMA3;UBA7;SLC25A28;HELZ2;CMTR1;OGFR;PROCR;PARP12;TRAFD1;EIF2AK2;ELF1;HERC6;MOV10;DDX60;CNP;IRF2;USP18;RSAD2;TRIM14;CMPK2;NUB1;NMI;GBP2;RTP4;IFIH1;DHX58;TRIM21;EPSTI1;CSF1;SELL;SAMD9L;IFIT2;PNPT1;MVB12A;SP110;SAMD9;TMEM140;ISG20;TDRD7;CASP8;CASP1;TRIM5;CXCL10;GBP4;RIPK2;OASL;IRF1;TENT5A;IRF9;BATF2;TRIM25;GMPR	MSigDB_Hallmark_2020	True
prerank	Renal cell carcinoma	0.691524627158824	5.219208520368927	0.0	0.0	0.0	58/69	22.80%	RAC1;JUN;ELOB;CDKN1A;EPAS1;HIF1A;TGFB1;MET;FH;GRB2;PRCC;ARAF;MAP2K2;MAPK3;AKT1;CRK;RAPGEF1;MAPK1;CDC42;NRAS;TFE3;RBX1;HRAS;ETS1;VEGFA;CRKL;PAK4;SLC2A1;PAK2;ARNT;PTPN11;MAP2K1;RAP1A;AKT2;CREBBP;VHL;PIK3R3;EP300;PIK3CB;PIK3CD;PAK1;CUL2;SOS2;TGFB3;SOS1;TGFB2;FLCN;PDGFB;ELOC;ARNT2;KRAS;RAF1;BAD;EGLN3;PAK6;PIK3R1;TGFA;GAB1	KEGG_2021_Human	False
prerank	Platelet activation	0.5676452743374036	5.010090837202239	0.0	0.0	0.0	98/124	31.29%	ACTB;COL1A1;ACTG1;COL3A1;COL1A2;MYL12B;GNAS;VAMP8;RHOA;MYL12A;ITPR3;GNAI2;PPP1CB;TLN1;VASP;ARHGEF1;SRC;ITGB1;PRKCI;VWF;PPP1CA;ITGA2;FCER1G;MAPK3;AKT1;MAPK13;MAPK1;MAPK14;FGG;LYN;PPP1CC;FCGR2A;ORAI1;SYK;F2R;FERMT3;RAP1A;AKT2;GNA13;GNAQ;PIK3R3;PRKACA;FYN;ROCK2;PLA2G4A;PLCB3;PIK3CB;ADCY6;GNAI3;ROCK1;PIK3CD;ARHGEF12;ARHGAP35;PRKCZ;MYLK;STIM1;ADCY3;ADCY9;TBXAS1;PPP1R12A;PRKACB;MAPK11;PIK3R1;PLCB2;APBB1IP;PLCG2;P2RX1;BTK;RASGRP2;LCP2;ITPR2;PLA2G4E;PTGS1;RAP1B;GUCY1B1;PLA2G4C;GUCY1A1;PIK3CG;PTGIR;PIK3R5;PLA2G4F;ITGA2B;ITGB3;RASGRP1;MAPK12;TLN2;NOS3;ADCY7;ADCY4;AKT3;TBXA2R;SNAP23;GNAI1;FGA;PIK3CA;PIK3R6;ITPR1;F2RL3	KEGG_2021_Human	False
prerank	Pancreatic cancer	0.6971692016905329	4.814368959561569	0.0	0.0	0.0	63/76	22.64%	RAC1;BCL2L1;CDKN1A;STAT1;E2F1;GADD45A;TGFB1;RAC2;BAX;GADD45B;STAT3;ERBB2;CCND1;ARAF;TGFBR2;RALB;MAPK3;AKT1;TP53;MAPK1;JAK1;CDC42;BAK1;RELA;CDK4;RALA;VEGFA;E2F3;NFKB1;MAP2K1;PLD2;RALBP1;AKT2;IKBKB;PIK3R3;MTOR;SMAD3;SMAD4;PIK3CB;CDKN2A;EGFR;PIK3CD;GADD45G;RAC3;TGFBR1;TGFB3;DDB2;TGFB2;RPS6KB2;MAPK9;KRAS;RAF1;E2F2;BAD;ARHGEF6;CHUK;RB1;CASP9;MAPK8;PIK3R1;TGFA;RPS6KB1;SMAD2	KEGG_2021_Human	False
prerank	Reactive Oxygen Species Pathway	0.7164012649509713	4.538993524887735	0.0	0.0	0.0	45/48	25.52%	FTL;PDLIM1;GPX4;JUNB;PRDX6;TXN;PRDX1;SOD1;NDUFB4;PRDX4;PRNP;PRDX2;GPX3;NQO1;SBNO2;NDUFA6;PTPA;HMOX2;GSR;CAT;ABCC1;MGST1;STK25;G6PD;SELENOS;TXNRD1;NDUFS2;SCAF4;LAMTOR5;HHEX;OXSR1;FES;PFKP;LSP1;ERCC2;GCLC;TXNRD2;CDKN2D;ATOX1;GCLM;MBP;GLRX;GLRX2;EGLN2;MSRA	MSigDB_Hallmark_2020	False
prerank	Ubiquitin mediated proteolysis	0.6847160399733847	4.50171683707843	0.0	0.0	0.0	126/140	27.23%	UBC;RPS27A;ELOB;UBA52;UBB;UBE2L6;SOCS3;UBE2C;UBA1;UBE2M;PRPF19;UBE2H;SAE1;CDC34;UBA7;UBA2;UBE2Q1;UBE2J1;UBE2E3;ANAPC13;KEAP1;UBE2D2;PIAS3;RHOBTB2;UBE2B;UBE2D3;UBE2L3;CDC20;CUL1;SYVN1;UBE2R2;UBE2Z;UBE2G2;MGRN1;RNF7;TRIP12;UBE2K;RBX1;SMURF1;DDB1;UBE2J2;CUL7;HUWE1;COP1;SMURF2;CDC16;BIRC2;FBXW11;FANCL;UBA3;FZR1;ANAPC11;CBLC;UBE4B;ANAPC2;WWP2;UBE2N;PML;UBE2Q2;ANAPC5;UBE2A;UBE3C;STUB1;CUL4A;VHL;PIAS4;ITCH;UBE2G1;SOCS1;FBXO2;BIRC3;CUL4B;UBE2I;SKP1;CUL2;CDC27;ANAPC7;PPIL2;UBE2S;TRIM37;XIAP;UBE2D1;CDC23;DDB2;UBE2O;CBLB;WWP1;RHOBTB1;MDM2;TRIM32;UBR5;CDC26;UBA6;ELOC;MAP3K1;BIRC6;NEDD4L;CUL5;UBE2E2;UBE3B;KLHL9;ANAPC4;CUL3;UBE4A;UBOX5;CBL;UBE2E1;BTRC;FBXW8;HERC2;HERC1;HERC4;FBXO4;UBE2W;MID1;PIAS1;RCHY1;UBE2F;BRCA1;FBXW7;PIAS2;UBE3A;UBE2D4;SKP2;SIAH1;NEDD4	KEGG_2021_Human	False
prerank	Leishmaniasis	0.7059464978322495	4.494419799439958	0.0	0.0	0.0	49/74	15.73%	HLA-DRA;HLA-DRB1;EEF1A1;MARCKSL1;C3;JUN;FOS;HLA-DRB5;NFKBIA;PTGS2;EEF1A2;CYBA;HLA-DPB1;STAT1;HLA-DMA;HLA-DQB1;TGFB1;IRAK1;IFNGR1;ITGB1;IFNGR2;HLA-DPA1;MAPK3;MYD88;MAPK13;NCF2;NFKBIB;MAPK1;MAPK14;JAK1;ITGB2;RELA;HLA-DQA1;FCGR3A;HLA-DOA;CYBB;FCGR2A;PTPN6;TAB2;NFKB1;TLR2;ELK1;HLA-DMB;NCF4;TAB1;MAP3K7;TGFB3;HLA-DQA2;TGFB2	KEGG_2021_Human	False
prerank	Notch signaling pathway	0.6637167729373099	4.463128643389653	0.0	0.0	0.0	50/59	26.58%	APH1A;DTX3L;HDAC1;NCSTN;HES1;DVL1;TLE2;NOTCH3;LFNG;SNW1;NCOR2;KAT2A;DVL3;DTX3;CIR1;DTX4;MAML1;CTBP1;NOTCH1;RBPJ;CREBBP;RFNG;HEYL;TLE1;DVL2;PSEN1;DTX2;EP300;NUMB;JAG2;PSENEN;NUMBL;MFNG;ATXN1L;CTBP2;HDAC2;TLE3;NOTCH2;JAG1;ADAM17;APH1B;KAT2B;MAML2;DLL4;TLE4;DLL1;NOTCH4;ATXN1;MAML3;TLE6	KEGG_2021_Human	True
