Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	TGF-beta Signaling	0.7520142917020012	5.545735292194915	0.0	0.0	0.0	50/54	23.40%	RHOA;CDH1;JUNB;IFNGR2;ENG;FKBP1A;TGFB1;FURIN;PPP1CA;CTNNB1;LTBP2;RAB31;HDAC1;CDK9;ID3;SERPINE1;UBE2D3;NCOR2;ID2;SKI;KLF10;XIAP;THBS1;SPTBN1;PPP1R15A;PMEPA1;WWTR1;SLC20A1;SMURF1;TGFBR1;ID1;SKIL;SMURF2;ACVR1;BMPR2;TJP1;SMAD7;HIPK2;ARID4B;PPM1A;MAP3K7;FNTA;TRIM33;SMAD3;TGIF1;CDKN1C;APC;BMP2;BCAR3;SMAD1	MSigDB_Hallmark_2020	True
prerank	Protein Secretion	0.7528775652103191	5.42288065014788	0.0	0.0	0.0	86/96	19.33%	CD63;ARF1;AP2M1;TMED2;GNAS;TMED10;SOD1;PPT1;KRT18;PAM;CLTC;ARCN1;VAMP3;CLTA;RAB2A;AP2S1;SCAMP3;ANP32E;AP2B1;USO1;LAMP2;RAB14;LMAN1;VAMP7;ERGIC3;MAPK1;SEC31A;ATP1A1;COPB1;M6PR;STX12;COPE;RER1;STX16;CTSC;ATP6V1H;ARFGAP3;RPS6KA3;AP3S1;TMX1;TSG101;COPB2;YKT6;EGFR;RAB9A;IGF2R;ARFGEF1;RAB5A;AP1G1;YIPF6;SEC24D;AP3B1;VPS4B;OCRL;SNX2;TPD52;BET1;ARFGEF2;BNIP3;ARFIP1;CLCN3;VPS45;GOLGA4;GALC;ADAM10;ABCA1;CAV2;DNM1L;NAPA;KIF1B;ZW10;SCAMP1;RAB22A;TOM1L1;GLA;SEC22B;STAM;GBF1;ICA1;VAMP4;NAPG;SCRN1;STX7;GOSR2;MON2;SGMS1	MSigDB_Hallmark_2020	False
prerank	Non-small cell lung cancer	0.6745338477807009	5.040121396298686	0.0	0.0	0.0	53/72	20.44%	MET;ARAF;GRB2;CCND1;KIF5B;MAPK1;CDKN1A;STAT3;MAPK3;MAP2K2;ERBB2;BAX;EML4;AKT1;MAP2K1;GADD45B;EGFR;NRAS;RXRB;BAK1;CDK4;STAT5B;JAK3;PLCG1;PIK3CB;PIK3CD;TP53;HRAS;STAT5A;GADD45G;RASSF1;GADD45A;RXRA;KRAS;TGFA;RB1;SOS2;RASSF5;STK4;SOS1;E2F3;E2F1;FOXO3;AKT2;DDB2;RAF1;PIK3R1;BAD;PLCG2;PDPK1;CASP9;PRKCA;PRKCB	KEGG_2021_Human	False
prerank	Chronic myeloid leukemia	0.7057119219123646	4.992319455575587	0.0	0.0	0.0	67/76	24.04%	NFKBIA;ARAF;GRB2;TGFB1;CCND1;SHC1;TGFBR2;HDAC1;CDKN1B;MAPK1;CDKN1A;BCL2L1;MAPK3;MAP2K2;BAX;RUNX1;PTPN11;RELA;AKT1;MAP2K1;GADD45B;CRKL;NRAS;ABL1;NFKB1;BAK1;CDK4;CRK;STAT5B;PIK3CB;PIK3CD;TGFBR1;TP53;CTBP1;HRAS;STAT5A;GADD45G;GADD45A;KRAS;RB1;SOS2;MYC;BCR;SOS1;IKBKB;SHC2;E2F3;GAB2;E2F1;AKT2;DDB2;RAF1;TGFB3;PIK3R1;CBL;BAD;MDM2;HDAC2;SMAD3;IKBKG;CHUK;SMAD4;CTBP2;CDK6;PIK3R3;MECOM;POLK	KEGG_2021_Human	False
prerank	Reactive Oxygen Species Pathway	0.7312104281392992	4.754128561720229	0.0	0.0	0.0	44/48	24.09%	FTL;TXN;GPX3;PRDX1;GPX4;PRDX6;MGST1;SOD1;JUNB;PRDX4;NQO1;NDUFB4;PRNP;GSR;PDLIM1;PFKP;TXNRD1;PTPA;PRDX2;CAT;NDUFA6;SBNO2;G6PD;LSP1;HMOX2;SELENOS;STK25;NDUFS2;ABCC1;SCAF4;FES;ATOX1;LAMTOR5;OXSR1;GLRX;GCLM;HHEX;CDKN2D;ERCC2;TXNRD2;GCLC;MBP;MSRA;GLRX2	MSigDB_Hallmark_2020	False
prerank	Central carbon metabolism in cancer	0.5935582343800755	4.693202454797723	0.0	0.0	0.0	43/70	16.53%	MET;PKM;LDHA;PFKL;PFKP;IDH2;HIF1A;IDH1;PDGFRB;MAPK1;SLC1A5;SLC16A3;HK2;MAPK3;MAP2K2;ERBB2;HK1;G6PD;AKT1;SLC7A5;MAP2K1;EGFR;NRAS;PGAM1;PDHA1;GLS;HK3;PIK3CB;PIK3CD;TP53;SLC2A1;HRAS;KRAS;MYC;MTOR;PTEN;SIRT6;PDHB;AKT2;PDGFRA;RAF1;PIK3R1;PFKM	KEGG_2021_Human	False
prerank	Pancreatic cancer	0.6881271237886725	4.517871391341088	0.0	0.0	0.0	70/76	28.59%	RAC1;STAT1;RAC2;ARAF;TGFB1;CCND1;TGFBR2;MAPK1;CDKN1A;STAT3;BCL2L1;MAPK3;ERBB2;VEGFA;JAK1;BAX;RALB;RELA;AKT1;RALA;MAP2K1;GADD45B;EGFR;NFKB1;CDC42;BAK1;CDK4;PIK3CB;PIK3CD;TGFBR1;TP53;ARHGEF6;GADD45G;GADD45A;KRAS;TGFA;RB1;PLD2;RALBP1;IKBKB;MTOR;E2F3;MAPK9;E2F1;AKT2;RPS6KB2;DDB2;RAF1;TGFB3;PIK3R1;BAD;SMAD3;RPS6KB1;IKBKG;CASP9;RAC3;CHUK;SMAD4;CDK6;PIK3R3;POLK;RALGDS;MAPK8;PIK3CA;E2F2;AKT3;RAD51;SMAD2;BRAF;CDKN2A	KEGG_2021_Human	False
prerank	IL-6/JAK/STAT3 Signaling	0.6672065777712053	4.46054952697106	0.0	0.0	0.0	64/87	18.63%	A2M;CXCL9;CD14;CXCL13;CXCL10;PTPN1;STAT1;CD9;JUN;GRB2;IFNGR2;IL13RA1;TNFRSF12A;TGFB1;HMOX1;STAT2;SOCS3;TNFRSF1A;HAX1;TNFRSF1B;OSMR;IFNGR1;CD44;LTB;IL4R;STAT3;LTBR;IFNAR1;ACVR1B;MYD88;TNFRSF21;PIM1;PTPN11;TYK2;IL6ST;CSF1;IL1R1;CSF2RB;IRF1;BAK1;CSF2RA;CCR1;IL3RA;IL15RA;TLR2;ACVRL1;EBI3;CXCL11;IL2RG;IL17RA;SOCS1;IL2RA;PDGFC;MAP3K8;CSF3R;CBL;PTPN2;STAM2;IL12RB1;PIK3R5;CXCL1;TNF;FAS;ITGA4	MSigDB_Hallmark_2020	False
prerank	Viral myocarditis	0.7291419979994329	4.369643092941144	0.0	0.0	0.0	47/57	22.16%	HLA-DRA;HLA-DRB1;HLA-B;ACTB;HLA-C;HLA-A;ACTG1;HLA-DRB5;HLA-E;HLA-DPA1;HLA-DQB1;HLA-DPB1;ICAM1;HLA-DQA1;EIF4G2;ITGB2;HLA-DMA;RAC1;EIF4G1;RAC2;HLA-F;CCND1;HLA-DOA;CD55;HLA-DMB;CD40;ABL1;CYCS;DAG1;CAV1;CASP3;ITGAL;CD86;EIF4G3;PRF1;FYN;BID;CASP8;HLA-G;HLA-DOB;CXADR;SGCB;CASP9;RAC3;CD28;HLA-DQA2;LAMA2	KEGG_2021_Human	False
prerank	Antigen processing and presentation	0.7221141238931983	4.27458364271154	0.0	0.0	0.0	48/70	15.21%	HLA-DRA;HLA-DRB1;HLA-B;CD74;HLA-C;HLA-A;HLA-DRB5;B2M;HLA-E;HSP90AB1;CALR;HSPA5;HSP90AA1;HSPA8;HLA-DPA1;CTSB;HLA-DQB1;TAPBP;CANX;PSME1;HLA-DPB1;HLA-DQA1;CTSS;PDIA3;TAP1;HLA-DMA;LGMN;CD4;HLA-F;PSME2;HLA-DOA;HLA-DMB;HSPA4;CTSL;HSPA1A;PSME3;RFX5;HSPA1B;CD8A;TAP2;NFYA;CIITA;RFXANK;NFYC;NFYB;HLA-G;HSPA6;HLA-DOB	KEGG_2021_Human	False
