Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	Intestinal immune network for IgA production	0.6743660772786949	5.321462944311573	0.0	0.0	0.0	30/45	22.07%	HLA-DRA;HLA-DRB1;HLA-DRB5;CXCR4;PIGR;HLA-DQB1;HLA-DPB1;HLA-DPA1;HLA-DMA;HLA-DQA1;TGFB1;HLA-DOA;CD40;HLA-DMB;LTBR;CXCL12;IL15RA;HLA-DQA2;TNFRSF17;TNFRSF13C;TNFSF13;IL6;MAP3K14;CD86;HLA-DOB;TNFSF13B;CD40LG;ITGA4;TNFRSF13B;ITGB7	KEGG_2021_Human	True
prerank	Reactive Oxygen Species Pathway	0.7255073315741125	5.171516174580411	0.0	0.0	0.0	38/48	14.65%	FTL;GPX3;JUNB;GPX4;TXN;PDLIM1;PRDX6;PRDX1;SOD1;CAT;PRNP;NDUFB4;NDUFA6;PRDX4;PRDX2;PTPA;SBNO2;SELENOS;LSP1;G6PD;NQO1;MGST1;LAMTOR5;STK25;TXNRD1;GSR;HMOX2;FES;ABCC1;CDKN2D;NDUFS2;HHEX;ATOX1;SCAF4;OXSR1;GLRX;ERCC2;PFKP	MSigDB_Hallmark_2020	False
prerank	ECM-receptor interaction	0.5637887895876845	4.857149368496247	0.0	0.0	0.0	51/88	19.87%	COL1A1;SDC4;COL6A2;FN1;SDC1;COL1A2;VWF;COL6A1;LAMB2;SPP1;COL4A1;NPNT;CD44;ITGA3;CD47;COL4A2;AGRN;COL6A3;CD36;COL9A2;LAMC1;LAMA5;LAMB3;THBS1;ITGB1;ITGA5;DAG1;ITGB6;ITGB5;HSPG2;LAMC2;TNC;ITGA6;LAMC3;LAMB1;LAMA4;ITGAV;ITGA1;ITGB4;ITGA8;COL4A3;LAMA3;ITGA2;THBS3;TNXB;COL6A6;COL4A4;ITGA7;ITGA9;LAMA2;ITGA4	KEGG_2021_Human	False
prerank	Acute myeloid leukemia	0.6864732973286417	4.8534302444314905	0.0	0.0	0.0	53/67	21.23%	DUSP6;CD14;JUP;SPI1;GRB2;PIM2;CCND1;MAPK3;ARAF;STAT3;MAPK1;EIF4EBP1;MAP2K2;CSF1R;PIM1;BCL2A1;STAT5B;RELA;HRAS;MAP2K1;AKT1;RARA;MYC;PPARD;NRAS;PIK3CD;NFKB1;STAT5A;PML;PIK3R3;PIK3R1;IKBKB;BAD;SOS2;TCF7L1;AKT2;ITGAM;RPS6KB2;KIT;CEBPA;SOS1;RUNX1;TCF7L2;RAF1;MTOR;KRAS;PIK3CB;PER2;ZBTB16;RPS6KB1;TCF7;AKT3;CHUK	KEGG_2021_Human	False
prerank	Adherens junction	0.6818760121661963	4.599997315011024	0.0	0.0	0.0	53/71	17.13%	ACTB;ACTG1;RHOA;ACTN4;RAC1;NECTIN2;TGFBR2;RAC2;CTNNA1;CDH1;MAPK3;PTPN1;CTNNB1;WASF2;PTPRF;IQGAP1;PTPN6;MAPK1;LMO7;VCL;ERBB2;MET;ACTN1;TJP1;WAS;CDC42;WASL;FYN;PTPRM;ACP1;SRC;PTPRB;NECTIN4;YES1;AFDN;EP300;CREBBP;EGFR;SMAD3;TGFBR1;TCF7L1;BAIAP2;SNAI1;PTPRJ;MAP3K7;SORBS1;PARD3;NLK;SMAD4;TCF7L2;INSR;RAC3;FGFR1	KEGG_2021_Human	False
prerank	Antigen processing and presentation	0.7553589912992326	4.537823885589773	0.0	0.0	0.0	45/70	12.58%	HLA-DRA;HLA-DRB1;CD74;HLA-B;HLA-C;B2M;HLA-E;HLA-DRB5;HLA-A;HSP90AB1;CALR;HLA-DQB1;HLA-DPB1;HSPA8;HSPA5;PSME1;HLA-DPA1;HSP90AA1;CTSB;HLA-DMA;PDIA3;TAPBP;HSPA1B;CANX;HSPA1A;HLA-DQA1;LGMN;CTSS;CD4;PSME2;HLA-F;HLA-DOA;TAP1;HLA-DMB;CTSL;HSPA4;PSME3;CD8A;RFX5;RFXANK;TAP2;HSPA6;NFYC;HLA-DQA2;NFYB	KEGG_2021_Human	False
prerank	Th17 cell differentiation	0.6548368598356681	4.516272199608383	0.0	0.0	0.0	81/105	22.84%	HLA-DRA;HLA-DRB1;FOS;HLA-DRB5;JUN;NFKBIA;HSP90AB1;HLA-DQB1;HLA-DPB1;HLA-DPA1;HSP90AA1;HLA-DMA;HLA-DQA1;TGFBR2;IFNGR1;TGFB1;CD4;CD3D;STAT6;MAPK3;HLA-DOA;IFNGR2;STAT1;IL6ST;STAT3;HLA-DMB;IL1R1;CD3E;MAPK1;IL4R;TYK2;JAK1;IL27RA;STAT5B;RELA;RXRB;HIF1A;AHR;PLCG1;RARA;NFKBIB;PPP3R1;IL6R;MAPK13;PPP3CB;PPP3CA;JAK3;NFKB1;LCK;IL2RG;STAT5A;MAPK14;NFKBIE;ZAP70;MAPK11;PPP3CC;RXRA;HLA-DQA2;IL2RB;SMAD3;IKBKB;TGFBR1;IL6;RUNX1;CD247;SMAD4;MTOR;MAPK9;RORC;IRF4;HLA-DOB;JAK2;NFATC2;GATA3;PRKCQ;CHUK;CD3G;NFATC1;MAPK8;IL12RB1;TBX21	KEGG_2021_Human	False
prerank	p53 signaling pathway	0.640503829995025	4.498426966572581	0.0	0.0	0.0	61/73	28.66%	GADD45B;IGFBP3;SERPINE1;SFN;SHISA5;CDKN1A;CCND1;CCND3;CD82;EI24;BCL2L1;BAX;THBS1;GADD45G;GADD45A;PERP;CCNG1;TNFRSF10B;SIVA1;TP53I3;CDK4;CYCS;STEAP3;PTEN;SESN1;CASP3;COP1;TP53;BID;CCND2;RRM2B;DDB2;TSC2;CCNG2;MDM4;CDK2;SESN2;PIDD1;SESN3;FAS;TNFRSF10A;AIFM2;PPM1D;CASP8;MDM2;CASP9;BBC3;GORAB;CCNB1;ATM;PMAIP1;CHEK2;CDK6;APAF1;RCHY1;BCL2;CDK1;ZMAT3;CCNB2;SIAH1;RRM2	KEGG_2021_Human	True
prerank	Thyroid cancer	0.7366819889677217	4.367222353679457	0.0	0.0	0.0	29/37	17.41%	GADD45B;NCOA4;CDKN1A;CDH1;CCND1;MAPK3;CTNNB1;BAX;TPM3;MAPK1;MAP2K2;GADD45G;GADD45A;RXRB;HRAS;MAP2K1;MYC;NRAS;CCDC6;TPR;RXRA;TP53;TCF7L1;DDB2;BAK1;PPARG;TCF7L2;TFG;KRAS	KEGG_2021_Human	False
prerank	TGF-beta Signaling	0.7701862369980141	4.234837010166572	0.0	0.0	0.0	48/54	18.03%	JUNB;RHOA;PPP1R15A;ENG;ID1;ID3;SPTBN1;SERPINE1;TGFB1;FKBP1A;FURIN;CDH1;LTBP2;CTNNB1;CDK9;PPP1CA;ID2;HDAC1;IFNGR2;RAB31;SKI;THBS1;NCOR2;KLF10;UBE2D3;BMPR2;CDKN1C;TJP1;SMAD6;WWTR1;SMAD7;BMP2;PMEPA1;SMURF2;SLC20A1;SMURF1;TGIF1;SKIL;SMAD3;ACVR1;XIAP;TGFBR1;MAP3K7;HIPK2;PPM1A;ARID4B;TRIM33;FNTA	MSigDB_Hallmark_2020	True
