Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	TGF-beta Signaling	0.7548287119786877	4.980946420779919	0.0	0.0	0.0	47/54	18.66%	JUNB;RHOA;PPP1R15A;CDH1;SERPINE1;CTNNB1;KLF10;THBS1;SLC20A1;IFNGR2;RAB31;HDAC1;LTBP2;UBE2D3;ENG;CDK9;ID1;FURIN;PPP1CA;ID2;FKBP1A;TGFB1;ID3;SPTBN1;SKIL;SMURF1;SKI;NCOR2;PMEPA1;TGIF1;ACVR1;MAP3K7;TJP1;SMURF2;SMAD3;CDKN1C;XIAP;WWTR1;TRIM33;BMP2;TGFBR1;BMPR2;SMAD7;FNTA;ARID4B;HIPK2;PPM1A	MSigDB_Hallmark_2020	True
prerank	Valine, leucine and isoleucine degradation	0.6810682368711668	4.83706507090906	0.0	0.0	0.0	42/48	26.30%	ECHS1;HIBADH;HADHA;HSD17B10;HADHB;ACAD8;ALDH2;ALDH9A1;MCCC2;ACADSB;OXCT1;ACADM;ALDH3A2;IVD;MMUT;ACADS;DLD;MCCC1;ACAA2;ACAT2;MCEE;HADH;BCKDHB;ACAA1;HMGCL;BCAT2;HMGCS1;AUH;BCAT1;PCCA;ACAT1;HMGCS2;ALDH6A1;ALDH7A1;ALDH1B1;PCCB;HIBCH;IL4I1;ACSF3;DBT;EHHADH;ABAT	KEGG_2021_Human	False
prerank	Fc gamma R-mediated phagocytosis	0.6351543451465099	4.520229318448745	0.0	0.0	0.0	74/96	27.59%	RAC1;GSN;CFL1;MARCKSL1;ACTR2;ARF6;ARPC3;PRKCD;ARPC2;MAPK1;WASF2;INPPL1;ARPC4;FCGR3A;RAC2;VASP;MARCKS;ARPC5L;LIMK2;CRK;PIP5K1A;MAPK3;CRKL;LYN;CDC42;ARPC5;ACTR3;DNM2;MAP2K1;GAB2;AKT1;ASAP3;PLPP1;PLA2G4F;PAK1;ARPC1A;SYK;VAV2;PTPRC;DOCK1;FCGR2A;PLPP2;PLCG1;PLPP3;MYO10;INPP5D;AKT2;PIP5K1C;PIK3R3;WAS;BIN1;PIK3CB;RAF1;PLD2;PIK3R1;HCK;RPS6KB1;RPS6KB2;LIMK1;ASAP1;CFL2;PIK3CD;VAV1;PLA2G6;PLA2G4A;FCGR2B;VAV3;PRKCE;PIP5K1B;WASF1;ASAP2;PLCG2;PRKCB;JMJD7-PLA2G4B	KEGG_2021_Human	False
prerank	Endometrial cancer	0.6726493179300999	4.3474025937900365	0.0	0.0	0.0	50/58	25.45%	GADD45B;CDKN1A;CDH1;CTNNB1;CTNNA1;MAPK1;GRB2;ARAF;GADD45A;ERBB2;BAX;EGFR;MAP2K2;MAPK3;MYC;HRAS;MAP2K1;NRAS;CCND1;AKT1;GADD45G;BAK1;DDB2;FOXO3;ELK1;PTEN;AXIN1;AKT2;PIK3R3;TP53;PIK3CB;SOS2;RAF1;MLH1;KRAS;SOS1;PIK3R1;TCF7L1;CASP9;PDPK1;PIK3CD;TCF7L2;TCF7;POLK;BAD;APC;GSK3B;EGF;BRAF;AXIN2	KEGG_2021_Human	False
prerank	Allograft rejection	0.7303535040892247	4.343836772833112	0.0	0.0	0.0	15/35	3.44%	HLA-DRA;HLA-DRB1;HLA-DRB5;HLA-B;HLA-C;HLA-A;HLA-E;HLA-DPA1;HLA-DPB1;HLA-DMA;HLA-DQB1;HLA-DQA1;HLA-F;HLA-DOA;HLA-DMB	KEGG_2021_Human	False
prerank	Prostate cancer	0.6255442670802033	4.331137560405059	0.0	0.0	0.0	77/97	25.00%	HSP90AB1;GSTP1;NFKBIA;ATF4;HSP90AA1;HSP90B1;CDKN1A;CTNNB1;SPINT1;TMPRSS2;CREB3L1;MAPK1;GRB2;ARAF;CREB3;CDKN1B;ERBB2;E2F1;EGFR;CREB3L2;RELA;MAP2K2;MAPK3;IKBKB;HRAS;MAP2K1;NRAS;CCND1;MDM2;NFKB1;AKT1;PDGFA;EP300;CREB3L4;CDK2;PTEN;PDGFC;PLAU;PDGFRB;ETV5;AKT2;MMP9;PIK3R3;CREBBP;TP53;PIK3CB;E2F3;SOS2;RAF1;KRAS;SOS1;CCNE2;PIK3R1;TCF7L1;TGFA;KLK3;MTOR;FGFR1;CCNE1;CHUK;CASP9;CREB1;IGF1R;PDPK1;FOXO1;PIK3CD;TCF7L2;FGFR2;TCF7;BAD;RB1;PDGFB;PDGFRA;GSK3B;PLAT;EGF;BRAF	KEGG_2021_Human	False
prerank	Myc Targets V2	0.7119694430821792	4.258670761783221	0.0	0.0	0.0	50/57	23.95%	NPM1;CBX3;GNL3;HSPD1;NOLC1;TMEM97;PA2G4;NOP56;MAP3K6;HK2;FARSA;SRM;PPRC1;UNG;MYC;PES1;DUSP2;MCM5;RRP9;TBRG4;CDK4;DDX18;DCTPP1;MRTO4;IMP4;WDR43;NOC4L;HSPE1;TFB2M;EXOSC5;AIMP2;BYSL;SLC29A2;MCM4;MYBBP1A;MPHOSPH10;NDUFAF4;SUPV3L1;RRP12;GRWD1;NIP7;TCOF1;RABEPK;NOP16;RCL1;PUS1;WDR74;LAS1L;PRMT3;UTP20	MSigDB_Hallmark_2020	True
prerank	Interferon Alpha Response	0.7486123178913044	4.146216684188864	0.0	0.0	0.0	87/97	21.05%	CD74;HLA-C;B2M;LGALS3BP;IFITM3;TXNIP;LY6E;NCOA7;PSME1;BST2;IFITM2;IFI44;LAMP3;IFITM1;CD47;IFI27;WARS1;PSMB8;PSME2;UBE2L6;TAP1;ADAR;C1S;ISG15;LAP3;TENT5A;STAT2;PSMA3;TRIM26;UBA7;SLC25A28;IL4R;PLSCR1;PARP14;IFI35;PSMB9;MX1;IRF7;CMTR1;TRAFD1;ELF1;TRIM14;NUB1;CXCL10;SELL;IRF2;TRIM21;CSF1;MOV10;PARP12;OGFR;GBP2;IFIT3;PARP9;MVB12A;GMPR;HELZ2;DDX60;IRF1;CASP1;CNP;HERC6;DHX58;CASP8;OAS1;IFI44L;EIF2AK2;ISG20;PNPT1;GBP4;USP18;TRIM5;NMI;RIPK2;IFIH1;RSAD2;RTP4;TMEM140;TDRD7;TRIM25;SP110;SAMD9L;CCRL2;CMPK2;EPSTI1;SAMD9;LPAR6	MSigDB_Hallmark_2020	True
prerank	T cell receptor signaling pathway	0.5915793354920085	4.082385038157888	0.0	0.0	0.0	83/104	28.88%	FOS;NFKBIA;JUN;RHOA;MAPK1;GRB2;MAPK13;CD4;RELA;MAP2K2;MAPK3;MAP3K8;IKBKB;CDC42;PAK2;HRAS;MAP2K1;NRAS;NFKB1;PTPN6;AKT1;CD3D;PAK1;PPP3R1;CDK4;PPP3CB;PPP3CA;CD3E;MAP3K7;VAV2;NFKBIB;MAPK14;PTPRC;MAPK9;NFKBIE;PAK4;NCK2;PLCG1;MAP2K7;AKT2;PIK3R3;BCL10;PIK3CB;SOS2;RAF1;MAPK11;MAP3K14;KRAS;SOS1;PIK3R1;FYN;CD8A;CHUK;CTLA4;PPP3CC;LCP2;PAK6;PDPK1;DLG1;PIK3CD;NCK1;VAV1;MAPK8;LCK;CBLB;NFATC1;ZAP70;GSK3B;NFATC2;CD40LG;MALT1;VAV3;CD247;ITK;CSF2;NFATC3;RASGRP1;CARD11;TEC;CD28;ICOS;MAPK12;CD3G	KEGG_2021_Human	False
prerank	Vibrio cholerae infection	0.6750803000294753	4.0649293674557585	0.0	0.0	0.0	32/50	12.14%	ACTB;ACTG1;ATP6V0E1;ARF1;KDELR2;KDELR1;SEC61A1;GNAS;PDIA4;ATP6V1F;SEC61B;ATP6V1E1;SEC61G;TCIRG1;ATP6V0B;ATP6AP1;ATP6V1G1;ATP6V1A;ATP6V1D;ATP6V0D1;KDELR3;ATP6V1B2;ATP6V1C1;ERO1A;KCNQ1;ATP6V0A1;SLC12A2;TJP1;PRKACA;ATP6V1H;PLCG1;ATP6V1C2	KEGG_2021_Human	False
