Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	Myc Targets V2	0.7353129800327164	6.555433627846146	0.0	0.0	0.0	53/57	24.01%	CBX3;NPM1;SRM;MCM4;NOLC1;PA2G4;TMEM97;UNG;HSPD1;CDK4;NOC4L;TBRG4;IMP4;MRTO4;GNL3;SLC29A2;PPRC1;FARSA;DCTPP1;NOP56;MAP3K6;AIMP2;EXOSC5;RRP9;WDR43;MCM5;BYSL;DDX18;MYBBP1A;MPHOSPH10;PES1;TFB2M;SUPV3L1;RABEPK;RRP12;MYC;WDR74;PUS1;HK2;NOP16;SLC19A1;PLK1;HSPE1;TCOF1;NIP7;DUSP2;GRWD1;UTP20;LAS1L;RCL1;PLK4;PRMT3;NDUFAF4	MSigDB_Hallmark_2020	True
prerank	Fc gamma R-mediated phagocytosis	0.6693330256492477	5.308022393484234	0.0	0.0	0.0	66/96	21.19%	MARCKSL1;RAC1;CFL1;ACTR2;INPPL1;ARPC3;LIMK1;WASF2;ARF6;GSN;ARPC5L;ARPC1A;PIP5K1A;VASP;VAV2;ARPC2;ARPC4;LYN;PRKCD;ACTR3;CDC42;MAPK3;PAK1;BIN1;CRK;MYO10;RAC2;MAPK1;DOCK1;MARCKS;CRKL;PLPP2;PLA2G4A;MAP2K1;ARPC5;DNM2;AKT1;SYK;FCGR3A;RPS6KB2;PRKCA;ASAP3;PLCG1;PIP5K1C;GAB2;PIK3CB;PLD2;RPS6KB1;SPHK1;LIMK2;AKT2;PLPP1;PLPP3;ACTR3B;RAF1;SCIN;HCK;WAS;FCGR2A;PIK3R3;WASF1;ASAP1;PLA2G6;CFL2;PIK3CD;PTPRC	KEGG_2021_Human	False
prerank	Unfolded Protein Response	0.7637234123041431	5.176274010474372	0.0	0.0	0.0	102/112	19.99%	EEF2;CALR;HSPA5;HSP90B1;YWHAZ;ATF4;XBP1;EIF4EBP1;BAG3;RPS14;BANF1;EIF4G1;VEGFA;NPM1;EIF4A2;FUS;H2AX;YIF1A;SRPRA;TARS1;PDIA6;KHSRP;ALDH18A1;NOLC1;SHC1;ARFGAP1;PAIP1;CEBPB;SERP1;HYOU1;KIF5B;LSM4;SLC7A5;DDIT4;KDELR3;PREB;CKS1B;IARS1;XPOT;ERO1A;NHP2;EIF4A3;TUBB2A;DKC1;EDEM1;NFYA;SSR1;SEC31A;NOP56;HERPUD1;DNAJC3;SRPRB;HSPA9;EXOSC5;DNAJB9;SEC11A;RRP9;EIF2S1;SLC1A4;CXXC1;ZBTB17;ATP6V0D1;PSAT1;SPCS3;EXOSC10;EXOSC4;CNOT6;IFIT1;PDIA5;SDAD1;SPCS1;EXOSC2;DCTN1;EXOSC1;CCL2;EXOC2;MTHFD2;CEBPG;ATF6;NFYB;EDC4;WFS1;ERN1;CNOT2;WIPI1;GEMIN4;NOP14;EIF2AK3;FKBP14;TSPYL2;SLC30A5;MTREX;EXOSC9;CNOT4;GOSR2;LSM1;ATF3;PARN;POP4;DCP1A;DDX10;CHAC1	MSigDB_Hallmark_2020	False
prerank	Interferon Alpha Response	0.7352745927778535	5.152433675010142	0.0	0.0	0.0	80/97	19.76%	IFITM3;HLA-C;TXNIP;LGALS3BP;ISG15;CD74;LY6E;B2M;BST2;PSME1;ADAR;IFITM1;STAT2;IFI27;CD47;PSME2;UBE2L6;PSMA3;WARS1;IFITM2;PARP14;IRF7;TAP1;IFI35;IFI44;NCOA7;C1S;TRIM26;CNP;TRAFD1;MX1;NUB1;LAMP3;PSMB8;SLC25A28;HELZ2;IFIT3;MOV10;PARP12;OGFR;GBP2;LAP3;PARP9;CXCL10;CMTR1;TRIM14;PSMB9;IL4R;PLSCR1;BATF2;MVB12A;NMI;EIF2AK2;UBA7;CSF1;PNPT1;ELF1;RTP4;RIPK2;TMEM140;TDRD7;OAS1;TRIM25;USP18;DDX60;IFIT2;IRF2;IRF1;TRIM21;TENT5A;DHX58;GBP4;RSAD2;HERC6;CASP1;IFI44L;ISG20;CMPK2;EPSTI1;SAMD9L	MSigDB_Hallmark_2020	True
prerank	Epithelial cell signaling in Helicobacter pylori infection	0.6500077492692901	4.786951291252755	0.0	0.0	0.0	51/70	20.67%	RAC1;ATP6V1F;ATP6V0E1;NFKBIA;ATP6V0B;MAPK13;JUN;EGFR;ATP6V1G1;TCIRG1;F11R;ATP6V1C2;MET;GIT1;ATP6AP1;RELA;LYN;ATP6V1E1;PTPN11;CDC42;ATP6V1D;CXCL2;CCL5;ATP6V1A;PAK1;ATP6V1H;CSK;ATP6V0D1;ATP6V1C1;SRC;MAPK14;CXCL1;ATP6V0A1;MAPK9;CASP3;ATP6V1B2;PLCG1;TJP1;MAP2K4;ATP6V0E2;NFKB1;CHUK;NOD1;PTPRZ1;MAPK8;IKBKB;ADAM10;MAPK11;CXCL8;ADAM17;HBEGF	KEGG_2021_Human	False
prerank	Amino sugar and nucleotide sugar metabolism	0.6879644363924688	4.643623205002923	0.0	0.0	0.0	45/48	27.97%	GFUS;GFPT1;GALE;CMAS;HK1;PGM1;CYB5R3;UGDH;UGP2;GALK1;UAP1;GPI;CYB5R1;HEXB;UXS1;GNPDA1;GMPPA;NAGK;UAP1L1;NANS;RENBP;HK2;GNPNAT1;PGM2;CHIT1;PMM1;GNE;PGM3;FCSK;GALT;GMDS;GMPPB;HKDC1;FPGT;AMDHD2;GNPDA2;MPI;NPL;NANP;HK3;PMM2;CHIA;CYB5R4;GFPT2;HEXA	KEGG_2021_Human	False
prerank	Reactive Oxygen Species Pathway	0.725065825582738	4.3364265551000205	0.0	0.0	0.0	44/48	22.83%	FTL;TXN;GPX4;PDLIM1;PRDX1;SOD1;PRDX6;MGST1;PRDX4;JUNB;NDUFB4;NDUFA6;PRDX2;PTPA;GPX3;SBNO2;PFKP;PRNP;GSR;TXNRD1;LAMTOR5;G6PD;CAT;NQO1;STK25;NDUFS2;SELENOS;SCAF4;FES;OXSR1;HMOX2;GCLM;ABCC1;GCLC;CDKN2D;HHEX;ATOX1;ERCC2;TXNRD2;GLRX;LSP1;GLRX2;MBP;IPCEF1	MSigDB_Hallmark_2020	False
prerank	Proteasome	0.7404273925964253	4.244652439218721	0.0	0.0	0.0	36/46	14.16%	PSMB4;PSMA7;PSMD4;PSMB3;PSME1;PSMB5;PSMB7;PSMD2;ADRM1;PSMB6;PSMC3;PSMB1;PSMD3;PSME2;PSMB2;PSMC5;POMP;PSMA3;PSMC4;PSMD8;PSMD13;PSMD11;PSME3;PSMA5;PSMB8;PSMC2;PSMD12;PSMB9;SEM1;PSMA4;PSMC6;PSME4;PSMB10;PSMF1;PSMD14;PSMD7	KEGG_2021_Human	False
prerank	Bladder cancer	0.7548193391654211	4.244052459687011	0.0	0.0	0.0	38/41	22.92%	CDH1;VEGFA;CDKN1A;ERBB2;CCND1;MMP2;EGFR;TYMP;ARAF;MAP2K2;CDK4;MMP9;THBS1;NRAS;HRAS;E2F1;MAPK3;CDKN2A;DAPK3;UPK3A;MAPK1;SRC;MAP2K1;DAPK1;E2F3;TP53;MMP1;KRAS;MYC;RASSF1;MDM2;RAF1;FGFR3;CXCL8;HBEGF;E2F2;BRAF;RB1	KEGG_2021_Human	False
prerank	Mitophagy	0.6950845514660146	4.2252420166537625	0.0	0.0	0.0	59/68	25.04%	RPS27A;UBC;TOMM7;ATF4;UBA52;FIS1;TAX1BP1;JUN;UBB;HIF1A;RAB7A;SQSTM1;RHOT2;ULK1;RELA;BNIP3L;NRAS;RRAS;BNIP3;CITED2;PGAM5;HRAS;E2F1;TFE3;NBR1;BCL2L1;MFN2;OPTN;SP1;SRC;CALCOCO2;GABARAPL2;FUNDC1;GABARAPL1;MAPK9;TP53;MFN1;KRAS;RHOT1;TBC1D17;BECN1;MRAS;BCL2L13;EIF2AK3;ATG9B;MAPK8;TBC1D15;ATG9A;ATG5;RRAS2;AMBRA1;CSNK2B;FOXO3;RAB7B;TBK1;USP30;PINK1;USP15;CSNK2A1	KEGG_2021_Human	False
