Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	Cholesterol Homeostasis	0.7224523991800713	5.478743764442519	0.0	0.0	0.0	60/74	20.59%	ACTG1;S100A11;CLU;SCD;LGALS3;LGMN;ANXA5;MAL2;GUSB;ERRFI1;CTNNB1;CD9;PMVK;ALCAM;ECH1;CXCL16;SREBF2;DHCR7;TM7SF2;TMEM97;TNFRSF12A;ACSS2;FBXO6;FASN;STX5;FDFT1;PNRC1;SQLE;LDLR;MVD;FADS2;IDI1;ALDOC;CHKA;NSDHL;NFIL3;TP53INP1;EBP;ABCA2;LSS;PLSCR1;SC5D;FDPS;NIBAN1;HMGCR;HMGCS1;MVK;PLAUR;ATF5;TRIB3;SEMA3B;ETHE1;PCYT2;CPEB2;ANTXR2;HSD17B7;LPL;ATXN2;ACAT2;JAG1	MSigDB_Hallmark_2020	False
prerank	TGF-beta Signaling	0.7583780104435541	5.265062358635684	0.0	0.0	0.0	49/54	21.53%	THBS1;JUNB;CDH1;FURIN;CTNNB1;TGFB1;RHOA;IFNGR2;PPP1CA;ENG;CDK9;SKI;HDAC1;KLF10;PPP1R15A;ID2;NCOR2;SMURF2;PMEPA1;FKBP1A;UBE2D3;SPTBN1;SERPINE1;LTBP2;SMAD3;SMURF1;ID3;WWTR1;TJP1;HIPK2;BMPR2;ACVR1;XIAP;TGIF1;SMAD7;SKIL;TGFBR1;SLC20A1;RAB31;PPM1A;ID1;SMAD6;ARID4B;BMP2;SMAD1;MAP3K7;BMPR1A;CDKN1C;TRIM33	MSigDB_Hallmark_2020	True
prerank	Leishmaniasis	0.7163620194911184	5.1423838639611565	0.0	0.0	0.0	44/74	11.28%	HLA-DRA;HLA-DRB1;EEF1A1;HLA-DPB1;HLA-DRB5;MARCKSL1;HLA-DQB1;HLA-DMA;C3;FOS;HLA-DPA1;JUN;CYBA;NFKBIA;HLA-DQA1;TGFB1;HLA-DQA2;HLA-DOA;IFNGR2;ITGB2;TLR2;MAPK13;IRAK1;STAT1;IFNGR1;MAPK3;MAPK1;RELA;TGFB3;PTPN6;NFKBIB;HLA-DMB;MAPK14;NCF4;NFKB1;ITGB1;FCGR3A;JAK1;TAB1;MYD88;ELK1;TAB2;PTGS2;CYBB	KEGG_2021_Human	False
prerank	Viral myocarditis	0.7428662125750517	4.839420305067083	0.0	0.0	0.0	37/57	10.54%	HLA-DRA;HLA-DRB1;ACTB;HLA-A;HLA-B;ACTG1;HLA-C;HLA-E;HLA-DPB1;HLA-DRB5;HLA-DQB1;HLA-DMA;HLA-DPA1;RAC1;EIF4G2;CCND1;ICAM1;HLA-DQA1;PRF1;EIF4G1;HLA-DQA2;HLA-DOA;HLA-F;ITGB2;RAC2;ABL1;CD40;DAG1;HLA-DMB;HLA-G;CD55;CXADR;CASP3;BID;CYCS;FYN;SGCB	KEGG_2021_Human	False
prerank	Renal cell carcinoma	0.6499058449264423	4.568544441174784	0.0	0.0	0.0	51/69	18.22%	RAC1;ELOB;JUN;TGFB1;EPAS1;ARAF;GRB2;CRKL;MAPK3;MAPK1;RBX1;HIF1A;TFE3;CDKN1A;MAP2K1;TGFB3;VEGFA;RAPGEF1;FH;PAK4;MAP2K2;HRAS;PRCC;PTPN11;PAK2;PAK1;EP300;ARNT;MET;CDC42;BAD;RAP1A;AKT1;CRK;CREBBP;ELOC;TGFA;PAK6;AKT2;ETS1;SOS2;KRAS;SLC2A1;NRAS;VHL;PIK3CB;PDGFB;SOS1;CUL2;RAF1;ARNT2	KEGG_2021_Human	False
prerank	IL-6/JAK/STAT3 Signaling	0.6183735227870242	4.541152293858512	0.0	0.0	0.0	58/87	22.23%	JUN;A2M;CD9;IL1R1;TGFB1;CXCL1;TNFRSF1A;IFNGR2;CD14;TNFRSF21;TLR2;CSF1;CD44;GRB2;STAT3;SOCS3;IL13RA1;STAT1;LTBR;HMOX1;HAX1;TNFRSF12A;CSF3R;IFNGR1;ACVR1B;TYK2;CD36;OSMR;LTB;STAT2;TNFRSF1B;IL4R;SOCS1;IFNAR1;IL6ST;PTPN11;PIM1;CXCL9;PTPN1;MYD88;PDGFC;CSF2RA;BAK1;CXCL10;IL3RA;IRF1;IL15RA;STAM2;CCR1;ACVRL1;IL17RA;MAP3K8;IL1B;CBL;IL2RG;EBI3;IL7;CSF2RB	MSigDB_Hallmark_2020	False
prerank	VEGF signaling pathway	0.6229044086378401	4.452725710128076	0.0	0.0	0.0	43/59	24.43%	HSPB1;RAC1;MAPKAPK2;SRC;MAPK13;RAC2;MAPK3;MAPK1;MAP2K1;VEGFA;MAP2K2;PLA2G4F;MAPK14;SHC2;HRAS;PTK2;CDC42;BAD;PPP3CA;AKT1;PLCG1;PPP3R1;PTGS2;PLA2G4A;AKT2;MAPKAPK3;PPP3CB;KRAS;NRAS;PIK3CB;PXN;RAF1;RAC3;PPP3CC;PIK3R1;NFATC2;KDR;SPHK2;PIK3R3;CASP9;PIK3CD;MAPK11;PRKCA	KEGG_2021_Human	False
prerank	Mitophagy	0.7066363647790538	4.4360253822188636	0.0	0.0	0.0	56/68	22.21%	UBC;RPS27A;JUN;UBB;UBA52;ATF4;FIS1;TOMM7;CITED2;SQSTM1;RRAS;RAB7A;SRC;BNIP3L;BCL2L1;GABARAPL2;GABARAPL1;HIF1A;NBR1;RELA;TFE3;RHOT2;TAX1BP1;CALCOCO2;ULK1;TBC1D17;HRAS;OPTN;BNIP3;MFN2;SP1;RRAS2;PGAM5;FUNDC1;AMBRA1;BCL2L13;TP53;TFEB;KRAS;BECN1;MAPK9;E2F1;RAB7B;RHOT1;NRAS;MFN1;ATG9A;FOXO3;TBC1D15;EIF2AK3;ATG5;PINK1;CSNK2B;USP30;MAPK8;CSNK2A1	KEGG_2021_Human	False
prerank	Allograft rejection	0.77856265289485	4.378585565386994	0.0	0.0	0.0	19/35	7.43%	HLA-DRA;HLA-DRB1;HLA-A;HLA-B;HLA-C;HLA-E;HLA-DPB1;HLA-DRB5;HLA-DQB1;HLA-DMA;HLA-DPA1;HLA-DQA1;PRF1;HLA-DQA2;HLA-DOA;HLA-F;CD40;HLA-DMB;HLA-G	KEGG_2021_Human	False
prerank	Chronic myeloid leukemia	0.6992674566954408	4.294270359254156	0.0	0.0	0.0	68/76	25.94%	CCND1;NFKBIA;TGFB1;GADD45G;TGFBR2;HDAC1;ARAF;GRB2;BAX;CRKL;GADD45B;BCL2L1;MAPK3;MAPK1;CDKN1B;SHC1;RELA;ABL1;CDKN1A;MAP2K1;TGFB3;SMAD3;CTBP1;MAP2K2;SHC2;HRAS;BCR;PTPN11;CDK4;NFKB1;BAD;AKT1;CTBP2;CRK;RUNX1;STAT5B;AKT2;GADD45A;TGFBR1;BAK1;SOS2;DDB2;IKBKB;TP53;KRAS;E2F1;NRAS;STAT5A;PIK3CB;MYC;MECOM;RB1;SOS1;E2F3;RAF1;MDM2;GAB2;PIK3R1;SMAD4;CHUK;CBL;PIK3R3;PIK3CD;TGFB2;HDAC2;IKBKG;BRAF;POLK	KEGG_2021_Human	False
