Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	Protein Secretion	0.7408245531385466	5.060560137444585	0.0	0.0	0.0	87/96	22.54%	CD63;ANP32E;ARF1;KRT18;SOD1;CLTC;SCAMP3;PPT1;TMED2;GNAS;AP2M1;AP2B1;TMED10;ARCN1;CLTA;VAMP3;ERGIC3;AP2S1;LMAN1;BNIP3;STX16;ATP1A1;RAB14;EGFR;VAMP7;ARFGAP3;STX12;RAB2A;LAMP2;CAV2;COPB1;ICA1;VPS45;MAPK1;RER1;TSG101;COPE;YKT6;SEC31A;SCRN1;PAM;USO1;VPS4B;SGMS1;OCRL;NAPA;ARFGEF2;YIPF6;RAB5A;AP3S1;AP1G1;CTSC;ATP6V1H;TMX1;COPB2;GBF1;TOM1L1;GOLGA4;SNX2;RPS6KA3;IGF2R;ZW10;AP3B1;M6PR;ARFGEF1;RAB22A;STAM;ARFIP1;NAPG;CLCN3;RAB9A;ABCA1;TPD52;KIF1B;BET1;SEC22B;SCAMP1;ADAM10;GALC;MON2;COG2;VAMP4;GOSR2;GLA;DNM1L;SEC24D;STX7	MSigDB_Hallmark_2020	False
prerank	Glioma	0.6087812118517889	4.7533106916074015	0.0	0.0	0.0	46/75	17.31%	GRB2;CALM2;SHC1;CAMK2G;CALM3;ARAF;PRKCA;CAMK1D;BAX;EGFR;CAMK2D;CDK4;MAPK3;E2F1;NRAS;MAP2K2;MAPK1;CALM1;TP53;GADD45B;IGF1R;CCND1;BAK1;SOS1;PDGFA;PTEN;PDGFRB;HRAS;KRAS;PLCG1;RAF1;GADD45G;MAP2K1;AKT2;MTOR;PIK3R3;SOS2;AKT1;PIK3CD;MDM2;E2F3;BRAF;RB1;CDKN1A;GADD45A;PIK3CB	KEGG_2021_Human	False
prerank	Legionellosis	0.6034008560765572	4.5935886733231905	0.0	0.0	0.0	40/57	25.87%	EEF1A1;HSPA8;ARF1;NFKBIA;HSPD1;RAB1A;RAB1B;SAR1A;EEF1A2;BNIP3;NFKB2;RELA;VCP;CD14;HSPA1B;HSF1;CLK1;HSPA1A;C3;CASP7;CYCS;CASP8;BCL2L13;MYD88;TLR2;SAR1B;ITGB2;CASP3;NFKB1;IL18;CXCL2;SEC22B;CASP9;CXCL1;NLRC4;APAF1;HSPA6;HBS1L;CLK4;IL12A	KEGG_2021_Human	False
prerank	Non-alcoholic fatty liver disease	0.6601594202145395	4.487820694257124	0.0	0.0	0.0	110/155	18.55%	COX3;COX1;COX2;CYTB;NDUFB11;NDUFA1;NDUFS5;UQCRH;JUN;NDUFS6;COX8A;NDUFB7;COX6B1;COX7C;RAC1;ATF4;CYC1;NDUFV1;SDHC;NDUFA8;XBP1;IL6R;NDUFB10;COX5B;ADIPOR1;NDUFB4;NDUFA4;COX5A;NDUFA6;FOS;UQCRC1;COX7A2;NDUFA12;NDUFB3;COX6C;UQCRC2;BAX;SDHB;COX4I1;RELA;NDUFAB1;NDUFS8;UQCR10;PRKAB1;MLX;SREBF1;COX6A1;MAPK13;COX7A2L;NDUFS2;NDUFS4;CEBPA;SOCS3;PRKAA1;UQCRQ;NDUFB6;CDC42;PRKAG1;NDUFB1;DDIT3;MAPK14;NDUFA3;EIF2S1;CASP7;TNFRSF1A;COX7B;MLXIP;NDUFA2;INSR;CYCS;NDUFB2;SDHD;CASP8;IRS1;MAPK8;NDUFB9;NDUFB5;TRAF2;TGFB1;UQCRB;UQCRFS1;PRKAB2;MAP3K11;COX4I2;NDUFV3;AKT2;NDUFS3;NDUFC1;BID;PIK3R3;ERN1;RXRA;CASP3;AKT1;GSK3A;IKBKB;PIK3CD;NDUFS1;NDUFC2;NFKB1;BCL2L11;NDUFA10;ADIPOR2;UQCR11;NDUFA5;PIK3CB;ITCH;MAPK9;NR1H3;COX7B2	KEGG_2021_Human	False
prerank	Unfolded Protein Response	0.7470370200620295	4.405110055712748	0.0	0.0	0.0	99/112	20.05%	EEF2;HSPA5;CALR;RPS14;HSP90B1;BANF1;YWHAZ;TUBB2A;EIF4A2;ATF4;EIF4G1;FUS;XBP1;KHSRP;NPM1;NOLC1;TARS1;PAIP1;EIF4EBP1;SHC1;SRPRA;PREB;YIF1A;VEGFA;KIF5B;CEBPB;CKS1B;NOP56;EIF4A3;EXOSC5;ATF6;BAG3;SERP1;DKC1;ALDH18A1;LSM4;IARS1;GEMIN4;KDELR3;ARFGAP1;CXXC1;HSPA9;NFYA;SSR1;PDIA6;H2AX;SEC11A;XPOT;RRP9;HYOU1;NHP2;EXOSC10;SEC31A;DNAJB9;SDAD1;HERPUD1;EXOSC1;EIF2S1;ZBTB17;EXOSC2;SPCS1;CEBPG;DDIT4;EDEM1;IFIT1;EXOC2;PSAT1;SRPRB;ERO1A;EDC4;EXOSC4;NOP14;SPCS3;ERN1;SLC30A5;TSPYL2;CNOT6;ATP6V0D1;POP4;DCTN1;NABP1;SLC7A5;MTREX;WFS1;DNAJC3;CNOT2;LSM1;PARN;EXOSC9;ATF3;PDIA5;CCL2;IMP3;DDX10;CNOT4;DCP1A;SLC1A4;MTHFD2;NFYB	MSigDB_Hallmark_2020	False
prerank	Proteasome	0.7739440094299705	4.363943679494334	0.0	0.0	0.0	39/46	18.10%	PSMB4;PSMD4;PSMB3;PSMB5;PSMA7;PSME1;PSMB6;PSMB7;PSMD3;PSMC5;PSMB1;PSMA3;PSMD2;PSMC4;ADRM1;PSMC3;PSMD8;POMP;PSMD11;PSME2;PSMB2;PSME3;PSMD13;PSMD12;PSMB8;PSMA5;PSMC2;PSMA4;SEM1;PSMF1;PSMC6;PSMB9;PSME4;PSMD14;PSMD7;PSMD6;PSMD1;PSMA1;PSMB10	KEGG_2021_Human	False
prerank	Cell cycle	0.674726727589763	4.348947262484934	0.0	0.0	0.0	101/124	24.55%	YWHAE;YWHAZ;SFN;MCM3;YWHAQ;PCNA;YWHAG;CCND3;YWHAH;RAD21;ANAPC11;CDK7;MCM7;YWHAB;RBX1;HDAC1;ANAPC13;SMC3;CDK4;MCM6;E2F1;CDK1;CDC20;MCM4;TP53;CDC25B;SMC1A;CDKN1B;CUL1;E2F4;BUB3;CCNB1;GADD45B;SMAD3;ABL1;STAG2;ANAPC5;CCND1;PRKDC;ANAPC2;EP300;ZBTB17;MCM2;ANAPC7;MAD2L2;CDC27;CDKN2B;MCM5;TGFB1;SMAD4;GADD45G;CDC16;TFDP2;CDC23;TFDP1;ORC2;FZR1;PTTG1;CREBBP;CDK2;WEE1;CDC45;CDC26;ORC1;CDKN2C;CDC6;ORC3;SKP1;HDAC2;MDM2;E2F3;ORC5;RB1;ANAPC4;RBL2;CDKN1A;BUB1;PLK1;GADD45A;CCNB2;CHEK2;CDC7;CCNA2;CDKN2D;MYC;ORC4;GSK3B;CHEK1;DBF4;SMAD2;PKMYT1;ESPL1;SKP2;ATM;CDC14B;MAD2L1;E2F2;RBL1;ORC6;TTK;STAG1	KEGG_2021_Human	False
prerank	Colorectal cancer	0.6880076956593074	4.2186137278246845	0.0	0.0	0.0	65/86	21.08%	RAC3;JUN;RAC1;RHOA;GRB2;ARAF;FOS;BAX;EGFR;RALA;CTNNB1;MAPK3;NRAS;MAP2K2;MAPK1;BIRC5;TGFBR2;TP53;GADD45B;SMAD3;RALB;CCND1;RPS6KB1;BAK1;SOS1;CYCS;MAPK8;AXIN1;TGFB1;HRAS;KRAS;AREG;SMAD4;RAF1;GADD45G;RPS6KB2;MAP2K1;AKT2;MTOR;PIK3R3;SOS2;CASP3;AKT1;TGFBR1;PIK3CD;BAD;TCF7L2;MSH6;BCL2L11;BRAF;RAC2;CDKN1A;GADD45A;PIK3CB;APPL1;MAPK9;MYC;CASP9;DDB2;GSK3B;MSH2;RALGDS;BBC3;SMAD2;MLH1	KEGG_2021_Human	False
prerank	p53 signaling pathway	0.6670560000865854	4.188374804331874	0.0	0.0	0.0	66/73	29.65%	SFN;CCND3;EI24;PERP;BAX;IGFBP3;CDK4;STEAP3;SHISA5;CDK1;BCL2L1;TP53;TNFRSF10B;TP53I3;CCNB1;GADD45B;CCND1;AIFM2;CYCS;CASP8;CCNG1;MDM4;PTEN;SERPINE1;RRM2B;SIVA1;GADD45G;COP1;THBS1;BID;CDK2;TSC2;PIDD1;CASP3;PPM1D;MDM2;CCNG2;CDKN1A;SESN2;GADD45A;CCNB2;CD82;CHEK2;RRM2;SESN3;CASP9;DDB2;TNFRSF10A;CHEK1;GTSE1;BBC3;GORAB;APAF1;ATM;SESN1;SIAH1;PMAIP1;FAS;RCHY1;BCL2;CCNE1;ZMAT3;ADGRB1;ATR;CCNE2;CCND2	KEGG_2021_Human	True
prerank	Non-small cell lung cancer	0.6618397764620759	4.181953555425989	0.0	0.0	0.0	50/72	20.55%	ERBB2;GRB2;ARAF;PRKCA;KIF5B;BAX;EGFR;MET;CDK4;STAT3;MAPK3;RXRB;E2F1;NRAS;MAP2K2;STAT5B;MAPK1;EML4;TP53;GADD45B;CCND1;BAK1;SOS1;HRAS;KRAS;PLCG1;RAF1;GADD45G;MAP2K1;AKT2;PIK3R3;SOS2;RXRA;AKT1;PIK3CD;RASSF5;BAD;STAT5A;E2F3;BRAF;RB1;RASSF1;CDKN1A;GADD45A;PIK3CB;FOXO3;STK4;CASP9;DDB2;PLCG2	KEGG_2021_Human	False
prerank	Viral myocarditis	0.6634095297423324	4.158412007954384	0.0	0.0	0.0	40/57	19.68%	ACTG1;ACTB;HLA-DRA;HLA-DRB1;HLA-C;HLA-B;HLA-A;HLA-DRB5;HLA-E;ICAM1;EIF4G2;RAC3;RAC1;EIF4G1;CD55;HLA-DPA1;DAG1;HLA-DQB1;CAV1;HLA-DPB1;HLA-DMA;HLA-DQA1;ABL1;CCND1;HLA-F;CYCS;CASP8;BID;HLA-DMB;ITGB2;CASP3;EIF4G3;CXADR;RAC2;HLA-DOA;HLA-DQA2;FYN;ABL2;CASP9;DMD	KEGG_2021_Human	False
prerank	Antigen processing and presentation	0.6458365005691239	4.132077877706696	0.0	0.0	0.0	41/70	13.65%	HSP90AB1;HLA-DRA;HLA-DRB1;HLA-C;HSPA5;CALR;HLA-B;HLA-A;CD74;HSPA8;HLA-DRB5;HLA-E;B2M;PSME1;HSP90AA1;CANX;CTSS;CTSB;LGMN;HLA-DPA1;TAPBP;PSME2;PSME3;HLA-DQB1;NFYA;RFX5;HLA-DPB1;NFYC;HSPA1B;TAP1;HLA-DMA;HSPA1A;HLA-DQA1;HSPA4;RFXANK;HLA-F;CTSL;PDIA3;CD4;TAP2;HLA-DMB	KEGG_2021_Human	False
prerank	Nucleotide excision repair	0.6805242410573271	4.113049674569493	0.0	0.0	0.0	37/46	21.50%	PCNA;RAD23B;POLD2;RAD23A;CDK7;RPA2;POLE3;RBX1;CETN2;RPA1;DDB1;RFC2;LIG1;POLD1;POLE4;RPA3;CUL4B;ERCC1;GTF2H3;RFC4;ERCC3;RFC5;RFC1;CUL4A;XPA;POLE;POLD3;RFC3;ERCC2;GTF2H1;POLE2;DDB2;MNAT1;POLD4;XPC;GTF2H5;ERCC6	KEGG_2021_Human	False
prerank	Inositol phosphate metabolism	0.6286695530946196	4.0747378844843105	0.0	0.0	0.0	59/73	28.58%	INPPL1;PI4KB;PIP5K1A;TPI1;CDIPT;PIP4K2B;PIP4K2C;MTMR4;ITPKC;PLCB3;PIP5KL1;OCRL;ISYNA1;ALDH6A1;PI4KA;PIP4K2A;PTEN;IMPA2;PLCG1;INPP5K;MTMR14;MINPP1;PI4K2B;PIP5K1C;INPP5A;PIK3CD;IPMK;PI4K2A;ITPKB;ITPK1;MTMR1;SACM1L;PIK3CB;INPP5F;INPP1;INPP4A;INPP5E;PIK3C2A;ITPKA;PLCG2;SYNJ1;PIKFYVE;MTMR6;PLCD1;INPP5B;IMPA1;PLCH1;PIK3C3;SYNJ2;MTMR2;PLCB2;PLCE1;PLCB1;INPP5J;MTM1;MTMR3;PLCD3;PIK3CA;INPP5D	KEGG_2021_Human	False
prerank	Acute myeloid leukemia	0.6696709904702848	4.066546990269035	0.0	0.0	0.0	47/67	18.78%	JUP;GRB2;EIF4EBP1;ARAF;RELA;CD14;PPARD;STAT3;MAPK3;NRAS;MAP2K2;STAT5B;MAPK1;CEBPA;RARA;RUNX1;CCND1;KIT;RPS6KB1;DUSP6;SOS1;PIM2;HRAS;KRAS;RAF1;RPS6KB2;MAP2K1;AKT2;PER2;MTOR;PIK3R3;PIM1;SOS2;SPI1;AKT1;IKBKB;PIK3CD;BAD;STAT5A;NFKB1;TCF7L2;BRAF;CHUK;CSF1R;PIK3CB;CCNA2;MYC	KEGG_2021_Human	False
prerank	B cell receptor signaling pathway	0.5788957383483724	4.058748092652916	0.0	0.0	0.0	64/79	33.09%	RAC3;INPPL1;JUN;NFKBIA;RAC1;GRB2;FOS;CD81;RELA;MAPK3;PPP3CB;NRAS;MAP2K2;MAPK1;PPP3CA;VAV2;NFKBIB;SOS1;SYK;PPP3R1;HRAS;KRAS;NFKBIE;RAF1;MAP2K1;AKT2;PIK3R3;SOS2;AKT1;IKBKB;PIK3CD;NFKB1;VAV1;PTPN6;LYN;IFITM1;CHUK;RAC2;BCL10;PIK3CB;CD79A;GSK3B;PLCG2;NFATC2;PPP3CC;MALT1;CR2;IKBKG;LILRB4;NFATC1;PIK3R1;PIK3CA;INPP5D;LILRB2;RASGRP3;NFATC3;PIK3AP1;VAV3;CD72;LILRB1;LILRB3;BTK;CARD11;BLNK	KEGG_2021_Human	False
prerank	RNA polymerase	0.7150837936459343	4.054630676161008	0.0	0.0	0.0	28/31	25.07%	POLR2L;POLR2J;POLR2G;POLR2E;POLR2K;POLR2H;POLR3C;POLR2A;POLR2C;POLR2D;POLR1C;POLR3A;POLR2B;POLR1E;POLR3GL;POLR1D;POLR1F;POLR3K;POLR1A;POLR3F;POLR3E;POLR3D;POLR2F;POLR1B;POLR1H;POLR3H;POLR2I;POLR3B	KEGG_2021_Human	True
