Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	Cholesterol Homeostasis	0.7125934490526776	6.054186613621789	0.0	0.0	0.0	61/74	21.00%	ACTG1;S100A11;LGMN;CD9;LGALS3;LPL;SCD;ANXA5;FASN;CLU;PMVK;CTNNB1;GUSB;MAL2;ECH1;FDFT1;ERRFI1;ALCAM;SQLE;ETHE1;TRIB3;PNRC1;DHCR7;TM7SF2;FADS2;ANXA13;TMEM97;CXCL16;NSDHL;IDI1;SREBF2;STX5;NFIL3;TP53INP1;ATF5;EBP;FDPS;MVD;SC5D;PLAUR;NIBAN1;CPEB2;ACSS2;PLSCR1;TNFRSF12A;ATF3;ANTXR2;MVK;LSS;HMGCR;LDLR;CHKA;ATXN2;PCYT2;GPX8;ABCA2;ALDOC;ACAT2;HSD17B7;FBXO6;SEMA3B	MSigDB_Hallmark_2020	False
prerank	Endometrial cancer	0.6213766061531031	5.252605527405477	0.0	0.0	0.0	48/58	26.59%	CCND1;GADD45G;CTNNB1;CTNNA1;CDKN1A;CDH1;ERBB2;ARAF;MAP2K2;BAX;GRB2;GADD45A;MYC;NRAS;GADD45B;HRAS;KRAS;MAP2K1;AKT1;MAPK3;BAK1;MAPK1;TP53;ELK1;BAD;AXIN1;PIK3CB;AKT2;RAF1;SOS2;AKT3;SOS1;EGFR;TCF7L2;GSK3B;PTEN;FOXO3;CASP9;AXIN2;MLH1;DDB2;PIK3R3;EGF;PDPK1;LEF1;PIK3CD;PIK3R1;APC	KEGG_2021_Human	False
prerank	RNA degradation	0.6439948826596731	5.025277105997451	0.0	0.0	0.0	65/76	22.52%	PABPC1;ENO1;BTG2;HSPD1;BTG1;LSM7;LSM4;LSM2;XRN2;ENO2;PFKP;EXOSC4;HSPA9;TOB1;PFKL;EXOSC5;TOB2;CNOT9;CNOT8;PATL1;PABPC4;PABPC1L;DDX6;LSM3;CNOT1;PFKM;BTG3;LSM1;CNOT7;CNOT3;EXOSC1;EXOSC7;ZCCHC7;EXOSC6;EDC4;PNPT1;ENO3;PARN;CNOT2;LSM5;MPHOSPH6;PAN3;CNOT6;DCP1A;NUDT16;EXOSC10;EDC3;CNOT10;TENT4A;EXOSC2;MTREX;PAN2;EXOSC9;DIS3L;DCP1B;CNOT6L;C1D;DHX36;EXOSC8;DCPS;LSM6;TENT4B;CNOT4;DIS3;XRN1	KEGG_2021_Human	False
prerank	Base excision repair	0.7269769221787277	5.007777648690201	0.0	0.0	0.0	30/33	23.53%	APEX1;PCNA;POLD2;NTHL1;UNG;MPG;SMUG1;POLE3;PARP1;HMGB1;POLE4;TDG;NEIL2;FEN1;MBD4;APEX2;XRCC1;PARP4;PARP3;POLL;POLD1;POLB;PARP2;POLE;LIG1;LIG3;POLD4;POLD3;POLE2;NEIL1	KEGG_2021_Human	False
prerank	Reactive Oxygen Species Pathway	0.757738342140875	4.755109017955045	0.0	0.0	0.0	41/48	19.81%	FTL;NQO1;PRDX4;TXN;TXNRD1;G6PD;PRDX6;GPX4;PRDX1;SOD1;MGST1;JUNB;PRDX2;GSR;PDLIM1;NDUFB4;GPX3;SBNO2;NDUFA6;PFKP;LAMTOR5;PRNP;SELENOS;PTPA;NDUFS2;CAT;HMOX2;STK25;ABCC1;GCLC;CDKN2D;GCLM;MSRA;OXSR1;ATOX1;SCAF4;TXNRD2;ERCC2;GLRX2;FES;GLRX	MSigDB_Hallmark_2020	False
prerank	Fructose and mannose metabolism	0.6652311677593656	4.670037536284002	0.0	0.0	0.0	26/33	24.33%	TPI1;AKR1B10;AKR1B1;GFUS;PFKP;FBP1;HK2;HK1;PFKFB3;GMDS;PFKL;PFKM;GMPPA;HKDC1;GMPPB;FCSK;PMM1;TKFC;ALDOC;PFKFB2;ALDOA;KHK;MPI;SORD;PFKFB4;PMM2	KEGG_2021_Human	False
prerank	Notch signaling pathway	0.6631928077702548	4.649822172535196	0.0	0.0	0.0	49/59	24.08%	HES1;APH1A;NCSTN;LFNG;DLL3;KAT2A;SNW1;NCOR2;HDAC1;NOTCH3;DVL3;RFNG;DVL1;JAG2;CTBP1;TLE2;PSENEN;DLL4;DTX3;PSEN1;DTX3L;CTBP2;TLE1;CIR1;RBPJ;NUMB;CREBBP;NOTCH2;DTX4;MAML1;HDAC2;EP300;DTX2;DLL1;DVL2;NOTCH1;TLE6;MAML3;ATXN1L;DTX1;HEYL;HEY1;MFNG;JAG1;NUMBL;APH1B;TLE4;ADAM17;NOTCH4	KEGG_2021_Human	True
prerank	Myc Targets V2	0.7664541086293634	4.6274098496736515	0.0	0.0	0.0	49/57	17.08%	HSPD1;SRM;NPM1;GNL3;FARSA;PA2G4;CDK4;CBX3;NOLC1;NOP56;AIMP2;UNG;NOC4L;HK2;DCTPP1;MRTO4;MYC;TMEM97;IMP4;HSPE1;RRP9;BYSL;TFB2M;EXOSC5;PES1;TBRG4;UTP20;PPRC1;PUS1;WDR43;GRWD1;MYBBP1A;SLC29A2;MCM4;RRP12;DDX18;MPHOSPH10;SUPV3L1;NDUFAF4;PLK1;NOP16;WDR74;NIP7;RABEPK;SLC19A1;LAS1L;MCM5;TCOF1;MAP3K6	MSigDB_Hallmark_2020	True
prerank	TGF-beta Signaling	0.745439496768263	4.548466559442301	0.0	0.0	0.0	50/54	21.85%	FURIN;ID1;RHOA;JUNB;CTNNB1;ID3;FKBP1A;PPP1CA;CDH1;ID2;NCOR2;HDAC1;UBE2D3;BMP2;IFNGR2;PPP1R15A;TGIF1;ENG;CDK9;KLF10;PMEPA1;RAB31;SKIL;SPTBN1;XIAP;SMURF1;HIPK2;ACVR1;SMAD7;SLC20A1;LTBP2;TGFBR1;SKI;PPM1A;THBS1;TGFB1;TJP1;WWTR1;ARID4B;TRIM33;SMURF2;FNTA;SMAD1;MAP3K7;SMAD3;BMPR2;CDKN1C;BMPR1A;SERPINE1;SMAD6	MSigDB_Hallmark_2020	True
prerank	Lysosome	0.6677928029240985	4.532496409901862	0.0	0.0	0.0	100/127	22.31%	CD63;PSAP;LAPTM4B;NAPSA;LAPTM4A;LGMN;CTSZ;ASAH1;GNS;GAA;LAMP1;CLTA;CTSB;ATP6AP1;GLB1;CTSD;GUSB;AP1M2;CLTC;LITAF;ATP6V0B;FUCA2;AP3D1;CD164;CTSS;DNASE2;NEU1;CTSA;FUCA1;ARSA;MAN2B1;NPC2;AGA;CTSC;M6PR;NAGLU;AP1S1;TCIRG1;ACP2;SMPD1;CLTB;HEXB;AP1B1;LAMP2;GNPTG;HGSNAT;PPT1;SLC11A2;TPP1;ENTPD4;SORT1;CTSH;HYAL2;SCARB2;ACP5;ATP6V0D1;CTSL;ATP6V1H;NAGA;IGF2R;GNPTAB;AP1G1;AP3S1;CTSF;LAPTM5;GM2A;SGSH;SUMF1;GGA3;HYAL1;GGA2;LIPA;AP1G2;GGA1;SLC17A5;AP3M1;ATP6V0A4;GLA;AP3B1;CTSO;IDUA;NPC1;MCOLN1;PLA2G15;AP1M1;CTNS;AP4M1;GALNS;ABCA2;SLC11A1;ATP6V0A1;GALC;PSAPL1;NAGPA;MANBA;AP3M2;AP3S2;CTSK;PPT2;LAMP3	KEGG_2021_Human	False
