Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	Interferon Alpha Response	0.7411951803153941	4.8666366371248735	0.0	0.0	0.0	85/97	20.87%	HLA-C;B2M;TXNIP;LGALS3BP;IFITM3;CD74;ISG15;PSME1;ADAR;LY6E;WARS1;TAP1;IFITM2;IFITM1;LAP3;CXCL10;UBE2L6;PSMB8;PSME2;STAT2;BST2;PSMA3;TRIM26;PSMB9;PARP14;CXCL11;IFI35;C1S;NUB1;LAMP3;IFIT3;TRAFD1;IL4R;PARP9;PLSCR1;GBP2;CMTR1;CNP;PARP12;IFI27;OGFR;OAS1;MOV10;CD47;RIPK2;TRIM21;TENT5A;IRF1;GBP4;IFI44;NMI;IRF7;EIF2AK2;HELZ2;SLC25A28;ELF1;IRF2;BATF2;RTP4;PNPT1;TMEM140;UBA7;CASP8;DHX58;NCOA7;MVB12A;MX1;TRIM5;DDX60;CASP1;ISG20;IFIH1;EPSTI1;CSF1;TDRD7;SAMD9L;SAMD9;TRIM25;USP18;CMPK2;TRIM14;IFIT2;SP110;RSAD2;HERC6	MSigDB_Hallmark_2020	True
prerank	Vibrio cholerae infection	0.6413317525182155	4.865321496327553	0.0	0.0	0.0	32/50	16.23%	ACTG1;ACTB;PDIA4;KDELR1;ARF1;SEC61A1;ATP6V0E1;KDELR2;GNAS;ERO1A;SEC61G;SEC61B;ATP6V1F;ATP6AP1;TCIRG1;ATP6V1G1;ATP6V0B;ATP6V1E1;ATP6V1A;ATP6V1C1;KDELR3;ATP6V1D;ATP6V0D1;PLCG1;ATP6V1H;ATP6V1B2;TJP1;SLC12A2;SEC61A2;PRKACA;PRKACB;ATP6V0A1	KEGG_2021_Human	False
prerank	Myc Targets V2	0.7326277808452342	4.801655963954091	0.0	0.0	0.0	49/57	20.49%	NPM1;HSPD1;CBX3;UNG;SRM;MRTO4;NOP56;NOLC1;FARSA;HK2;BYSL;PA2G4;GNL3;MCM4;DDX18;WDR43;PES1;CDK4;IMP4;TBRG4;MPHOSPH10;NOC4L;HSPE1;MYBBP1A;RRP9;DCTPP1;TCOF1;EXOSC5;PPRC1;MAP3K6;TMEM97;AIMP2;RCL1;TFB2M;GRWD1;PUS1;MCM5;RABEPK;MYC;NIP7;UTP20;SUPV3L1;RRP12;WDR74;SLC29A2;NDUFAF4;NOP16;PRMT3;PLK1	MSigDB_Hallmark_2020	True
prerank	B cell receptor signaling pathway	0.6142889199713305	4.732264030039597	0.0	0.0	0.0	65/79	31.31%	KRAS;RAC1;NFKBIA;IFITM1;CD81;GRB2;MAP2K1;NRAS;CD79A;RELA;INPPL1;JUN;AKT1;VAV2;MAPK1;RAC2;HRAS;PPP3R1;MAP2K2;MAPK3;FOS;PTPN6;RAC3;PPP3CA;BCL10;SOS1;PIK3CB;PPP3CB;LYN;AKT2;NFKBIB;CARD11;NFKB1;IKBKB;SYK;SOS2;NFKBIE;GSK3B;CHUK;VAV1;PIK3CD;RAF1;PPP3CC;PIK3R1;IKBKG;MALT1;PIK3AP1;LILRB3;PIK3CA;FCGR2B;PLCG2;LILRB4;NFATC2;DAPP1;CD79B;PIK3R3;LILRB2;NFATC3;BTK;LILRA6;INPP5D;LILRB1;CD19;LILRA5;BLNK	KEGG_2021_Human	False
prerank	Mitophagy	0.7265395038506369	4.581129946317615	0.0	0.0	0.0	56/68	19.36%	KRAS;UBC;RPS27A;HIF1A;ATF4;BCL2L1;UBB;RRAS;CITED2;BNIP3L;UBA52;TOMM7;RAB7A;FIS1;NRAS;RELA;TAX1BP1;SQSTM1;JUN;PGAM5;GABARAPL2;HRAS;MFN2;SP1;NBR1;OPTN;RHOT2;BNIP3;GABARAPL1;ULK1;TFE3;MFN1;CALCOCO2;MAPK9;TBC1D17;FUNDC1;SRC;TP53;BECN1;ATG5;ATG9A;E2F1;RHOT1;CSNK2A2;CSNK2A1;TBC1D15;EIF2AK3;BCL2L13;USP30;RRAS2;PINK1;MAPK8;FOXO3;AMBRA1;CSNK2B;TFEB	KEGG_2021_Human	False
prerank	Androgen Response	0.663892157001207	4.57861219633389	0.0	0.0	0.0	83/100	24.59%	KRT19;B2M;CCND1;KRT8;SAT1;NDRG1;B4GALT1;PMEPA1;XRCC5;XRCC6;H1-0;AKAP12;SLC38A2;MYL12A;LMAN1;SLC26A2;SCD;SMS;SPDEF;AZGP1;ACSL3;ELL2;UAP1;ADRM1;DHCR24;NCOA4;SPCS3;DNAJB9;AKT1;ACTN1;UBE2J1;IDI1;PA2G4;DBI;VAPA;ELOVL5;ABHD2;SRF;ITGAV;GNAI3;CCND3;FKBP5;GSR;TPD52;TMEM50A;TSC22D1;ANKH;PTK2B;CAMKK2;RAB4A;MAP7;PGM3;RPS6KA3;INSIG1;HMGCR;STK39;SGK1;SEC24D;ZMIZ1;UBE2I;APPBP2;HMGCS1;PDLIM5;TNFAIP8;RRP12;SELENOP;TMPRSS2;ELK4;STEAP4;NKX3-1;GPD1L;MAF;ARID5B;PTPN21;HPGD;PIAS1;NGLY1;PLPP1;CDK6;ZBTB10;FADS1;MERTK;CDC14B	MSigDB_Hallmark_2020	False
prerank	Amino sugar and nucleotide sugar metabolism	0.6972953447135254	4.575202542407422	0.0	0.0	0.0	42/48	25.51%	GALE;GFUS;GPI;UAP1;UGP2;UGDH;CYB5R3;PGM1;HK2;GFPT1;HEXB;CMAS;PGM2;GFPT2;HK1;GMPPA;GNPDA1;GALK1;GMDS;PGM3;NAGK;GNPNAT1;GNPDA2;CYB5R1;UXS1;NANS;FCSK;FPGT;NPL;MPI;GMPPB;GALT;GNE;PMM1;CYB5R4;HK3;RENBP;AMDHD2;UAP1L1;NANP;HKDC1;PMM2	KEGG_2021_Human	False
prerank	Chronic myeloid leukemia	0.7051534742401343	4.536172960563879	0.0	0.0	0.0	61/76	21.06%	CCND1;KRAS;CDKN1A;BCL2L1;NFKBIA;SHC1;GRB2;MAP2K1;GADD45A;NRAS;TGFB1;HDAC1;RELA;CDKN1B;PTPN11;GADD45B;CTBP1;ARAF;AKT1;ABL1;TGFBR2;MAPK1;BAX;BAK1;HRAS;CRK;MAP2K2;CDK4;MAPK3;SMAD3;TGFBR1;CRKL;SHC2;STAT5B;SOS1;CTBP2;PIK3CB;RUNX1;HDAC2;TP53;GADD45G;E2F3;AKT2;BCR;NFKB1;IKBKB;SMAD4;MDM2;SOS2;E2F1;MYC;RB1;DDB2;CHUK;PIK3CD;RAF1;BAD;GAB2;PIK3R1;STAT5A;IKBKG	KEGG_2021_Human	False
prerank	Proteasome	0.7777187406725342	4.469830982840457	0.0	0.0	0.0	39/46	16.73%	PSMB4;PSME1;PSMA7;PSMB3;PSMB1;PSMD2;PSMD4;PSMB5;PSMB7;PSMC4;PSMD8;PSMB8;PSME2;POMP;PSMB6;PSMC3;PSMA3;ADRM1;PSME3;PSMD3;PSMD13;PSMB9;PSMB2;PSMD12;PSMC5;PSMA5;PSMD11;PSMA4;PSMF1;PSMD14;PSMC6;PSME4;PSMB10;PSMC2;PSMD7;PSMD1;SEM1;PSMD6;PSMA1	KEGG_2021_Human	False
prerank	p53 signaling pathway	0.6947548044157008	4.459851648845657	0.0	0.0	0.0	61/73	24.61%	CCND1;PERP;SERPINE1;CDKN1A;BCL2L1;SFN;IGFBP3;TNFRSF10B;GADD45A;SHISA5;GADD45B;CCNB1;CYCS;THBS1;EI24;PMAIP1;BAX;COP1;SIVA1;STEAP3;CCND3;CDK4;CASP3;CD82;CCNG2;RRM2B;RRM2;TP53;CCNG1;CCNB2;GADD45G;CDK2;GORAB;TP53I3;CASP9;TNFRSF10A;CASP8;MDM2;SERPINB5;CDK1;RCHY1;PTEN;PIDD1;DDB2;TSC2;MDM4;BID;SIAH1;SESN2;CCND2;ATM;CHEK1;AIFM2;CDK6;CCNE1;GTSE1;PPM1D;TP73;APAF1;ZMAT3;CHEK2	KEGG_2021_Human	True
