Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	Prostate cancer	0.6243375682815302	5.455297008972476	0.0	0.0	0.0	74/97	24.03%	HSP90AB1;GSTP1;HSP90B1;HSP90AA1;SPINT1;ATF4;CCND1;NFKBIA;CTNNB1;GRB2;ERBB2;ARAF;CREB3;TMPRSS2;CDKN1A;CDKN1B;MAPK1;CREB3L1;MMP9;CREB3L2;RELA;MAPK3;PDGFRB;MAP2K1;AKT1;MAP2K2;HRAS;NFKB1;PLAU;IKBKB;TP53;EP300;PIK3CD;ETV5;TCF7L1;PDGFA;NRAS;AKT2;CREBBP;PTEN;EGFR;PIK3R1;IGF1R;KRAS;RB1;SOS2;SOS1;RAF1;CREB3L4;TCF7L2;MTOR;PIK3CB;CDK2;CREB1;TCF7;MDM2;FOXO1;BAD;CASP9;PDPK1;CHUK;TGFA;PDGFC;FGFR1;PLAT;PDGFRA;ZEB1;E2F3;PDGFB;E2F1;GSK3B;LEF1;BCL2;PIK3R3	KEGG_2021_Human	False
prerank	Adherens junction	0.6676871519556762	5.310171197129118	0.0	0.0	0.0	58/71	23.12%	ACTB;ACTG1;RHOA;CTNNA1;ACTN4;RAC1;CDH1;NECTIN2;RAC2;TGFBR2;IQGAP1;CTNNB1;PTPRF;WASF2;MET;ERBB2;NECTIN4;MAPK1;PTPN6;LMO7;TGFBR1;PTPN1;ACP1;MAPK3;WASL;CDC42;ACTN1;AFDN;VCL;WAS;SMAD3;TJP1;EP300;TCF7L1;CREBBP;SRC;YES1;BAIAP2;PTPRJ;EGFR;PARD3;IGF1R;MAP3K7;FYN;PTPRM;TCF7L2;SMAD4;TCF7;RAC3;SORBS1;NLK;INSR;CTNND1;NECTIN1;FGFR1;FARP2;CSNK2A1;LEF1	KEGG_2021_Human	False
prerank	IL-6/JAK/STAT3 Signaling	0.6293102227045625	4.928543887184546	0.0	0.0	0.0	66/87	22.52%	A2M;CXCL13;CD9;LTB;TNFRSF1A;CD14;STAT3;IL6ST;GRB2;SOCS3;JUN;IFNGR1;HAX1;IL13RA1;TNFRSF12A;STAT2;TNFRSF21;OSMR;CD44;STAT1;TGFB1;TNFRSF1B;IFNGR2;CXCL9;HMOX1;PTPN1;PIM1;MYD88;TYK2;PTPN11;IL4R;IFNAR1;IL1R1;LTBR;TLR2;ACVR1B;CSF2RB;CSF1;IRF1;CXCL10;BAK1;CCR1;CXCL1;IL2RG;STAM2;CXCL3;PTPN2;MAP3K8;TNF;IL17RA;ACVRL1;IL3RA;IL15RA;CSF2;CBL;ITGA4;CSF2RA;IL12RB1;FAS;PDGFC;SOCS1;PIK3R5;CSF3R;CD38;EBI3;IRF9	MSigDB_Hallmark_2020	False
prerank	Myc Targets V2	0.7151981983242732	4.75393763837976	0.0	0.0	0.0	49/57	22.30%	NPM1;NOLC1;HSPD1;CBX3;GNL3;SRM;PA2G4;NOP56;EXOSC5;FARSA;MYBBP1A;PPRC1;MAP3K6;PES1;MRTO4;IMP4;CDK4;TFB2M;GRWD1;RRP9;DCTPP1;NOC4L;MYC;DDX18;SLC29A2;TMEM97;UNG;TBRG4;MPHOSPH10;BYSL;WDR43;MCM5;TCOF1;HSPE1;NIP7;SUPV3L1;WDR74;AIMP2;DUSP2;RCL1;RRP12;RABEPK;PUS1;NDUFAF4;HK2;MCM4;NOP16;LAS1L;UTP20	MSigDB_Hallmark_2020	True
prerank	ErbB signaling pathway	0.5959956996614808	4.732584798255604	0.0	0.0	0.0	64/85	24.03%	ERBB3;GRB2;JUN;ERBB2;ARAF;SHC1;CDKN1A;CDKN1B;MAPK1;CRKL;MAPK3;ABL1;MAP2K1;PAK2;STAT5B;AKT1;MAP2K2;CRK;HRAS;CAMK2D;PTK2;PAK4;MAPK9;PAK1;PIK3CD;CAMK2G;NCK2;NRAS;AKT2;SRC;MYC;BTC;ELK1;EIF4EBP1;EGFR;STAT5A;PLCG1;PIK3R1;KRAS;SOS2;SOS1;RAF1;RPS6KB2;MAP2K7;MTOR;PLCG2;PIK3CB;CBL;BAD;PRKCB;MAP2K4;SHC2;TGFA;RPS6KB1;MAPK8;SHC3;HBEGF;NCK1;PAK6;GSK3B;ABL2;CBLB;GAB1;PIK3R3	KEGG_2021_Human	False
prerank	Th17 cell differentiation	0.6912241096732948	4.621575846055237	0.0	0.0	0.0	88/105	26.22%	HLA-DRA;HLA-DRB1;HLA-DRB5;HSP90AB1;HSP90AA1;HLA-DPA1;HLA-DPB1;HLA-DMA;HLA-DQB1;FOS;NFKBIA;HLA-DQA1;STAT6;STAT3;TGFBR2;IL6ST;JUN;IFNGR1;CD4;STAT1;TGFB1;MAPK1;HLA-DOA;IFNGR2;RORC;CD3D;HIF1A;HLA-DQA2;CD3E;MAPK13;RELA;HLA-DMB;TGFBR1;RXRB;TYK2;MAPK3;IL4R;STAT5B;IL1R1;JAK1;IL6R;NFKB1;PPP3CB;SMAD3;NFKBIB;PPP3CA;IKBKB;MAPK9;NFKBIE;LCK;RUNX1;IRF4;JAK3;IL2RB;MAPK14;RARA;IL27RA;RXRA;PPP3R1;AHR;IL2RG;PPP3CC;STAT5A;PLCG1;ZAP70;MTOR;HLA-DOB;CD247;SMAD4;NFATC2;CHUK;MAPK11;IL12RB1;NFATC3;PRKCQ;CD3G;FOXP3;MAPK8;JAK2;SMAD2;IL21R;IL2RA;NFATC1;GATA3;IKBKG;TBX21;IL23A;RORA	KEGG_2021_Human	False
prerank	RNA degradation	0.6549407739298746	4.566695304952956	0.0	0.0	0.0	67/76	24.45%	PABPC1;ENO1;BTG2;BTG1;PFKL;HSPD1;XRN2;BTG3;CNOT8;TOB1;HSPA9;TOB2;LSM2;PABPC4;LSM4;DDX6;CNOT1;EXOSC5;LSM7;ENO2;MTREX;CNOT3;PARN;TENT4A;CNOT6;PATL1;NUDT16;CNOT9;CNOT7;PFKP;EXOSC10;PAN3;LSM3;EDC4;EXOSC4;PABPC1L;EXOSC6;DCP1A;EXOSC1;EXOSC8;PAN2;MPHOSPH6;DIS3L;CNOT6L;EXOSC7;ZCCHC7;EDC3;CNOT10;PNPT1;DCP2;EXOSC2;PFKM;DHX36;LSM1;CNOT2;DIS3;XRN1;EXOSC9;CNOT4;LSM5;C1D;DCPS;DCP1B;LSM6;LSM8;TENT4B;ENO3	KEGG_2021_Human	False
prerank	TGF-beta Signaling	0.7666984711038545	4.520422619778424	0.0	0.0	0.0	50/54	21.29%	RHOA;FURIN;CDH1;JUNB;THBS1;CTNNB1;LTBP2;PPP1CA;ENG;HDAC1;ID1;NCOR2;FKBP1A;TGFB1;CDK9;UBE2D3;IFNGR2;RAB31;ID3;PPP1R15A;SPTBN1;SKI;TGFBR1;PMEPA1;KLF10;ID2;SMURF1;SMAD3;TJP1;SKIL;SLC20A1;ACVR1;XIAP;SMURF2;SMAD7;CDKN1C;HIPK2;BMPR2;ARID4B;FNTA;PPM1A;TGIF1;MAP3K7;WWTR1;SMAD1;SERPINE1;TRIM33;BMP2;APC;BMPR1A	MSigDB_Hallmark_2020	True
prerank	Reactive Oxygen Species Pathway	0.6996998885131408	4.467094289826794	0.0	0.0	0.0	44/48	23.91%	FTL;TXN;PRDX1;PRDX6;GPX4;PDLIM1;JUNB;PRDX4;SOD1;NQO1;PRNP;NDUFA6;NDUFB4;CAT;GPX3;PTPA;SELENOS;PRDX2;TXNRD1;MGST1;HMOX2;G6PD;LSP1;GSR;STK25;SBNO2;LAMTOR5;NDUFS2;PFKP;SCAF4;OXSR1;FES;TXNRD2;ABCC1;HHEX;ATOX1;ERCC2;CDKN2D;GLRX;EGLN2;MSRA;MBP;GCLM;GLRX2	MSigDB_Hallmark_2020	False
prerank	Bladder cancer	0.7460626349196232	4.376122322235904	0.0	0.0	0.0	35/41	22.30%	CDH1;CCND1;MMP2;THBS1;FGFR3;ERBB2;ARAF;TYMP;CDKN1A;MAPK1;MMP9;DAPK1;MAPK3;MAP2K1;MAP2K2;HRAS;RASSF1;TP53;CDK4;NRAS;SRC;DAPK3;MYC;EGFR;CXCL8;VEGFA;KRAS;RB1;RAF1;MDM2;DAPK2;MMP1;HBEGF;E2F3;E2F1	KEGG_2021_Human	False
