Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	Fc gamma R-mediated phagocytosis	0.6913710654127904	5.823257384077699	0.0	0.0	0.0	73/96	22.67%	CFL1;MARCKSL1;FCGR3A;RAC1;RAC2;ACTR2;ARPC3;ARF6;ARPC2;VASP;GSN;MARCKS;ARPC4;WASF2;HCK;PRKCD;ACTR3;ARPC5;INPPL1;FCGR2A;CRKL;PTPRC;WAS;LYN;LIMK1;SYK;MAPK1;ARPC5L;PIK3CD;CDC42;MAPK3;MAP2K1;DNM2;PAK1;VAV2;CRK;ARPC1A;LIMK2;PIP5K1C;VAV1;SPHK1;AKT1;ASAP1;PIP5K1A;PLD2;PLCG1;PLPP1;PLPP2;INPP5D;BIN1;MYO10;DOCK1;AKT2;RPS6KB2;PLPP3;FCGR2B;GAB2;FCGR1A;CFL2;RAF1;NCF1;AKT3;PIK3CB;ASAP3;PIK3R1;RPS6KB1;PIK3R3;PLA2G4A;PRKCB;PRKCA;WASF1;PLA2G6;PLCG2	KEGG_2021_Human	False
prerank	Osteoclast differentiation	0.6813326160459352	5.592850499303748	0.0	0.0	0.0	99/126	21.32%	TYROBP;JUNB;FCGR3A;NFKBIA;RAC1;STAT1;SOCS3;TNFRSF1A;FOS;SPI1;STAT2;JUND;ACP5;GRB2;CYBA;TGFB1;CSF1R;JUN;NCF2;TREM2;IFNGR1;FOSL2;NFKB2;FOSL1;SIRPA;IFNGR2;LILRB4;RELA;FCGR2A;IL1R1;TGFBR2;TYK2;SQSTM1;CSF1;RELB;SYK;JAK1;MAPK1;PIK3CD;CTSK;LCK;NFKB1;MAPK3;NCF4;MAP2K1;OSCAR;PPP3CA;LCP2;LILRB2;TAB2;MAPK13;LILRA6;FHL2;IFNAR1;TRAF2;PPP3CB;SOCS1;AKT1;MAPK11;TGFBR1;PPP3R1;LILRB3;ITGB3;MAP2K7;FCGR2C;FYN;LILRB1;MAPK14;TAB1;AKT2;BTK;IKBKB;MAP3K7;FCGR2B;TNF;MAP3K14;SIRPG;CYLD;PPP3CC;GAB2;FCGR1A;LILRA5;IL1B;TGFB2;NCF1;FOSB;MAPK9;AKT3;PIK3CB;NFATC2;PIK3R1;CREB1;PIK3R3;CHUK;IRF9;PPARG;LILRB5;MAPK8;IFNG	KEGG_2021_Human	False
prerank	Protein Secretion	0.7443130801305772	5.473933510571342	0.0	0.0	0.0	87/96	21.39%	CD63;KRT18;ARF1;AP2M1;TMED2;PPT1;AP2S1;GNAS;SOD1;VAMP3;CLTA;TMED10;AP2B1;ERGIC3;CLTC;SCAMP3;ARCN1;COPE;RAB14;AP3S1;ANP32E;LAMP2;M6PR;PAM;COPB1;CTSC;RER1;ATP1A1;SEC31A;LMAN1;CAV2;USO1;STX16;RAB2A;TSG101;MAPK1;YKT6;ARFGAP3;VAMP7;STX12;TMX1;SCRN1;BNIP3;VPS4B;AP3B1;RAB5A;SNX2;IGF2R;DNM1L;ATP6V1H;ARFIP1;TPD52;AP1G1;RAB9A;ADAM10;CLCN3;ABCA1;RPS6KA3;RAB22A;GLA;GBF1;SEC24D;ARFGEF1;NAPA;COPB2;GOLGA4;EGFR;OCRL;STAM;VPS45;SCAMP1;SGMS1;NAPG;YIPF6;GALC;SEC22B;ARFGEF2;VAMP4;ZW10;DST;BET1;SSPN;STX7;ICA1;KIF1B;MON2;GOSR2	MSigDB_Hallmark_2020	False
prerank	Reactive Oxygen Species Pathway	0.7538163937442435	5.312037306304134	0.0	0.0	0.0	41/48	18.12%	FTL;TXN;JUNB;GPX4;PRDX1;PRDX6;PDLIM1;SOD1;GPX3;PRNP;PFKP;SBNO2;PRDX4;NDUFB4;NDUFA6;PTPA;PRDX2;NQO1;LSP1;MGST1;TXNRD1;G6PD;CAT;STK25;HMOX2;GSR;SELENOS;NDUFS2;ABCC1;GCLM;LAMTOR5;OXSR1;FES;ATOX1;SCAF4;CDKN2D;GLRX;ERCC2;TXNRD2;GCLC;HHEX	MSigDB_Hallmark_2020	False
prerank	Small cell lung cancer	0.6840003487516315	5.221091842047657	0.0	0.0	0.0	73/92	24.12%	FN1;LAMB3;LAMC2;NFKBIA;ITGA3;CDKN1A;CCND1;CKS2;COL4A1;COL4A2;CDK4;ITGAV;BAX;LAMC1;CDKN1B;BIRC3;ITGB1;LAMB2;GADD45B;ITGA6;BCL2L1;GADD45A;LAMA3;RELA;LAMB1;CYCS;TRAF1;BIRC2;MYC;PIK3CD;NFKB1;TRAF4;CKS1B;CASP3;LAMA5;RXRB;MAX;BAK1;ITGA2;GADD45G;TRAF2;TP53;AKT1;ZBTB17;PTEN;CDK2;CDKN2B;DDB2;XIAP;TRAF3;LAMA4;E2F1;PTK2;AKT2;RXRA;RB1;IKBKB;TRAF5;CDK6;E2F3;LAMC3;PTGS2;AKT3;PIK3CB;PIK3R1;PIK3R3;CHUK;CASP9;APAF1;CCNE1;TRAF6;LAMA2;IKBKG	KEGG_2021_Human	False
prerank	TGF-beta Signaling	0.7530078813424874	4.995349614555236	0.0	0.0	0.0	48/54	20.38%	JUNB;RHOA;SERPINE1;THBS1;PMEPA1;ENG;ID1;TGFB1;PPP1CA;ID3;RAB31;KLF10;CTNNB1;FKBP1A;FURIN;HDAC1;SLC20A1;NCOR2;CDH1;LTBP2;SKI;UBE2D3;IFNGR2;CDK9;ID2;PPP1R15A;SPTBN1;SMURF2;SMURF1;BCAR3;TGFBR1;SMAD7;TGIF1;SKIL;ACVR1;BMPR2;XIAP;WWTR1;TJP1;SMAD3;MAP3K7;FNTA;HIPK2;ARID4B;SMAD1;PPM1A;BMP2;TRIM33	MSigDB_Hallmark_2020	True
prerank	Prostate cancer	0.6453948258832465	4.8851629837571044	0.0	0.0	0.0	76/97	22.73%	HSP90AB1;MMP9;HSP90B1;HSP90AA1;PLAU;GSTP1;NFKBIA;ATF4;CDKN1A;CCND1;SPINT1;GRB2;CTNNB1;CDKN1B;PDGFRB;CREB3;MAP2K2;RELA;ARAF;HRAS;PDGFB;MAPK1;PIK3CD;NRAS;NFKB1;MAPK3;PDGFC;MAP2K1;ERBB2;TP53;AKT1;PTEN;KRAS;CDK2;TGFA;EP300;CREB3L1;E2F1;AKT2;PLAT;CREB3L2;RB1;TMPRSS2;IKBKB;CREBBP;PDGFA;SOS2;EGFR;TCF7L1;E2F3;MTOR;SOS1;ETV5;LEF1;TCF7L2;MDM2;RAF1;FOXO1;BAD;AKT3;PIK3CB;PIK3R1;ZEB1;PDGFRA;CREB1;CREB3L4;IGF1R;FGFR1;PIK3R3;CHUK;NKX3-1;TCF7;CASP9;ERG;GSK3B;CCNE1	KEGG_2021_Human	False
prerank	Neurotrophin signaling pathway	0.6291492558471279	4.854508947515927	0.0	0.0	0.0	91/119	24.68%	ARHGDIB;RHOA;NFKBIA;RAC1;YWHAE;ATF4;MAPKAPK2;ARHGDIA;CALM2;BEX3;IRAK1;GRB2;CALM1;JUN;CALM3;BAX;PRKCD;SHC1;MAP2K2;RELA;CRKL;MAGED1;RAPGEF1;NFKBIE;RPS6KA1;HRAS;RIPK2;ABL1;MAPK1;PIK3CD;PTPN11;NRAS;NFKB1;CDC42;MAPK3;MAP2K1;RAP1A;CRK;MAPK13;NFKBIB;SH2B3;TP53;AKT1;MAPK11;KRAS;PSEN1;MAP2K7;PLCG1;SH2B1;MAPK14;SORT1;MAP3K5;MAP3K3;PRDM4;AKT2;IRS1;RPS6KA2;CAMK2D;RPS6KA3;IKBKB;IRAK4;MATK;SOS2;CAMK2G;SOS1;FOXO3;MAP3K1;KIDINS220;MAPK7;FRS2;RAF1;MAPK9;BAD;AKT3;PIK3CB;RAP1B;ZNF274;PIK3R1;FASLG;PIK3R3;IRAK2;SH2B2;MAPK8;SHC2;GSK3B;PLCG2;MAP2K5;TRAF6;PDPK1;IRAK3;GAB1	KEGG_2021_Human	False
prerank	Chagas disease	0.6715304866544943	4.827766516393243	0.0	0.0	0.0	73/101	21.32%	C1QA;C1QB;C1QC;CALR;CCL5;NFKBIA;SERPINE1;C3;GNAI2;TNFRSF1A;FOS;GNAS;IRAK1;TGFB1;CCL2;JUN;IFNGR1;CD3D;PPP2R1A;MYD88;CD3E;IFNGR2;RELA;PPP2CB;PPP2CA;TGFBR2;PLCB3;MAPK1;PIK3CD;GNA15;NFKB1;MAPK3;TICAM1;PLCB2;TLR2;MAPK13;AKT1;CFLAR;GNAI3;MAPK11;TGFBR1;GNAQ;TGFB3;GNA11;MAPK14;ACE;CASP8;PPP2R2A;AKT2;CD247;FAS;IKBKB;IRAK4;CXCL8;TNF;CCL3L3;CCL3;PPP2R2D;CD3G;IL1B;TGFB2;MAP2K4;MAPK9;AKT3;PIK3CB;PIK3R1;FASLG;PIK3R3;CHUK;PPP2R1B;MAPK8;IFNG;IL6	KEGG_2021_Human	False
prerank	Acute myeloid leukemia	0.7031246746382266	4.706592109123481	0.0	0.0	0.0	55/67	20.58%	CD14;JUP;CCND1;EIF4EBP1;SPI1;GRB2;CSF1R;DUSP6;PIM1;MAP2K2;ITGAM;PIM2;BCL2A1;RELA;STAT3;ARAF;HRAS;PML;MYC;PPARD;MAPK1;PIK3CD;NRAS;NFKB1;MAPK3;MAP2K1;CCNA2;RUNX1;STAT5A;AKT1;CSF2;STAT5B;RARA;KRAS;AKT2;RPS6KB2;IKBKB;SOS2;TCF7L1;MTOR;SOS1;FCGR1A;LEF1;TCF7L2;RAF1;BAD;AKT3;PIK3CB;PIK3R1;CEBPA;RPS6KB1;PIK3R3;CHUK;PER2;TCF7	KEGG_2021_Human	False
