Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	Pancreatic cancer	0.6773604304967143	5.5237526212929104	0.0	0.0	0.0	65/76	26.71%	STAT1;RAC1;CDKN1A;RAC2;STAT3;CCND1;ARAF;TGFBR2;ERBB2;GADD45B;BAX;RALB;GADD45A;TGFB1;BCL2L1;RELA;MAPK1;VEGFA;RALA;JAK1;MAPK3;CDK4;PIK3CD;NFKB1;TP53;BAK1;MAP2K1;CDC42;KRAS;ARHGEF6;TGFB3;EGFR;RALBP1;TGFBR1;AKT1;RB1;GADD45G;IKBKB;PIK3CB;AKT2;PLD2;PIK3R1;SMAD3;RPS6KB2;TGFA;DDB2;MTOR;BAD;RAF1;E2F1;MAPK9;PIK3R3;CHUK;RPS6KB1;E2F3;SMAD4;RAC3;MAPK8;CDK6;CASP9;SMAD2;POLK;RALGDS;PLD1;AKT3	KEGG_2021_Human	False
prerank	Interferon Alpha Response	0.7624623220151369	5.231689902112162	0.0	0.0	0.0	82/97	15.84%	CD74;B2M;HLA-C;IFITM3;LGALS3BP;TXNIP;BST2;PSME1;WARS1;C1S;IFITM1;UBE2L6;LY6E;IFITM2;ISG15;LAP3;LAMP3;TAP1;CXCL10;PSME2;ADAR;IFI27;NCOA7;PSMB9;PSMB8;STAT2;PSMA3;GBP4;IFI35;GBP2;SELL;IRF7;PLSCR1;PARP14;IRF1;NUB1;CD47;TRIM21;TRAFD1;UBA7;ELF1;SLC25A28;TRIM26;IFIT3;IRF2;OGFR;SAMD9L;IFI44;IL4R;PARP12;EPSTI1;PARP9;CSF1;RIPK2;CNP;BATF2;TRIM14;CMTR1;CASP1;OAS1;ISG20;TMEM140;MX1;MOV10;NMI;TENT5A;IFIH1;HELZ2;EIF2AK2;DDX60;PNPT1;MVB12A;SP110;LPAR6;TRIM5;CXCL11;HERC6;DHX58;SAMD9;RTP4;TDRD7;CASP8	MSigDB_Hallmark_2020	True
prerank	Antigen processing and presentation	0.7570206573638624	5.119421411279713	0.0	0.0	0.0	41/70	6.35%	HLA-DRA;HLA-B;CD74;B2M;HLA-C;HLA-DRB1;HLA-A;HLA-E;HLA-DRB5;CALR;HSP90AB1;HSP90AA1;HSPA5;HSPA8;CTSB;PDIA3;PSME1;HLA-DPA1;CANX;CTSS;TAPBP;HLA-DPB1;HLA-DQB1;LGMN;HLA-DQA2;HLA-DMA;TAP1;PSME2;HSPA1B;HLA-DQA1;HSPA1A;CD4;HLA-DOA;HLA-F;CTSL;HSPA4;HLA-DMB;PSME3;CD8A;TAP2;RFX5	KEGG_2021_Human	False
prerank	Endometrial cancer	0.6477364354302985	5.098776656221561	0.0	0.0	0.0	48/58	24.62%	CDKN1A;CTNNA1;CTNNB1;GRB2;CDH1;CCND1;ARAF;ERBB2;GADD45B;BAX;GADD45A;MAP2K2;MAPK1;NRAS;MAPK3;PIK3CD;TCF7L1;TP53;BAK1;MAP2K1;MYC;ELK1;HRAS;KRAS;EGFR;AKT1;SOS1;GADD45G;PIK3CB;FOXO3;AKT2;PTEN;PIK3R1;SOS2;DDB2;TCF7;BAD;AXIN1;RAF1;PIK3R3;LEF1;MLH1;TCF7L2;AXIN2;PDPK1;APC;GSK3B;CASP9	KEGG_2021_Human	False
prerank	Renal cell carcinoma	0.682177456076136	4.999036606377362	0.0	0.0	0.0	53/69	17.72%	JUN;RAC1;ELOB;CDKN1A;EPAS1;GRB2;HIF1A;ETS1;ARAF;TGFB1;RAPGEF1;FH;MAP2K2;MAPK1;VEGFA;NRAS;TFE3;PAK2;PTPN11;PRCC;MAPK3;PIK3CD;PAK1;RBX1;CRKL;CRK;MET;RAP1A;MAP2K1;ARNT;CDC42;HRAS;KRAS;PAK4;TGFB3;EGLN3;EP300;AKT1;SOS1;VHL;PIK3CB;CREBBP;ELOC;AKT2;SLC2A1;PIK3R1;CUL2;TGFA;SOS2;BAD;RAF1;PIK3R3;PDGFB	KEGG_2021_Human	False
prerank	Unfolded Protein Response	0.7508855736767649	4.9785408324727	0.0	0.0	0.0	100/112	19.57%	EEF2;CALR;XBP1;HSP90B1;HSPA5;RPS14;YWHAZ;PDIA6;ATF4;BANF1;ATF3;HERPUD1;SRPRA;SERP1;CEBPB;EIF4A2;CCL2;NPM1;HYOU1;FUS;EIF4G1;DNAJC3;KIF5B;KHSRP;DNAJB9;YIF1A;SPCS3;BAG3;ALDH18A1;NOLC1;EDEM1;SEC31A;SHC1;HSPA9;PREB;TARS1;VEGFA;ERO1A;SEC11A;SSR1;H2AX;LSM4;DKC1;ARFGAP1;EIF4EBP1;SPCS1;EXOSC5;SRPRB;IARS1;DDIT4;NOP56;SLC7A5;NHP2;KDELR3;EIF2S1;ATP6V0D1;XPOT;DNAJA4;PAIP1;DCTN1;EIF4A3;CXXC1;SDAD1;ATF6;RRP9;PDIA5;TUBB2A;MTREX;CEBPG;WFS1;SLC1A4;TSPYL2;NFYA;WIPI1;CNOT6;SLC30A5;EXOSC10;EXOC2;POP4;NOP14;NFYB;EDC4;EXOSC4;EXOSC1;PARN;DCP1A;EIF2AK3;ZBTB17;ERN1;MTHFD2;PSAT1;CKS1B;EXOSC9;FKBP14;CNOT2;IMP3;LSM1;EXOSC2;TATDN2;DCP2	MSigDB_Hallmark_2020	False
prerank	Cholesterol Homeostasis	0.6937741009565045	4.866978022364545	0.0	0.0	0.0	55/74	17.32%	ACTG1;S100A11;LGALS3;ANXA5;LGMN;CLU;SCD;ATF3;PNRC1;MAL2;CTNNB1;ERRFI1;CXCL16;CD9;TP53INP1;ECH1;NFIL3;PMVK;PLSCR1;ALCAM;GUSB;FASN;SREBF2;FDFT1;PLAUR;ATF5;TNFRSF12A;STX5;LDLR;FBXO6;SQLE;ACSS2;DHCR7;NIBAN1;IDI1;FADS2;NSDHL;TMEM97;ETHE1;TM7SF2;HMGCR;LPL;GPX8;MVD;LSS;FDPS;ANTXR2;CHKA;HMGCS1;SC5D;ACAT2;EBP;STARD4;ALDOC;ABCA2	MSigDB_Hallmark_2020	False
prerank	TGF-beta Signaling	0.7638088661970882	4.644082543994808	0.0	0.0	0.0	47/54	17.92%	JUNB;RHOA;PPP1R15A;FURIN;ID1;CTNNB1;THBS1;ID2;CDH1;SERPINE1;ENG;PPP1CA;ID3;KLF10;IFNGR2;RAB31;PMEPA1;HDAC1;FKBP1A;UBE2D3;TGFB1;SLC20A1;CDK9;LTBP2;NCOR2;SPTBN1;SKI;SKIL;TGIF1;ACVR1;TGFBR1;XIAP;BMPR2;BMP2;WWTR1;SMAD3;SMURF1;MAP3K7;SMURF2;HIPK2;TJP1;ARID4B;SMAD7;FNTA;PPM1A;TRIM33;CDKN1C	MSigDB_Hallmark_2020	True
prerank	Viral myocarditis	0.7382388382982111	4.589022402936612	0.0	0.0	0.0	37/57	9.75%	HLA-DRA;HLA-B;ACTB;ACTG1;HLA-C;HLA-DRB1;HLA-A;HLA-E;HLA-DRB5;EIF4G2;HLA-DPA1;HLA-DPB1;HLA-DQB1;HLA-DQA2;HLA-DMA;ICAM1;RAC1;RAC2;HLA-DQA1;CD55;ITGB2;CCND1;HLA-DOA;HLA-F;EIF4G1;CAV1;CD40;HLA-DMB;PRF1;ABL1;DAG1;CASP3;CYCS;ITGAL;FYN;HLA-G;CD86	KEGG_2021_Human	False
prerank	Reactive Oxygen Species Pathway	0.7161134697215487	4.529351973170958	0.0	0.0	0.0	36/48	14.90%	FTL;JUNB;TXN;GPX4;PRDX1;PRDX6;PDLIM1;PRDX4;SOD1;CAT;PRNP;GPX3;SBNO2;NQO1;NDUFB4;PRDX2;NDUFA6;TXNRD1;SELENOS;PTPA;LSP1;GSR;G6PD;PFKP;LAMTOR5;ABCC1;MGST1;HMOX2;NDUFS2;STK25;OXSR1;ATOX1;FES;SCAF4;CDKN2D;GLRX	MSigDB_Hallmark_2020	False
