Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	Protein Secretion	0.7363115809210727	5.479423523989416	0.0	0.0	0.0	91/96	24.29%	CD63;ARF1;KRT18;TMED10;SOD1;TMED2;GNAS;AP2M1;CLTA;ERGIC3;PPT1;CLTC;ARCN1;RAB14;VAMP3;AP2S1;AP2B1;ANP32E;COPB1;ATP1A1;SCAMP3;LMAN1;MAPK1;VAMP7;SEC31A;USO1;TSG101;EGFR;TSPAN8;RAB2A;COPE;LAMP2;PAM;STX16;M6PR;SCRN1;ARFGAP3;VPS4B;RER1;STX12;RAB5A;AP1G1;OCRL;CLCN3;AP3S1;ARFIP1;GOLGA4;YKT6;AP3B1;RPS6KA3;RAB9A;COPB2;CTSC;ARFGEF1;GALC;TMX1;ZW10;SNX2;ATP6V1H;NAPA;BNIP3;DNM1L;ICA1;NAPG;YIPF6;BET1;CAV2;IGF2R;ARFGEF2;VPS45;SCAMP1;SEC24D;GBF1;SGMS1;RAB22A;SEC22B;ADAM10;VAMP4;TPD52;STAM;STX7;SSPN;MON2;DST;KIF1B;GOSR2;DOP1A;GLA;COG2;TOM1L1;ABCA1	MSigDB_Hallmark_2020	False
prerank	Fc epsilon RI signaling pathway	0.6202062027034678	5.283246182829552	0.0	0.0	0.0	48/67	22.79%	RAC1;RAC2;GRB2;FCER1G;MAPK1;PLA2G4A;ALOX5AP;MAP2K3;MAP2K2;FCER1A;MAPK3;MAPK14;LYN;MAPK13;SYK;HRAS;NRAS;ALOX5;MAP2K1;VAV1;VAV2;SOS2;MAP2K7;PIK3CD;INPP5D;PIK3R1;KRAS;FYN;AKT2;PLCG1;AKT1;SOS1;RAF1;MAP2K4;PIK3CB;PRKCA;LCP2;GAB2;MS4A2;PIK3R3;MAPK9;BTK;MAPK11;PLA2G4F;PDPK1;PLCG2;MAPK8;VAV3	KEGG_2021_Human	False
prerank	Th1 and Th2 cell differentiation	0.6629266397340352	5.270943155710026	0.0	0.0	0.0	72/90	26.05%	HLA-DRA;HLA-DRB1;HLA-DRB5;FOS;HLA-DPB1;HLA-DPA1;HLA-DMA;NFKBIA;JUN;CD4;STAT6;HLA-DQB1;IFNGR1;HLA-DQA2;HLA-DQA1;STAT1;IFNGR2;MAPK1;CD3D;HLA-DOA;IL4R;CD3E;JAK1;HLA-DMB;TYK2;MAPK3;RELA;NFKB1;MAPK14;MAPK13;RBPJ;NFKBIE;STAT5B;PPP3CA;PPP3CB;NOTCH3;MAML1;PPP3R1;NFKBIB;IL2RB;RUNX3;STAT5A;NOTCH2;LCK;IKBKB;PLCG1;NOTCH1;NFATC2;MAML2;JAK3;DLL1;JAG1;PPP3CC;JAG2;MAF;MAPK9;JAK2;IL2RG;ZAP70;MAPK11;DLL4;CHUK;NFATC3;CD247;NFATC1;MAPK8;GATA3;HLA-DOB;PRKCQ;IKBKG;CD3G;MAML3	KEGG_2021_Human	False
prerank	Mitophagy	0.699404331258253	4.769312201901427	0.0	0.0	0.0	63/68	28.10%	RPS27A;UBC;TOMM7;UBB;UBA52;ATF4;JUN;CITED2;FIS1;RRAS;BNIP3L;RAB7A;HIF1A;BCL2L1;GABARAPL2;SQSTM1;TAX1BP1;NBR1;RELA;RHOT2;SP1;OPTN;TFE3;HRAS;CALCOCO2;TP53;NRAS;TBC1D17;MFN2;GABARAPL1;RAB7B;RRAS2;SRC;FUNDC1;FOXO3;BECN1;ULK1;PGAM5;MFN1;KRAS;BNIP3;ATG5;BCL2L13;TFEB;RHOT1;TBC1D15;AMBRA1;MAPK9;ATG9A;EIF2AK3;USP30;MAPK8;CSNK2A1;USP15;PINK1;E2F1;CSNK2A2;MRAS;USP8;TBK1;CSNK2B;MITF;ATG9B	KEGG_2021_Human	False
prerank	IL-6/JAK/STAT3 Signaling	0.5948225104473576	4.732353066658791	0.0	0.0	0.0	61/87	22.05%	A2M;CXCL13;TNFRSF21;JUN;CXCL9;IL13RA1;CD9;SOCS3;IFNGR1;IL6ST;TNFRSF1A;HAX1;CD14;GRB2;STAT3;CD44;LTB;TGFB1;STAT1;STAT2;IFNGR2;TNFRSF12A;CXCL1;IL1R1;PTPN1;OSMR;CXCL10;IL4R;TNFRSF1B;MYD88;TYK2;ACVR1B;CSF1;IFNAR1;LTBR;HMOX1;TLR2;PIM1;PTPN11;IRF1;STAM2;BAK1;PLA2G2A;IL3RA;CD38;PTPN2;CSF2RB;CSF3R;FAS;PDGFC;ACVRL1;CCR1;MAP3K8;IL2RG;IL17RA;SOCS1;IL15RA;CSF2RA;ITGA4;CBL;EBI3	MSigDB_Hallmark_2020	False
prerank	Pancreatic cancer	0.6747803410992089	4.713371129493057	0.0	0.0	0.0	69/76	29.87%	RAC1;CCND1;TGFBR2;RAC2;STAT3;CDKN1A;BCL2L1;GADD45B;TGFB1;STAT1;ERBB2;MAPK1;RALB;BAX;EGFR;ARAF;GADD45A;JAK1;GADD45G;MAPK3;RELA;NFKB1;CDC42;RALA;TP53;MAP2K1;CDK4;SMAD3;RALBP1;PLD2;ARHGEF6;BAK1;TGFB2;PIK3CD;PIK3R1;KRAS;RB1;AKT2;IKBKB;AKT1;TGFBR1;RAF1;PIK3CB;SMAD4;DDB2;VEGFA;TGFB3;MTOR;PIK3R3;BAD;E2F3;MAPK9;RPS6KB2;RPS6KB1;CHUK;CASP9;MAPK8;TGFA;SMAD2;E2F1;IKBKG;CDK6;POLK;RALGDS;AKT3;RAC3;BRAF;PIK3CA;PLD1	KEGG_2021_Human	False
prerank	Fatty acid degradation	0.6753016203138571	4.689829528946303	0.0	0.0	0.0	33/43	23.82%	ECHS1;ACADVL;HADHA;ADH1C;ACSL5;HADHB;ACSL4;ADH5;ALDH2;ADH1B;ALDH9A1;ACADS;CPT1A;ACADM;ALDH1B1;ACSL3;ECI1;ALDH3A2;ACSL1;ACOX1;ACAA2;ADH7;ACAA1;HADH;ACOX3;ACADSB;GCDH;ACAT1;ACAT2;CYP2U1;ECI2;EHHADH;ADH6	KEGG_2021_Human	False
prerank	AGE-RAGE signaling pathway in diabetic complications	0.6700019361878199	4.614288800554826	0.0	0.0	0.0	86/100	28.83%	COL3A1;COL1A1;FN1;COL1A2;ICAM1;MMP2;RAC1;F3;EGR1;JUN;CCND1;TGFBR2;STAT3;CDKN1B;TGFB1;PRKCD;STAT1;VEGFB;MAPK1;DIAPH1;CYBB;BAX;MAPK3;RELA;NFKB1;MAPK14;COL4A1;MAPK13;AGER;PIM1;CASP3;CDC42;EDN1;HRAS;COL4A2;NRAS;CCL2;CDK4;STAT5B;SERPINE1;SMAD3;VCAM1;TGFB2;PIK3CD;STAT5A;PIK3R1;KRAS;AKT2;PLCG1;AKT1;TGFBR1;PIK3CB;FOXO1;THBD;SMAD4;PRKCA;PLCB3;PLCB2;VEGFA;VEGFD;TGFB3;PIK3R3;MAPK9;COL4A4;JAK2;PLCB4;COL4A5;PLCD1;CXCL8;MAPK11;PRKCB;PLCG2;COL4A3;NFATC1;MAPK8;PRKCE;PRKCZ;SMAD2;BCL2;AKT3;VEGFC;NOX1;PLCE1;COL4A6;PLCD3;IL1B	KEGG_2021_Human	False
prerank	Apoptosis	0.6584894640863455	4.547631142284687	0.0	0.0	0.0	111/142	23.03%	ACTB;ACTG1;TUBA1A;CTSZ;CTSD;MCL1;FOS;CTSB;ATF4;CAPN2;NFKBIA;CTSS;CTSH;JUN;TNFSF10;LMNA;PTPN13;TNFRSF1A;ITPR3;CAPN1;BCL2L1;GADD45B;CTSO;MAPK1;TRADD;SPTAN1;BAX;GADD45A;DAXX;MAP2K2;TNFRSF10B;GADD45G;TUBA1B;MAPK3;RELA;BIRC3;NFKB1;PARP3;PARP4;TUBA4A;CASP3;XIAP;HRAS;BIRC2;TP53;BOK;NRAS;MAP2K1;CTSL;PARP1;CTSF;EIF2S1;CASP7;MAP3K5;CFLAR;LMNB2;CTSC;CASP6;BECN1;BAK1;TRAF1;TRAF2;CYCS;TUBA1C;PIK3CD;CTSW;PIK3R1;KRAS;AKT2;IKBKB;IL3RA;DAB2IP;AKT1;LMNB1;RIPK1;RAF1;CASP8;PIK3CB;NGFR;MAP3K14;DDIT3;DFFA;CTSK;BIRC6;BCL2A1;CASP2;CSF2RB;FAS;CASP10;PARP2;PIK3R3;BAD;BID;MAPK9;BBC3;BCL2L11;ERN1;TNFRSF10A;EIF2AK3;AIFM1;HTRA2;PRF1;PDPK1;PIDD1;ITPR2;CHUK;APAF1;CASP9;MAPK8;ATM;PMAIP1	KEGG_2021_Human	False
prerank	Chronic myeloid leukemia	0.7114990290696575	4.535340390595555	0.0	0.0	0.0	62/76	19.22%	NFKBIA;CCND1;TGFBR2;GRB2;CDKN1B;CDKN1A;BCL2L1;GADD45B;TGFB1;HDAC1;MAPK1;SHC1;BAX;ARAF;GADD45A;MAP2K2;GADD45G;CRKL;MAPK3;RELA;NFKB1;ABL1;CRK;HRAS;TP53;PTPN11;NRAS;MAP2K1;CDK4;STAT5B;RUNX1;SMAD3;MECOM;CTBP1;MYC;SOS2;BAK1;TGFB2;PIK3CD;STAT5A;PIK3R1;KRAS;RB1;AKT2;IKBKB;BCR;AKT1;TGFBR1;SOS1;RAF1;PIK3CB;SMAD4;DDB2;SHC2;GAB2;CTBP2;TGFB3;MDM2;PIK3R3;BAD;E2F3;HDAC2	KEGG_2021_Human	False
