Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	Reactive Oxygen Species Pathway	0.7376157410313313	5.5540639111515	0.0	0.0	0.0	43/48	21.66%	FTL;PRDX4;TXN;PRDX1;GPX4;PRDX6;JUNB;GPX3;PFKP;NQO1;PDLIM1;SOD1;NDUFA6;PRDX2;NDUFB4;CAT;SBNO2;PTPA;GSR;PRNP;SELENOS;LAMTOR5;HMOX2;TXNRD1;NDUFS2;G6PD;STK25;MGST1;LSP1;ATOX1;FES;OXSR1;TXNRD2;ABCC1;SCAF4;GCLM;CDKN2D;GLRX;MBP;GLRX2;ERCC2;MSRA;HHEX	MSigDB_Hallmark_2020	False
prerank	TGF-beta Signaling	0.7555896786079795	5.038259077930274	0.0	0.0	0.0	48/54	19.92%	FURIN;RHOA;JUNB;ID1;CDH1;PPP1CA;HDAC1;PPP1R15A;ID3;FKBP1A;ENG;UBE2D3;SPTBN1;TGFBR1;CDK9;NCOR2;CTNNB1;IFNGR2;LTBP2;TGFB1;SMURF1;PMEPA1;RAB31;SKI;SERPINE1;ID2;TGIF1;TJP1;XIAP;KLF10;SLC20A1;THBS1;BMP2;ACVR1;BMPR2;SKIL;HIPK2;ARID4B;SMAD3;PPM1A;SMURF2;FNTA;WWTR1;SMAD7;TRIM33;CDKN1C;MAP3K7;BCAR3	MSigDB_Hallmark_2020	True
prerank	Chronic myeloid leukemia	0.6939331917783715	4.849968185760428	0.0	0.0	0.0	63/76	22.43%	NFKBIA;GADD45B;CDKN1A;CCND1;GRB2;ARAF;HDAC1;TGFBR2;BAX;BCL2L1;MAPK3;TGFBR1;MAPK1;MAP2K2;HRAS;SHC1;RELA;CRK;BAK1;TGFB1;CDKN1B;ABL1;MECOM;AKT1;GADD45G;BCR;NRAS;CRKL;MAP2K1;CTBP1;STAT5B;PTPN11;NFKB1;GAB2;CDK4;E2F1;KRAS;BAD;TP53;IKBKB;AKT2;STAT5A;SOS2;RB1;GADD45A;CTBP2;SOS1;SMAD3;MYC;PIK3CD;CHUK;DDB2;RUNX1;HDAC2;RAF1;PIK3CB;MDM2;SMAD4;PIK3R1;E2F3;SHC2;PIK3R3;CBL	KEGG_2021_Human	False
prerank	Wnt-beta Catenin Signaling	0.6449576581441118	4.843522006733691	0.0	0.0	0.0	32/42	24.18%	NCSTN;PPARD;NCOR2;CTNNB1;CUL1;KAT2A;CSNK1E;MAML1;NUMB;RBPJ;JAG2;HDAC5;AXIN1;TP53;NOTCH1;HDAC11;MYC;DVL2;HDAC2;DKK1;WNT5B;NOTCH4;CCND2;FZD8;FZD1;FRAT1;DLL1;JAG1;WNT1;HEY1;ADAM17;AXIN2	MSigDB_Hallmark_2020	True
prerank	p53 signaling pathway	0.6827543066591415	4.7234605122247135	0.0	0.0	0.0	62/73	26.63%	SFN;PERP;CCNG1;SHISA5;GADD45B;CDKN1A;CCND1;EI24;IGFBP3;BAX;BCL2L1;CD82;TNFRSF10B;CCND3;CYCS;GADD45G;COP1;CASP3;SERPINE1;STEAP3;SIVA1;CASP9;TP53I3;THBS1;CDK4;CCNB1;RRM2B;AIFM2;RPRM;TNFRSF10A;TP53;BID;TSC2;SESN2;GADD45A;PTEN;SESN3;CCNG2;DDB2;MDM4;RRM2;PIDD1;GORAB;MDM2;CCND2;CASP8;CCNB2;BBC3;CDK1;SESN1;CDK2;RCHY1;PPM1D;FAS;ATM;CCNE1;PMAIP1;GTSE1;CDK6;APAF1;CHEK2;ZMAT3	KEGG_2021_Human	True
prerank	Chagas disease	0.6071140256208681	4.449008134132774	0.0	0.0	0.0	72/101	26.01%	CALR;C1QB;FOS;C1QA;C1QC;C3;TNFRSF1A;IRAK1;NFKBIA;GNAI2;GNAS;JUN;CCL2;PPP2R1A;TGFBR2;IFNGR1;MAPK3;TGFBR1;TICAM1;MAPK1;PPP2CA;MYD88;IFNGR2;MAPK13;RELA;PPP2CB;TGFB1;AKT1;GNAQ;CCL5;PLCB3;SERPINE1;MAPK9;GNA11;MAPK14;NFKB1;GNAI3;ACE;GNA15;IKBKB;PPP2R1B;AKT2;CD3D;PPP2R2A;CD3E;TLR2;PLCB2;CFLAR;MAPK11;MAP2K4;PIK3CD;CHUK;PIK3CB;IRAK4;PPP2R2D;PIK3R1;CASP8;MAPK8;IL1B;PIK3R3;SMAD2;FAS;IKBKG;CXCL8;TRAF6;TLR4;GNAL;GNA14;TGFB2;BDKRB2;FADD;GNAI1	KEGG_2021_Human	False
prerank	Allograft rejection	0.7023166252769758	4.341084978352234	0.0	0.0	0.0	15/35	6.18%	HLA-DRA;HLA-DRB1;HLA-B;HLA-C;HLA-A;HLA-E;HLA-DRB5;HLA-DPA1;HLA-DPB1;HLA-DMA;HLA-DQB1;HLA-DQA1;HLA-F;HLA-DOA;HLA-DMB	KEGG_2021_Human	False
prerank	Lysine degradation	0.6002696637255343	4.2552105102262185	0.0	0.0	0.0	53/63	26.92%	ECHS1;HADHA;COLGALT1;PLOD1;DLST;PLOD3;ALDH9A1;DLD;MECOM;ALDH3A2;DHTKD1;ALDH2;ACAT1;KMT2B;SMYD2;ALDH1B1;KMT5B;KMT2E;ASH1L;EZH1;SETD1A;SETD2;EHMT2;SETD7;PHYKPL;NSD1;KMT2D;ACAT2;KMT5A;PRDM2;KMT2C;SETD1B;GCDH;DOT1L;NSD2;HADH;NSD3;SETDB1;AASS;SMYD3;EZH2;KMT5C;EHHADH;EHMT1;SUV39H1;PLOD2;SETDB2;SETMAR;SUV39H2;KMT2A;ALDH7A1;CAMKMT;PRDM16	KEGG_2021_Human	False
prerank	B cell receptor signaling pathway	0.6557706222539839	4.216330706377066	0.0	0.0	0.0	69/79	29.35%	FOS;RAC1;CD81;NFKBIA;IFITM1;GRB2;JUN;VAV2;INPPL1;MAPK3;MAPK1;NFKBIB;MAP2K2;HRAS;RELA;PTPN6;AKT1;RAC2;LYN;PPP3CA;NRAS;MAP2K1;SYK;PPP3CB;NFKB1;PPP3R1;KRAS;NFKBIE;PPP3CC;IKBKB;AKT2;LILRB4;PIK3AP1;SOS2;BCL10;LILRB5;VAV1;CD79A;SOS1;LILRA6;PIK3CD;CHUK;RAF1;CARD11;PIK3CB;RAC3;LILRB3;PIK3R1;INPP5D;BTK;DAPP1;PIK3R3;LILRB2;NFATC1;GSK3B;RASGRP3;IKBKG;NFATC3;MALT1;NFATC2;CD22;BLNK;PLCG2;LILRA5;PRKCB;LILRB1;CD72;PIK3CA;FCGR2B	KEGG_2021_Human	False
prerank	Bladder cancer	0.7308294635100951	4.188801497654772	0.0	0.0	0.0	32/41	18.02%	CDH1;CDKN1A;MMP1;CCND1;ARAF;DAPK1;ERBB2;MAPK3;HBEGF;MAPK1;MAP2K2;HRAS;MMP2;TYMP;VEGFA;SRC;DAPK3;NRAS;RASSF1;MAP2K1;THBS1;CDK4;E2F1;KRAS;TP53;MMP9;RB1;FGFR3;EGFR;MYC;RAF1;MDM2	KEGG_2021_Human	False
prerank	Bacterial invasion of epithelial cells	0.6666999295800417	4.1346310097221535	0.0	0.0	0.0	51/77	16.40%	ACTG1;ACTB;RHOA;RAC1;CAV1;CLTB;CTNNA1;CTTN;ACTR2;CDH1;ARPC3;FN1;CLTA;SEPTIN2;ARPC2;RHOG;CLTC;WASF2;ITGB1;SEPTIN9;ARPC4;BCAR1;ARPC5L;CTNNB1;SHC1;MET;WASL;ARPC5;DNM2;CRK;SRC;ELMO3;CD2AP;CRKL;ACTR3;CAV2;CDC42;VCL;HCLS1;ARPC1A;ITGA5;MAD2L2;PTK2;ELMO2;SEPTIN8;PXN;DOCK1;SEPTIN11;ARHGEF26;SEPTIN6;PIK3CD	KEGG_2021_Human	False
prerank	RNA polymerase	0.7180112572555714	4.13449207554909	0.0	0.0	0.0	28/31	25.29%	POLR2L;POLR2E;POLR2G;POLR2J;POLR2K;POLR2A;POLR2C;POLR2B;POLR2H;POLR3K;POLR1D;POLR3GL;POLR3C;POLR3D;POLR1E;POLR2D;POLR1F;POLR1A;POLR3E;POLR1C;POLR3F;POLR3A;POLR2F;POLR3H;POLR1B;POLR2I;POLR1H;POLR3B	KEGG_2021_Human	True
