Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	Protein Secretion	0.7287624687147667	4.934274944908702	0.0	0.0	0.0	87/96	23.48%	CD63;ARF1;KRT18;TMED10;TMED2;GNAS;SOD1;ERGIC3;SCAMP3;ARCN1;AP2M1;PPT1;CLTC;ATP1A1;CLTA;AP2S1;LMAN1;VAMP3;SCRN1;RAB14;COPB1;PAM;TSPAN8;BNIP3;USO1;SEC31A;AP2B1;RPS6KA3;TSG101;RAB2A;COPE;ARFGAP3;LAMP2;M6PR;STX16;MAPK1;ANP32E;VAMP7;YKT6;AP1G1;VPS4B;RER1;RAB5A;AP3S1;COPB2;STX12;AP3B1;ICA1;OCRL;IGF2R;DNM1L;ARFGEF2;TPD52;ARFIP1;VPS45;YIPF6;TMX1;ATP6V1H;CLCN3;GOLGA4;NAPA;ARFGEF1;NAPG;SNX2;GBF1;SEC24D;ZW10;RAB9A;SEC22B;STAM;RAB22A;SCAMP1;COG2;VAMP4;GALC;GLA;CTSC;TOM1L1;KIF1B;CAV2;SGMS1;ABCA1;BET1;GOSR2;EGFR;MON2;STX7	MSigDB_Hallmark_2020	False
prerank	Adherens junction	0.6720684990486432	4.8997011422721855	0.0	0.0	0.0	64/71	27.40%	ACTG1;ACTB;RHOA;CDH1;RAC1;ACTN4;NECTIN2;CTNNB1;CTNNA1;WASF2;PTPRF;SRC;TGFBR1;ACP1;IQGAP1;ACTN1;PTPN1;MAPK3;MAPK1;NECTIN1;WASL;VCL;TGFBR2;PTPN6;RAC2;RAC3;INSR;ERBB2;CDC42;YES1;NECTIN4;AFDN;CREBBP;NLK;TCF7L1;PARD3;IGF1R;EP300;MAP3K7;TJP1;PTPRM;FGFR1;SMAD3;FYN;SMAD4;LMO7;WAS;MET;WASF1;BAIAP2;CSNK2A1;CSNK2A2;PTPRJ;EGFR;FARP2;SSX2IP;SNAI1;TCF7L2;LEF1;PTPRB;CSNK2B;TCF7;SORBS1;WASF3	KEGG_2021_Human	False
prerank	UV Response Dn	0.6749699620741634	4.8649834317712495	0.0	0.0	0.0	124/144	28.16%	COL1A1;COL3A1;COL1A2;IGFBP5;DUSP1;F3;LAMC1;ATP2B4;CITED2;BHLHE40;VAV2;COL5A2;PDGFRB;SERPINE1;ATRN;CCN1;ANXA2;MAP1B;SLC22A18;CDKN1B;DDAH1;KIT;PIAS3;TGFBR2;PLCB4;ABCC1;CAV1;EFEMP1;ZMIZ1;LTBP1;ERBB2;ICA1;YTHDC1;SLC7A1;ID1;GJA1;NEK7;MAPK14;MYC;ATP2C1;CDC42BPA;PLPP3;SDC2;ATP2B1;PEX14;MT1E;NRP1;SPOP;INSIG1;MGLL;NR3C1;MTA1;RXRA;NR1D2;ADD3;FHL2;IGF1R;NFKB1;TENT4A;ANXA4;SMAD7;FBLN5;SRI;PDLIM5;NIPBL;LPAR1;RBPMS;TJP1;PTEN;MRPS31;BCKDHB;PTPRM;SCAF8;COL11A1;DMAC2L;SMAD3;RUNX1;FYN;WDR37;PRDM2;MGMT;SIPA1L1;FZD2;DAB2;ADORA2B;CELF2;PIK3CD;GRK5;RND3;MET;IRS1;NOTCH2;LDLR;SCN8A;DLG1;AGGF1;SYNJ2;PIK3R3;PMP22;PHF3;SFMBT1;ATRX;NFIB;RASA2;DBP;MAP2K5;BMPR1A;CDK13;ACVR2A;CAP2;TGFBR3;MIOS;PRKAR2B;PTPN21;PRKCA;ATXN1;DLC1;APBB2;DYRK1A;TFPI;GCNT1;VLDLR;ARHGEF9;SNAI2	MSigDB_Hallmark_2020	False
prerank	Endometrial cancer	0.6360244022217687	4.722804678662563	0.0	0.0	0.0	49/58	27.23%	CDH1;GADD45G;CTNNB1;CTNNA1;CCND1;CDKN1A;GRB2;BAX;GADD45A;ARAF;MAPK3;HRAS;MAPK1;MAP2K2;AKT1;MAP2K1;ERBB2;GADD45B;AXIN1;TP53;MYC;NRAS;KRAS;BAK1;TCF7L1;ELK1;SOS2;AKT2;BAD;PIK3CB;PTEN;SOS1;DDB2;MLH1;FOXO3;RAF1;CASP9;PDPK1;PIK3CD;GSK3B;AXIN2;PIK3R3;PIK3R1;EGFR;APC;TCF7L2;LEF1;POLK;TCF7	KEGG_2021_Human	False
prerank	Bacterial invasion of epithelial cells	0.6775229303156326	4.537635731132467	0.0	0.0	0.0	58/77	22.16%	ACTG1;ACTB;FN1;RHOA;CDH1;RAC1;SHC1;CTNNB1;CTNNA1;SEPTIN2;ARPC3;CTTN;CLTC;ACTR2;CLTA;ELMO3;ARPC2;WASF2;RHOG;CLTB;ARPC4;ARPC5;SRC;ARPC5L;CRK;ITGB1;BCAR1;WASL;VCL;SEPTIN11;CRKL;CAV1;DOCK1;ACTR3;CD2AP;ITGA5;CDC42;DNM2;SEPTIN9;ELMO2;PTK2;SEPTIN8;HCLS1;PXN;MAD2L2;ARPC1A;PIK3CB;ELMO1;SHC2;DNM1;SEPTIN6;PIK3CD;CAV2;MET;WASF1;CBL;PIK3R3;PIK3R1	KEGG_2021_Human	False
prerank	TGF-beta Signaling	0.7475186362076297	4.4905764211740244	0.0	0.0	0.0	49/54	21.86%	RHOA;FURIN;CDH1;JUNB;CTNNB1;FKBP1A;ENG;CDK9;HDAC1;PPP1CA;LTBP2;TGIF1;UBE2D3;PMEPA1;ID2;SERPINE1;TGFBR1;NCOR2;IFNGR2;ID3;SLC20A1;SPTBN1;THBS1;TGFB1;PPP1R15A;SKI;HIPK2;ID1;KLF10;CDKN1C;RAB31;ACVR1;SMURF1;XIAP;SKIL;BMP2;SMAD7;WWTR1;MAP3K7;TJP1;PPM1A;TRIM33;BMPR2;SMAD3;ARID4B;FNTA;SMAD1;SMURF2;BCAR3	MSigDB_Hallmark_2020	True
prerank	Epithelial cell signaling in Helicobacter pylori infection	0.6210058738025548	4.3609314262626935	0.0	0.0	0.0	53/70	26.82%	ATP6V0E1;ATP6V0B;ATP6AP1;NFKBIA;RAC1;ATP6V1F;F11R;JUN;ATP6V1G1;ATP6V1E1;TCIRG1;SRC;ATP6V1B2;ATP6V1A;RELA;PTPN11;MAPK13;GIT1;ATP6V0D1;ATP6V0A1;ATP6V1D;MAPK11;CASP3;CSK;LYN;ATP6V1C1;CDC42;MAPK14;ATP6V1H;CXCL2;CCL5;PAK1;PLCG2;JAM3;PLCG1;NFKB1;IKBKB;TJP1;ATP6V0E2;MAP2K4;MAPK9;MAPK8;CHUK;MET;MAPK12;CXCL8;EGFR;HBEGF;ADAM17;CXCL1;MAP3K14;ADAM10;IKBKG	KEGG_2021_Human	False
prerank	Cholesterol Homeostasis	0.7285748757285269	4.236116192829781	0.0	0.0	0.0	61/74	21.62%	ACTG1;S100A11;CLU;CXCL16;SCD;ANXA5;FASN;PMVK;CTNNB1;ECH1;CD9;LGALS3;LGMN;ERRFI1;GUSB;PNRC1;SREBF2;ALCAM;DHCR7;ABCA2;TP53INP1;STX5;FADS2;FDFT1;TNFRSF12A;MAL2;IDI1;TM7SF2;SC5D;HMGCR;MVD;NSDHL;PLAUR;FDPS;ATF5;LPL;SQLE;NFIL3;ACSS2;TMEM97;LSS;PLSCR1;MVK;STARD4;PCYT2;ATF3;SEMA3B;ETHE1;CHKA;JAG1;HSD17B7;FBXO6;ACAT2;HMGCS1;ATXN2;TRIB3;CPEB2;EBP;GPX8;LDLR;ALDOC	MSigDB_Hallmark_2020	False
prerank	N-Glycan biosynthesis	0.6645829522970306	4.165665353586127	0.0	0.0	0.0	36/50	18.23%	RPN2;DAD1;DDOST;GANAB;RPN1;STT3B;DPM3;B4GALT1;MGAT4B;DPM2;STT3A;TUSC3;MOGS;B4GALT3;DPM1;ALG3;ALG5;ST6GAL1;MAN1B1;MGAT1;ALG2;DOLPP1;MGAT4A;DPAGT1;DOLK;MGAT5;ALG8;MAN1A1;B4GALT2;MAN1A2;MAN2A2;ALG1;SRD5A3;FUT8;MAN1C1;MAN2A1	KEGG_2021_Human	False
prerank	Protein export	0.8385736162382014	4.146755067160209	0.0	0.0	0.0	19/23	9.77%	HSPA5;SEC11C;SEC61A1;SEC61B;SRP9;SRPRA;SRP14;OXA1L;SPCS3;SEC61G;SPCS1;SRPRB;SEC62;SEC11A;SPCS2;SEC63;SRP72;SRP68;SRP54	KEGG_2021_Human	False
prerank	AGE-RAGE signaling pathway in diabetic complications	0.6523529846939655	4.090287700881849	0.0	0.0	0.0	71/100	22.16%	COL1A1;COL3A1;COL1A2;FN1;F3;MMP2;RAC1;VEGFB;CCND1;JUN;AGT;STAT3;COL4A1;BAX;COL4A2;EGR1;DIAPH1;PRKCD;SERPINE1;TGFBR1;RELA;MAPK13;MAPK3;HRAS;CDKN1B;MAPK1;PIM1;TGFB1;STAT1;TGFBR2;CDK4;PLCB4;MAPK11;VEGFA;CASP3;PLCB3;AKT1;ICAM1;STAT5B;THBD;CDC42;NOS3;MAPK14;NRAS;KRAS;PLCG2;BCL2;TGFB2;PLCG1;NFKB1;TGFB3;AKT2;PIK3CB;PLCD1;CCL2;CYBB;MAPK9;SMAD3;AGER;MAPK8;SMAD4;EDN1;VCAM1;STAT5A;PIK3CD;MAPK12;FOXO1;CXCL8;PIK3R3;PRKCZ;PIK3R1	KEGG_2021_Human	False
prerank	Androgen Response	0.6785089954831363	4.083093068746633	0.0	0.0	0.0	73/100	19.37%	B2M;H1-0;SAT1;AZGP1;DHCR24;XRCC6;SCD;GSR;KRT8;NDRG1;ABHD2;XRCC5;ELOVL5;B4GALT1;MYL12A;CCND1;LMAN1;KRT19;TMEM50A;NCOA4;TSC22D1;SLC38A2;ADRM1;SPCS3;UAP1;DNAJB9;RPS6KA3;DBI;PMEPA1;UBE2J1;ACSL3;SMS;PA2G4;ACTN1;VAPA;CCND3;PLPP1;FKBP5;RAB4A;SRF;AKT1;IDI1;ZMIZ1;ELL2;HMGCR;CAMKK2;MAP7;TPD52;SPDEF;STK39;UBE2I;HSD17B14;ITGAV;PTK2B;RRP12;INSIG1;GNAI3;SEC24D;ANKH;GPD1L;FADS1;ELK4;PDLIM5;SELENOP;ARID5B;PGM3;ABCC4;TMPRSS2;APPBP2;HMGCS1;NGLY1;LIFR;ADAMTS1	MSigDB_Hallmark_2020	False
