Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	Oxidative phosphorylation	0.7337417288132276	5.283591174344571	0.0	0.0	0.0	95/133	13.60%	COX3;COX1;ND4;ND1;COX2;CYTB;ND2;ATP6;ND3;ND6;ND5;ND4L;ATP8;ATP5F1B;NDUFA1;ATP6V0E1;NDUFS5;NDUFB11;COX7C;COX8A;NDUFB10;ATP6AP1;ATP6V0D1;NDUFB7;ATP6V1F;COX5B;COX4I1;NDUFS6;NDUFAB1;COX6B1;UQCRC2;ATP5F1C;COX5A;COX7B;ATP5PB;ATP6V1E1;COX7A2;NDUFV1;NDUFA4;UQCRC1;ATP5MC2;NDUFB4;ATP6V0B;ATP5F1E;SDHC;TCIRG1;NDUFB3;ATP6V1D;UQCR10;NDUFA8;NDUFS4;UQCRH;PPA1;ATP6V1A;UQCRQ;NDUFA2;CYC1;NDUFA6;SDHB;ATP5F1A;ATP5MC3;NDUFS8;ATP6V0A1;ATP5MC1;ATP6V1B2;ATP5PD;SDHD;NDUFS3;NDUFB1;ATP6V1G1;ATP5PF;COX6A1;NDUFS2;COX17;NDUFB6;ATP5F1D;NDUFC1;LHPP;NDUFA12;ATP6V0A4;ATP6V1H;ATP6V0E2;UQCRFS1;COX7A2L;COX6C;NDUFB5;NDUFB2;PPA2;ATP6V1C1;NDUFA3;NDUFS1;COX15;NDUFV3;COX11;ATP5MF	KEGG_2021_Human	False
prerank	Mitophagy	0.704350534021074	4.716974232204036	0.0	0.0	0.0	55/68	21.45%	UBC;SQSTM1;JUN;UBB;CITED2;TOMM7;RPS27A;TFE3;UBA52;FIS1;RAB7A;BCL2L1;GABARAPL2;RRAS;ATF4;FUNDC1;BNIP3L;HIF1A;CALCOCO2;NBR1;RHOT2;RELA;TAX1BP1;MFN2;SP1;TFEB;PGAM5;BECN1;TBC1D17;GABARAPL1;RAB7B;MAPK9;FOXO3;AMBRA1;SRC;ULK1;NRAS;RHOT1;BNIP3;HRAS;ATG5;OPTN;MRAS;MFN1;E2F1;ATG9A;RRAS2;BCL2L13;PINK1;EIF2AK3;CSNK2A2;TP53;TBC1D15;KRAS;CSNK2B	KEGG_2021_Human	False
prerank	Chronic myeloid leukemia	0.6985672968436855	4.603130304015385	0.0	0.0	0.0	67/76	24.30%	NFKBIA;ARAF;CCND1;GRB2;CDK4;GADD45B;TGFBR2;BCL2L1;RUNX1;BAK1;SHC1;MAPK3;CDKN1A;HDAC1;MAPK1;TGFB1;RELA;MAP2K1;PTPN11;AKT1;GADD45G;NFKB1;MAP2K2;STAT5B;MECOM;CDKN1B;BAX;CRKL;CRK;ABL1;PIK3CB;SOS2;CDKN2A;CTBP1;GADD45A;NRAS;GAB2;BAD;HRAS;RAF1;AKT2;SMAD3;PIK3CD;E2F1;IKBKB;RB1;SOS1;TGFBR1;IKBKG;BCR;DDB2;HDAC2;PIK3R1;STAT5A;CHUK;MYC;CTBP2;SHC2;CBL;POLK;TP53;KRAS;PIK3R3;E2F3;TGFB3;SMAD4;SHC3	KEGG_2021_Human	False
prerank	Pancreatic cancer	0.6739919016885377	4.58383218513473	0.0	0.0	0.0	67/76	28.16%	ARAF;RAC1;CCND1;STAT3;CDK4;GADD45B;TGFBR2;BCL2L1;BAK1;MAPK3;ERBB2;RAC2;CDKN1A;STAT1;EGFR;MAPK1;TGFB1;RELA;MAP2K1;RALB;AKT1;RALA;GADD45G;NFKB1;BAX;JAK1;CDC42;PIK3CB;MAPK9;CDKN2A;VEGFA;GADD45A;BAD;RPS6KB2;RAF1;AKT2;SMAD3;MTOR;PIK3CD;PLD2;RALBP1;E2F1;IKBKB;RB1;TGFBR1;IKBKG;CASP9;DDB2;PIK3R1;ARHGEF6;CHUK;POLK;TP53;RPS6KB1;KRAS;PIK3R3;E2F3;TGFB3;MAPK8;SMAD4;EGF;TGFA;PIK3CA;PLD1;BRAF;RALGDS;SMAD2	KEGG_2021_Human	False
prerank	Leishmaniasis	0.7296267272629205	4.562354529844705	0.0	0.0	0.0	46/74	11.47%	HLA-DRA;HLA-DRB1;HLA-DRB5;HLA-DPA1;HLA-DPB1;FOS;C3;EEF1A1;HLA-DMA;HLA-DQA2;HLA-DQB1;HLA-DOA;NFKBIA;HLA-DQA1;JUN;IFNGR2;IRAK1;ITGB2;MAPK13;IFNGR1;HLA-DMB;CYBB;EEF1A2;NCF2;MAPK3;FCGR2A;CYBA;ITGAM;STAT1;MAPK1;TLR2;TGFB1;RELA;FCGR3A;PTPN6;MYD88;TAB2;ELK1;NFKB1;MAPK14;ITGB1;JAK1;NFKBIB;MARCKSL1;NCF4;MAP3K7	KEGG_2021_Human	False
prerank	Allograft rejection	0.7688229464534271	4.408655227226976	0.0	0.0	0.0	18/35	5.86%	HLA-DRA;HLA-DRB1;HLA-DRB5;HLA-C;HLA-B;HLA-E;HLA-A;HLA-DPA1;HLA-DPB1;HLA-DMA;HLA-DQA2;HLA-DQB1;HLA-DOA;HLA-DQA1;HLA-DMB;HLA-F;CD40;PRF1	KEGG_2021_Human	False
prerank	Renal cell carcinoma	0.6550692770257991	4.381574276269375	0.0	0.0	0.0	62/69	28.56%	ELOB;ARAF;RAC1;JUN;TFE3;GRB2;EPAS1;FH;MAPK3;CDKN1A;HIF1A;MAPK1;TGFB1;MAP2K1;PTPN11;AKT1;MET;MAP2K2;PAK2;CRKL;PRCC;RAPGEF1;CRK;SLC2A1;CREBBP;RAP1A;VHL;CDC42;PIK3CB;PAK1;SOS2;RBX1;VEGFA;NRAS;BAD;EP300;ARNT;HRAS;ETS1;RAF1;AKT2;PIK3CD;PAK6;PAK4;SOS1;PIK3R1;CUL2;ELOC;PDGFB;FLCN;KRAS;PIK3R3;TGFB3;EGLN1;PAK3;TGFA;PIK3CA;GAB1;BRAF;ARNT2;RAP1B;HGF	KEGG_2021_Human	False
prerank	TGF-beta Signaling	0.7358836623057733	4.310045274226647	0.0	0.0	0.0	49/54	23.54%	JUNB;CDH1;ENG;RHOA;IFNGR2;THBS1;FURIN;PPP1CA;NCOR2;SERPINE1;CTNNB1;HDAC1;FKBP1A;PPP1R15A;LTBP2;TGFB1;RAB31;PMEPA1;SPTBN1;XIAP;UBE2D3;CDK9;SKI;ACVR1;SLC20A1;ID3;ID1;SMURF1;ID2;SMURF2;KLF10;MAP3K7;BMP2;TJP1;HIPK2;SMAD3;PPM1A;ARID4B;BMPR2;TGFBR1;TGIF1;WWTR1;SKIL;SMAD7;TRIM33;APC;FNTA;CDKN1C;SMAD1	MSigDB_Hallmark_2020	True
prerank	B cell receptor signaling pathway	0.6545522006605448	4.237192721682709	0.0	0.0	0.0	70/79	30.36%	FOS;NFKBIA;RAC1;JUN;CD81;GRB2;INPPL1;MAPK3;RAC2;IFITM1;MAPK1;RELA;MAP2K1;AKT1;PTPN6;SYK;NFKB1;MAP2K2;LYN;NFKBIB;VAV1;PIK3CB;PPP3CA;INPP5D;SOS2;NRAS;NFKBIE;CARD11;HRAS;PPP3R1;LILRB3;RAF1;AKT2;PIK3CD;IKBKB;PIK3AP1;DAPP1;PPP3CB;SOS1;IKBKG;NFATC3;LILRB4;NFATC2;PIK3R1;LILRA6;BTK;CHUK;BCL10;LILRB2;VAV2;GSK3B;KRAS;PIK3R3;PPP3CC;LILRA5;LILRA2;FCGR2B;LILRB1;PLCG2;RASGRP3;CD72;PIK3CA;BLNK;MALT1;LILRB5;CD79A;PRKCB;RAC3;VAV3;NFATC1	KEGG_2021_Human	False
prerank	Fc epsilon RI signaling pathway	0.5996940768133981	4.223070289183902	0.0	0.0	0.0	43/67	21.15%	RAC1;FCER1G;GRB2;MAPK13;ALOX5AP;ALOX5;MAPK3;RAC2;MAP2K3;MAPK1;MAP2K1;AKT1;SYK;PLCG1;MAP2K2;MAPK14;LYN;VAV1;PIK3CB;MAPK9;INPP5D;SOS2;NRAS;GAB2;PRKCA;PLA2G4F;FYN;HRAS;RAF1;AKT2;PIK3CD;PDPK1;CSF2;FCER1A;LCP2;SOS1;MAP2K7;PIK3R1;BTK;MAP2K4;VAV2;KRAS;PIK3R3	KEGG_2021_Human	False
