Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	Viral myocarditis	0.7367940579108162	5.249224975498193	0.0	0.0	0.0	45/57	16.66%	HLA-DRA;HLA-C;HLA-B;ACTB;HLA-DRB1;ACTG1;HLA-DRB5;HLA-E;HLA-A;HLA-DPA1;EIF4G2;RAC1;HLA-DPB1;HLA-DQB1;HLA-DMA;EIF4G1;ICAM1;RAC2;CCND1;CD40;ITGB2;HLA-DQA2;HLA-DQA1;DAG1;HLA-F;CD55;CAV1;HLA-DOA;HLA-DMB;CXADR;CYCS;ABL1;CASP3;ITGAL;FYN;EIF4G3;SGCB;HLA-DOB;SGCA;LAMA2;PRF1;CD40LG;BID;HLA-G;CASP8	KEGG_2021_Human	False
prerank	AGE-RAGE signaling pathway in diabetic complications	0.6688368700760624	4.978389392116867	0.0	0.0	0.0	82/100	26.32%	COL3A1;FN1;COL1A2;EGR1;COL1A1;SERPINE1;MMP2;JUN;RAC1;CCL2;ICAM1;VEGFB;CCND1;COL4A1;TGFB1;COL4A2;CDKN1B;BAX;TGFBR2;PIM1;STAT1;CYBB;AGER;STAT3;DIAPH1;RELA;PRKCD;PLCB2;MAPK3;F3;VCAM1;CDK4;MAPK1;MAPK13;NFKB1;PLCG1;AKT1;STAT5B;VEGFA;CDC42;HRAS;SMAD3;CASP3;NRAS;THBD;CXCL8;STAT5A;KRAS;PLCB3;PIK3CD;MAPK14;PLCB4;AKT2;PIK3CB;TGFBR1;MAPK11;PIK3R1;TGFB3;PLCG2;SMAD4;PLCD1;MAPK9;JAK2;COL4A4;FOXO1;PIK3R3;EDN1;NFATC1;VEGFC;PRKCB;PLCD3;MAPK8;IL1B;SMAD2;COL4A3;AKT3;SELE;BCL2;NOS3;IL6;TGFB2;NOX4	KEGG_2021_Human	False
prerank	Non-small cell lung cancer	0.6557682572673269	4.8327327153359505	0.0	0.0	0.0	58/72	25.31%	GADD45B;CDKN1A;CCND1;BAX;GRB2;ARAF;KIF5B;GADD45A;MET;STAT3;MAP2K2;MAPK3;RASSF5;RXRB;MAP2K1;ERBB2;CDK4;MAPK1;PLCG1;AKT1;JAK3;STAT5B;EML4;RASSF1;HRAS;DDB2;GADD45G;NRAS;TP53;CDK6;STK4;STAT5A;KRAS;BAK1;PIK3CD;BAD;FOXO3;AKT2;PIK3CB;PIK3R1;RAF1;RB1;SOS1;PLCG2;SOS2;RXRA;PIK3R3;EGFR;CDKN2A;RARB;HGF;E2F3;CASP9;PRKCB;TGFA;PDPK1;E2F1;AKT3	KEGG_2021_Human	False
prerank	Th1 and Th2 cell differentiation	0.6757072156910172	4.570710197903257	0.0	0.0	0.0	72/90	24.87%	HLA-DRA;HLA-DRB1;HLA-DRB5;FOS;HLA-DPA1;JUN;HLA-DPB1;HLA-DQB1;HLA-DMA;NFKBIA;IFNGR2;HLA-DQA2;STAT6;CD4;HLA-DQA1;CD3D;STAT1;IL4R;CD3E;HLA-DOA;IFNGR1;TYK2;RELA;NFKBIE;HLA-DMB;MAPK3;NOTCH3;JAK1;NFKBIB;MAPK1;MAPK13;LCK;NFKB1;PLCG1;JAK3;STAT5B;PPP3CB;IKBKB;ZAP70;RBPJ;IL2RG;STAT5A;MAML1;MAPK14;IL2RB;PPP3R1;PPP3CA;JAG1;NOTCH2;RUNX3;HLA-DOB;MAF;PPP3CC;NOTCH1;MAPK11;MAML2;CD247;NFATC2;MAPK9;JAK2;DLL4;JAG2;CHUK;NFATC1;CD3G;IL12RB1;IKBKG;MAPK8;PRKCQ;MAML3;NFATC3;GATA3	KEGG_2021_Human	False
prerank	Amino sugar and nucleotide sugar metabolism	0.6952236941508556	4.542773577430677	0.0	0.0	0.0	43/48	25.41%	GFUS;CHIT1;CYB5R3;GMDS;HEXB;GALE;CYB5R1;UAP1;HK1;GFPT1;GPI;CMAS;PGM1;GMPPA;UGP2;RENBP;GNPDA1;GNE;UXS1;UGDH;HKDC1;NANS;NAGK;GMPPB;HK2;PGM2;UAP1L1;GALK1;FCSK;PGM3;GALT;MPI;GFPT2;HK3;AMDHD2;HEXA;NPL;FPGT;CYB5R4;PMM2;GNPNAT1;PMM1;GNPDA2	KEGG_2021_Human	False
prerank	Allograft rejection	0.7438044850294028	4.364832670527314	0.0	0.0	0.0	24/35	17.72%	HLA-DRA;HLA-C;HLA-B;HLA-DRB1;HLA-DRB5;HLA-E;HLA-A;HLA-DPA1;HLA-DPB1;HLA-DQB1;HLA-DMA;CD40;HLA-DQA2;HLA-DQA1;HLA-F;HLA-DOA;HLA-DMB;FAS;HLA-DOB;GZMB;PRF1;CD40LG;HLA-G;CD86	KEGG_2021_Human	False
prerank	Mitophagy	0.6810346423503961	4.3491572365577555	0.0	0.0	0.0	60/68	25.50%	UBC;RPS27A;ATF4;UBB;TOMM7;UBA52;JUN;FIS1;RRAS;SQSTM1;BCL2L1;RAB7A;GABARAPL2;HIF1A;SRC;CITED2;RHOT2;TAX1BP1;OPTN;BNIP3L;RELA;FUNDC1;NBR1;GABARAPL1;TBC1D17;TFE3;CALCOCO2;SP1;ULK1;HRAS;BECN1;NRAS;TP53;MFN2;KRAS;FOXO3;MFN1;BNIP3;PGAM5;EIF2AK3;TBC1D15;ATG5;RRAS2;AMBRA1;BCL2L13;MRAS;MAPK9;ATG9A;RHOT1;TFEB;PINK1;RAB7B;CSNK2A2;CSNK2A1;MAPK8;USP15;CSNK2B;MITF;E2F1;USP30	KEGG_2021_Human	False
prerank	Myc Targets V2	0.7003075944163626	4.338851610560396	0.0	0.0	0.0	47/57	21.88%	NPM1;SRM;SLC29A2;CBX3;GNL3;TMEM97;FARSA;NOLC1;HSPD1;CDK4;PES1;DCTPP1;IMP4;NOC4L;RRP9;PA2G4;NOP56;TFB2M;EXOSC5;DUSP2;PPRC1;MYBBP1A;TBRG4;MRTO4;MYC;DDX18;MAP3K6;HK2;MCM5;WDR43;UNG;BYSL;HSPE1;GRWD1;MPHOSPH10;RABEPK;SUPV3L1;RRP12;PUS1;NIP7;WDR74;AIMP2;RCL1;TCOF1;LAS1L;NDUFAF4;MCM4	MSigDB_Hallmark_2020	True
prerank	Peroxisome	0.5819131512750437	4.2680033832429585	0.0	0.0	0.0	60/81	25.97%	PRDX5;PRDX1;SOD1;PMVK;GSTK1;IDH2;ACSL5;ECH1;ACSL4;PEX11B;GNPAT;CAT;IDH1;SCP2;ACSL1;PEX16;PEX6;ACSL3;FAR1;HSD17B4;PEX19;PEX2;MPV17;CRAT;ABCD3;DECR2;HMGCL;ABCD1;PEX5;MPV17L2;PHYH;ACOX3;ACAA1;PEX14;ACOX1;EPHX2;ABCD4;HACL1;PEX13;ACOT8;AGPS;SLC25A17;PXMP4;NUDT19;CROT;ECI2;PEX10;ACOX2;PEX3;PEX1;PEX12;PEX11A;DHRS4;PEX7;PEX11G;PECR;MVK;PEX26;FAR2;NUDT12	KEGG_2021_Human	False
prerank	Renal cell carcinoma	0.6916768218781711	4.212136838883853	0.0	0.0	0.0	52/69	17.03%	ELOB;JUN;RAC1;CDKN1A;TGFB1;EPAS1;GRB2;HIF1A;ARAF;ETS1;MET;RAPGEF1;MAP2K2;FH;PAK2;MAPK3;TFE3;MAP2K1;PRCC;MAPK1;CRK;PTPN11;AKT1;PAK1;RBX1;CRKL;VEGFA;RAP1A;CDC42;HRAS;NRAS;ARNT;ARNT2;PAK4;KRAS;CREBBP;PIK3CD;BAD;EP300;EGLN3;VHL;AKT2;PDGFB;PIK3CB;SLC2A1;PIK3R1;RAF1;ELOC;TGFB3;SOS1;CUL2;SOS2	KEGG_2021_Human	False
prerank	Glioma	0.590003199523498	4.110338960975954	0.0	0.0	0.0	49/75	19.55%	GADD45B;CDKN1A;CCND1;CALM2;CALM3;CALM1;PDGFRB;BAX;GRB2;ARAF;GADD45A;SHC1;MAP2K2;SHC2;MAPK3;MAP2K1;PDGFA;CDK4;MAPK1;PLCG1;AKT1;PDGFRA;HRAS;DDB2;GADD45G;NRAS;TP53;PTEN;CDK6;KRAS;BAK1;PIK3CD;IGF1R;AKT2;CAMK2D;PDGFB;PIK3CB;CAMK2G;PIK3R1;RAF1;RB1;SOS1;PLCG2;SOS2;MTOR;MDM2;PIK3R3;EGFR;CDKN2A	KEGG_2021_Human	False
prerank	Thyroid cancer	0.7355022412257955	4.077081472933898	0.0	0.0	0.0	27/37	13.80%	GADD45B;CDKN1A;CCND1;NCOA4;BAX;CDH1;CTNNB1;GADD45A;MAP2K2;TPM3;MAPK3;RXRB;MAP2K1;MAPK1;HRAS;DDB2;TPR;GADD45G;TFG;NRAS;TP53;MYC;CCDC6;KRAS;BAK1;TCF7L2;TCF7L1	KEGG_2021_Human	False
prerank	Legionellosis	0.6498139044860203	4.073451298101845	0.0	0.0	0.0	37/57	16.66%	EEF1A1;C3;ARF1;HSPA8;NFKBIA;RAB1A;RAB1B;CD14;VCP;HSPA1B;ITGB2;NFKB2;HSPA1A;CXCL2;CLK1;RELA;SAR1A;HSPD1;CYCS;PYCARD;NFKB1;MYD88;ITGAM;HSF1;CASP7;CASP3;CXCL8;SEC22B;CXCL3;CXCL1;IL18;BNIP3;CASP1;SAR1B;TLR2;BCL2L13;CASP8	KEGG_2021_Human	False
prerank	Bladder cancer	0.7305124074981902	4.069212124798173	0.0	0.0	0.0	33/41	19.55%	MMP1;MMP2;THBS1;CDKN1A;CCND1;MMP9;SRC;CDH1;ARAF;TYMP;MAP2K2;MAPK3;DAPK3;MAP2K1;ERBB2;CDK4;MAPK1;HBEGF;FGFR3;VEGFA;RASSF1;HRAS;NRAS;TP53;DAPK1;CXCL8;MYC;KRAS;RAF1;RB1;MDM2;EGFR;CDKN2A	KEGG_2021_Human	False
prerank	RNA polymerase	0.7005195478232848	4.0498423891916	0.0	0.0	0.0	28/31	26.79%	POLR2L;POLR2J;POLR2G;POLR2A;POLR2H;POLR2E;POLR2K;POLR2C;POLR2B;POLR3GL;POLR3K;POLR1D;POLR1E;POLR3D;POLR3C;POLR1F;POLR3E;POLR3F;POLR2D;POLR2F;POLR1C;POLR3A;POLR1A;POLR1B;POLR1H;POLR2I;POLR3B;POLR3H	KEGG_2021_Human	True
prerank	Lysine degradation	0.5783100284071009	4.045422309044754	0.0	0.0	0.0	50/63	25.88%	ECHS1;PLOD1;PLOD3;HADHA;COLGALT2;COLGALT1;ALDH9A1;DLST;MECOM;ALDH2;DLD;PLOD2;SMYD2;KMT2E;KMT2B;ALDH1B1;PHYKPL;SETD1A;SETD2;EZH1;ACAT1;KMT2D;ACAT2;KMT5B;KMT2C;DHTKD1;GCDH;EHMT2;ASH1L;SETD1B;PRDM2;NSD3;SETD7;KMT5A;ALDH3A2;SETDB1;NSD1;SMYD3;KMT5C;SETMAR;PRDM16;HADH;SETDB2;DOT1L;AASS;KMT2A;EHMT1;NSD2;ALDH7A1;PRDM6	KEGG_2021_Human	False
