pathway	n_activated	n_suppressed	pct_patients	mean_nes	luad_relevant
Arginine and proline metabolism	464	0	89.7	3.149	False
Starch and sucrose metabolism	462	0	89.4	1.652	False
Cysteine and methionine metabolism	461	0	89.2	3.186	False
Type II diabetes mellitus	459	0	88.8	1.83	False
Malaria	458	0	88.6	2.827	False
Cholesterol metabolism	453	0	87.6	2.579	False
alpha-Linolenic acid metabolism	451	0	87.2	1.818	False
Fanconi anemia pathway	446	0	86.3	2.76	False
Endocrine and other factor-regulated calcium reabsorption	439	0	84.9	2.43	False
Butanoate metabolism	438	0	84.7	1.64	False
Glycosaminoglycan biosynthesis	433	0	83.8	3.217	False
Pyrimidine metabolism	433	0	83.8	3.273	False
Primary bile acid biosynthesis	431	0	83.4	1.666	False
TGF-beta Signaling	429	0	83.0	4.408	True
Glutathione metabolism	424	0	82.0	3.391	False
Hedgehog signaling pathway	423	0	81.8	2.89	False
Thiamine metabolism	415	0	80.3	1.613	False
Autoimmune thyroid disease	415	0	80.3	2.024	True
Regulation of lipolysis in adipocytes	414	0	80.1	1.957	False
Renin-angiotensin system	403	0	77.9	1.671	False
Myc Targets V2	403	0	77.9	4.354	True
VEGF signaling pathway	402	0	77.8	3.714	False
Legionellosis	401	0	77.6	3.887	False
Mineral absorption	400	0	77.4	2.262	False
Endometrial cancer	398	0	77.0	3.908	False
Viral myocarditis	395	0	76.4	4.201	False
Long-term depression	393	0	76.0	2.642	False
Notch signaling pathway	389	0	75.2	3.782	True
Cytosolic DNA-sensing pathway	389	0	75.2	1.957	False
Glycerolipid metabolism	387	0	74.9	2.273	False
Nitrogen metabolism	377	0	72.9	1.65	False
Tyrosine metabolism	375	0	72.5	1.707	False
Inflammatory bowel disease	371	0	71.8	3.018	False
Lysine degradation	370	0	71.6	3.639	False
Arachidonic acid metabolism	368	0	71.2	2.083	False
GnRH secretion	364	0	70.4	2.301	False
Phenylalanine metabolism	360	0	69.6	1.594	False
Basal cell carcinoma	348	0	67.3	3.123	False
Cortisol synthesis and secretion	342	0	66.2	1.949	False
Long-term potentiation	333	0	64.4	2.796	False
Fc epsilon RI signaling pathway	331	0	64.0	3.498	False
Renal cell carcinoma	330	0	63.8	4.178	False
Glycolysis / Gluconeogenesis	329	0	63.6	3.058	False
Central carbon metabolism in cancer	320	0	61.9	3.563	False
Prolactin signaling pathway	316	0	61.1	3.093	False
Aminoacyl-tRNA biosynthesis	314	7	60.7	2.273	False
RIG-I-like receptor signaling pathway	314	0	60.7	1.983	False
Acute myeloid leukemia	312	0	60.3	4.013	False
Epithelial cell signaling in Helicobacter pylori infection	312	0	60.3	3.989	False
Adipocytokine signaling pathway	310	0	60.0	2.987	False
Mitophagy	309	0	59.8	4.352	False
Renin secretion	309	0	59.8	2.362	False
Amphetamine addiction	303	0	58.6	2.529	False
Adherens junction	294	0	56.9	4.235	False
Porphyrin and chlorophyll metabolism	290	0	56.1	1.604	False
Antigen processing and presentation	285	0	55.1	4.216	False
Cholesterol Homeostasis	283	0	54.7	4.504	False
PPAR signaling pathway	282	0	54.5	2.428	False
Melanoma	282	0	54.5	2.827	False
Non-small cell lung cancer	278	0	53.8	4.013	False
p53 signaling pathway	276	0	53.4	4.31	True
Inositol phosphate metabolism	274	0	53.0	3.884	False
Thyroid hormone synthesis	269	0	52.0	2.453	False
Leishmaniasis	266	0	51.5	4.346	False
Glioma	266	0	51.5	3.816	False
Chronic myeloid leukemia	265	0	51.3	4.509	False
Pancreatic cancer	258	0	49.9	4.366	False
Pertussis	254	0	49.1	3.961	False
Gastric acid secretion	247	0	47.8	2.146	False
RNA degradation	246	0	47.6	4.173	False
Bacterial invasion of epithelial cells	244	0	47.2	4.223	False
B cell receptor signaling pathway	241	0	46.6	4.001	False
Synaptic vesicle cycle	232	0	44.9	2.278	False
Linoleic acid metabolism	227	1	43.9	1.549	False
Arrhythmogenic right ventricular cardiomyopathy	225	0	43.5	2.64	False
Peroxisome	224	0	43.3	3.837	False
Colorectal cancer	199	0	38.5	4.458	False
ErbB signaling pathway	193	0	37.3	3.907	False
Complement and coagulation cascades	192	0	37.1	2.73	False
Cardiac muscle contraction	180	0	34.8	3.057	False
Th1 and Th2 cell differentiation	174	0	33.7	3.933	False
Rheumatoid arthritis	172	0	33.3	3.83	False
ECM-receptor interaction	171	0	33.1	3.366	False
PD-L1 expression and PD-1 checkpoint pathway in cancer	170	0	32.9	3.933	True
IL-6/JAK/STAT3 Signaling	169	0	32.7	4.048	False
Insulin secretion	167	0	32.3	1.731	False
Gap junction	166	0	32.1	3.169	False
Ovarian steroidogenesis	147	0	28.4	1.466	False
Small cell lung cancer	144	0	27.9	4.24	False
Hypertrophic cardiomyopathy	140	0	27.1	2.531	False
IL-17 signaling pathway	137	0	26.5	3.447	False
Prostate cancer	135	0	26.1	4.098	False
TGF-beta signaling pathway	132	0	25.5	3.593	True
Phosphatidylinositol signaling system	132	0	25.5	3.528	False
Fc gamma R-mediated phagocytosis	132	0	25.5	4.268	False
GnRH signaling pathway	131	0	25.3	3.396	False
Aldosterone synthesis and secretion	131	0	25.3	2.28	False
Protein Secretion	128	0	24.8	4.836	False
Glycerophospholipid metabolism	126	0	24.4	3.433	False
Hematopoietic cell lineage	126	0	24.4	3.169	False
Inflammatory mediator regulation of TRP channels	125	0	24.2	2.627	False
Dilated cardiomyopathy	124	0	24.0	2.463	False
Circadian entrainment	119	0	23.0	1.99	False
Interferon Alpha Response	117	0	22.6	4.844	True
mRNA surveillance pathway	116	0	22.4	3.791	False
Chagas disease	116	0	22.4	4.042	False
Viral protein interaction with cytokine and cytokine receptor	115	0	22.2	2.953	False
NF-kappa B signaling pathway	115	0	22.2	4.242	False
Choline metabolism in cancer	113	0	21.9	3.73	False
Staphylococcus aureus infection	113	0	21.9	2.084	False
Taurine and hypotaurine metabolism	111	1	21.5	1.372	False
AGE-RAGE signaling pathway in diabetic complications	109	0	21.1	4.208	False
Carbohydrate digestion and absorption	106	0	20.5	1.403	False
Amoebiasis	104	0	20.1	3.531	False
Salivary secretion	104	0	20.1	1.594	False
Metabolism of xenobiotics by cytochrome P450	102	0	19.7	1.61	False
Ribosome biogenesis in eukaryotes	101	0	19.5	1.893	False
PI3K/AKT/mTOR  Signaling	99	0	19.1	4.411	True
Androgen Response	99	0	19.1	4.575	False
Toll-like receptor signaling pathway	99	0	19.1	2.64	False
Melanogenesis	96	0	18.6	3.039	False
Pperoxisome	95	0	18.4	4.131	False
Longevity regulating pathway	94	0	18.2	3.601	False
T cell receptor signaling pathway	93	0	18.0	3.75	False
Drug metabolism	93	0	18.0	2.027	False
Fat digestion and absorption	91	0	17.6	1.495	False
Insulin resistance	90	0	17.4	3.552	False
Progesterone-mediated oocyte maturation	87	0	16.8	2.814	False
C-type lectin receptor signaling pathway	86	0	16.6	3.799	False
Parathyroid hormone synthesis, secretion and action	81	0	15.7	3.449	False
Pentose and glucuronate interconversions	78	1	15.1	1.466	False
Th17 cell differentiation	77	0	14.9	3.964	False
Unfolded Protein Response	74	0	14.3	4.892	False
Glucagon signaling pathway	73	0	14.1	2.912	False
HIF-1 signaling pathway	73	0	14.1	3.87	False
Toxoplasmosis	72	0	13.9	4.447	False
Vitamin digestion and absorption	69	0	13.3	1.43	False
Leukocyte transendothelial migration	67	0	13.0	3.658	False
Protein digestion and absorption	66	0	12.8	1.833	False
Sphingolipid signaling pathway	64	0	12.4	4.189	False
GABAergic synapse	63	0	12.2	1.519	False
