sample_id	n_missense	n_scored	n_pathogenic	n_driver_pathogenic
TCGA-05-4244	3	3	1	1.0
TCGA-05-4249	5	4	3	2.0
TCGA-05-4250	9	9	5	1.0
TCGA-05-4382	15	13	4	2.0
TCGA-05-4384	3	2	2	1.0
TCGA-05-4389	5	4	4	1.0
TCGA-05-4390	5	4	3	1.0
TCGA-05-4395	9	9	6	5.0
TCGA-05-4396	6	6	3	0.0
TCGA-05-4397	13	13	5	2.0
TCGA-05-4398	4	4	2	1.0
TCGA-05-4402	0	0	0	
TCGA-05-4403	3	3	1	0.0
TCGA-05-4405	2	2	2	2.0
TCGA-05-4410	9	8	4	1.0
TCGA-05-4415	2	2	2	2.0
TCGA-05-4417	5	5	4	2.0
TCGA-05-4418	4	4	4	2.0
TCGA-05-4420	6	6	4	2.0
TCGA-05-4422	3	3	2	1.0
TCGA-05-4424	6	6	3	1.0
TCGA-05-4425	1	1	1	0.0
TCGA-05-4426	0	0	0	
TCGA-05-4427	21	21	14	3.0
TCGA-05-4430	5	5	4	1.0
TCGA-05-4432	6	6	4	3.0
TCGA-05-4433	3	3	2	2.0
TCGA-05-4434	1	1	1	0.0
TCGA-05-5420	1	1	1	0.0
TCGA-05-5423	5	5	4	3.0
TCGA-05-5425	9	7	5	1.0
TCGA-05-5428	8	6	2	1.0
TCGA-05-5429	1	1	1	0.0
TCGA-05-5715	0	0	0	
TCGA-17-Z000	3	3	2	1.0
TCGA-17-Z001	3	3	2	2.0
TCGA-17-Z002	0	0	0	
TCGA-17-Z003	4	4	2	1.0
TCGA-17-Z004	0	0	0	
TCGA-17-Z005	1	1	1	1.0
TCGA-17-Z007	1	1	1	1.0
TCGA-17-Z009	0	0	0	
TCGA-17-Z010	3	3	3	2.0
TCGA-17-Z011	2	2	1	0.0
TCGA-17-Z013	1	1	1	0.0
TCGA-17-Z015	4	4	1	0.0
TCGA-17-Z016	5	5	2	0.0
TCGA-17-Z017	5	5	4	2.0
TCGA-17-Z018	5	5	4	3.0
TCGA-17-Z019	0	0	0	
TCGA-17-Z020	2	2	1	1.0
TCGA-17-Z021	3	3	3	1.0
TCGA-17-Z022	23	23	16	3.0
TCGA-17-Z023	4	4	1	0.0
TCGA-17-Z025	3	3	0	0.0
TCGA-17-Z026	16	16	9	3.0
TCGA-17-Z027	2	2	1	1.0
TCGA-17-Z028	5	5	2	2.0
TCGA-17-Z032	4	4	2	1.0
TCGA-17-Z033	2	2	2	1.0
TCGA-17-Z036	3	3	2	2.0
TCGA-17-Z037	3	3	3	2.0
TCGA-17-Z041	2	2	1	0.0
TCGA-17-Z042	3	3	3	2.0
TCGA-17-Z043	3	3	2	1.0
TCGA-17-Z044	1	1	1	1.0
TCGA-17-Z045	4	4	2	1.0
TCGA-17-Z047	2	2	2	1.0
TCGA-17-Z048	0	0	0	
TCGA-17-Z049	4	4	1	1.0
TCGA-17-Z050	2	2	2	1.0
TCGA-17-Z051	0	0	0	
TCGA-17-Z052	1	1	1	1.0
TCGA-17-Z053	1	1	1	1.0
TCGA-17-Z054	1	1	0	0.0
TCGA-17-Z055	8	8	4	1.0
TCGA-17-Z056	6	6	3	1.0
TCGA-17-Z057	7	7	4	2.0
TCGA-17-Z058	2	2	0	0.0
TCGA-17-Z059	0	0	0	
TCGA-17-Z061	2	2	1	0.0
TCGA-17-Z062	6	6	4	1.0
TCGA-35-4122	6	6	3	0.0
TCGA-35-4123	4	4	2	1.0
TCGA-35-5375	10	10	7	1.0
TCGA-38-4625	8	7	2	2.0
TCGA-38-4626	2	2	2	1.0
TCGA-38-4627	2	2	2	2.0
TCGA-38-4628	1	1	0	0.0
TCGA-38-4629	5	5	3	1.0
TCGA-38-4630	1	1	0	0.0
TCGA-38-4631	11	11	4	1.0
TCGA-38-4632	5	5	3	2.0
TCGA-38-6178	1	1	1	1.0
TCGA-38-7271	0	0	0	
TCGA-38-A44F	0	0	0	
TCGA-44-2655	2	2	0	0.0
TCGA-44-2656	7	5	2	1.0
TCGA-44-2656_3	7	6	3	1.0
TCGA-44-2656_4	7	6	3	1.0
TCGA-44-2656_5	8	6	3	1.0
TCGA-44-2657	7	7	2	0.0
TCGA-44-2661	0	0	0	
TCGA-44-2662	3	2	1	1.0
TCGA-44-2662_3	3	2	1	1.0
TCGA-44-2662_4	4	3	2	1.0
TCGA-44-2665	1	1	1	0.0
TCGA-44-2665_3	1	1	1	0.0
TCGA-44-2666	1	0	0	0.0
TCGA-44-2666_3	1	0	0	0.0
TCGA-44-2666_4	1	0	0	0.0
TCGA-44-2668	7	6	3	2.0
TCGA-44-2668_3	5	5	2	1.0
TCGA-44-3396	3	3	2	1.0
TCGA-44-3398	2	2	2	0.0
TCGA-44-3917	5	5	4	4.0
TCGA-44-3918	7	7	2	0.0
TCGA-44-3918_3	7	7	3	1.0
TCGA-44-3919	0	0	0	
TCGA-44-4112	6	5	3	1.0
TCGA-44-4112_3	6	5	3	1.0
TCGA-44-4112_4	6	5	3	1.0
TCGA-44-4112_5	6	5	3	1.0
TCGA-44-4112_6	5	5	3	1.0
TCGA-44-5643	1	1	1	1.0
TCGA-44-5644	8	7	4	2.0
TCGA-44-5645	2	2	1	1.0
TCGA-44-5645_3	2	2	1	1.0
TCGA-44-5645_4	2	2	1	1.0
TCGA-44-5645_5	2	2	1	1.0
TCGA-44-6144	1	1	1	1.0
TCGA-44-6145	4	4	2	2.0
TCGA-44-6146	1	1	1	1.0
TCGA-44-6146_3	1	1	1	1.0
TCGA-44-6146_4	1	1	1	1.0
TCGA-44-6146_5	1	1	1	1.0
TCGA-44-6147	4	4	3	2.0
TCGA-44-6147_3	4	4	3	2.0
TCGA-44-6147_4	4	4	3	2.0
TCGA-44-6147_5	4	4	3	2.0
TCGA-44-6148	0	0	0	
TCGA-44-6774	3	2	1	1.0
TCGA-44-6775	1	1	1	1.0
TCGA-44-6775_3	1	1	1	1.0
TCGA-44-6775_4	1	1	1	1.0
TCGA-44-6775_5	0	0	0	
TCGA-44-6776	2	2	2	2.0
TCGA-44-6777	6	6	3	2.0
TCGA-44-6778	6	6	3	3.0
TCGA-44-6779	3	3	3	2.0
TCGA-44-7659	3	3	1	0.0
TCGA-44-7660	8	8	3	1.0
TCGA-44-7661	3	3	2	2.0
TCGA-44-7662	5	5	4	2.0
TCGA-44-7667	4	4	0	0.0
TCGA-44-7669	6	6	4	1.0
TCGA-44-7670	13	12	9	3.0
TCGA-44-7671	4	4	2	2.0
TCGA-44-8117	8	8	3	2.0
TCGA-44-8119	5	5	2	1.0
TCGA-44-8120	8	8	3	0.0
TCGA-44-A479	3	3	2	2.0
TCGA-44-A47A	6	6	4	1.0
TCGA-44-A47B	0	0	0	
TCGA-44-A47G	1	1	1	1.0
TCGA-44-A4SS	8	8	2	2.0
TCGA-44-A4SU	3	3	2	2.0
TCGA-49-4486	6	6	5	1.0
TCGA-49-4487	2	2	1	0.0
TCGA-49-4488	3	3	2	1.0
TCGA-49-4490	1	1	1	1.0
TCGA-49-4494	3	3	2	2.0
TCGA-49-4501	2	2	1	0.0
TCGA-49-4505	5	4	3	3.0
TCGA-49-4506	3	2	1	1.0
TCGA-49-4507	5	5	3	2.0
TCGA-49-4507_3	5	5	3	2.0
TCGA-49-4510	4	2	1	1.0
TCGA-49-4512	0	0	0	
TCGA-49-4514	4	4	3	2.0
TCGA-49-6742	5	5	1	1.0
TCGA-49-6743	7	7	5	3.0
TCGA-49-6744	3	3	3	1.0
TCGA-49-6745	1	1	1	0.0
TCGA-49-6761	1	1	0	0.0
TCGA-49-6767	7	7	2	0.0
TCGA-49-AAQV	3	3	2	1.0
TCGA-49-AAR0	1	1	1	1.0
TCGA-49-AAR2	2	2	2	1.0
TCGA-49-AAR3	4	4	1	1.0
TCGA-49-AAR4	4	4	4	2.0
TCGA-49-AAR9	12	11	8	4.0
TCGA-49-AARE	17	17	8	4.0
TCGA-49-AARN	12	12	5	2.0
TCGA-49-AARO	7	7	3	1.0
TCGA-49-AARQ	7	7	3	2.0
TCGA-49-AARR	0	0	0	
TCGA-4B-A93V	8	8	5	4.0
TCGA-50-5044	2	1	1	1.0
TCGA-50-5045	2	2	0	0.0
TCGA-50-5049	8	8	1	1.0
TCGA-50-5051	3	3	3	2.0
TCGA-50-5066	1	1	0	0.0
TCGA-50-5068	0	0	0	
TCGA-50-5072	2	2	2	2.0
TCGA-50-5930	15	14	6	0.0
TCGA-50-5931	5	5	1	0.0
TCGA-50-5932	1	1	1	1.0
TCGA-50-5933	4	3	1	1.0
TCGA-50-5935	0	0	0	
TCGA-50-5936	0	0	0	
TCGA-50-5939	4	4	2	2.0
TCGA-50-5941	3	2	1	1.0
TCGA-50-5942	2	1	1	1.0
TCGA-50-5944	1	1	1	1.0
TCGA-50-5946	10	9	4	0.0
TCGA-50-6590	12	10	2	1.0
TCGA-50-6591	1	1	1	1.0
TCGA-50-6592	4	4	4	2.0
TCGA-50-6593	3	3	1	0.0
TCGA-50-6594	5	4	2	1.0
TCGA-50-6595	3	3	3	2.0
TCGA-50-6597	0	0	0	
TCGA-50-6673	1	1	1	1.0
TCGA-50-7109	0	0	0	
TCGA-50-8457	2	2	2	1.0
TCGA-50-8459	3	3	2	1.0
TCGA-50-8460	3	3	1	1.0
TCGA-53-7624	15	15	7	1.0
TCGA-53-7626	5	5	4	1.0
TCGA-53-7813	3	3	2	1.0
TCGA-53-A4EZ	8	7	5	3.0
TCGA-55-1592	6	5	2	2.0
TCGA-55-1594	0	0	0	
TCGA-55-1595	4	4	2	1.0
TCGA-55-1596	3	3	3	3.0
TCGA-55-5899	3	3	1	1.0
TCGA-55-6543	1	1	0	0.0
TCGA-55-6642	2	2	2	1.0
TCGA-55-6712	3	3	0	0.0
TCGA-55-6968	8	7	4	0.0
TCGA-55-6970	1	1	1	1.0
TCGA-55-6971	0	0	0	
TCGA-55-6972	2	2	0	0.0
TCGA-55-6975	3	3	3	2.0
TCGA-55-6978	0	0	0	
TCGA-55-6979	0	0	0	
TCGA-55-6980	0	0	0	
TCGA-55-6981	1	1	1	0.0
TCGA-55-6982	6	6	4	0.0
TCGA-55-6983	2	1	1	1.0
TCGA-55-6984	1	1	1	1.0
TCGA-55-6985	4	4	3	1.0
TCGA-55-6986	0	0	0	
TCGA-55-6987	2	2	1	0.0
TCGA-55-7227	1	1	1	1.0
TCGA-55-7281	6	6	3	2.0
TCGA-55-7283	7	7	3	1.0
TCGA-55-7284	2	1	1	1.0
TCGA-55-7570	5	5	1	1.0
TCGA-55-7573	1	1	1	1.0
TCGA-55-7574	1	1	1	0.0
TCGA-55-7576	3	3	1	1.0
TCGA-55-7724	2	2	1	0.0
TCGA-55-7725	3	3	2	1.0
TCGA-55-7726	3	3	3	1.0
TCGA-55-7727	3	3	1	1.0
TCGA-55-7728	4	4	2	1.0
TCGA-55-7815	4	4	2	2.0
TCGA-55-7816	0	0	0	
TCGA-78-7158	8	8	5	1.0
TCGA-86-A4D0	7	7	4	3.0
