feature	coefficient
rna_TAP2	0.11601715596458013
rna_IDO2	-0.10850601498805133
rna_TGFB2	0.09784954252045784
rna_ARG2	-0.08562134676855634
rna_MS4A1	-0.08202882179318954
rna_CEBPB	0.07407791258725076
rna_KLRC1	-0.07356358043882366
rna_KLRK1	-0.06771835431792396
rna_RELB	0.06616041309818399
rna_CD7	0.06407098746060633
rna_ISG20	0.06311328351160438
rna_CX3CL1	-0.0592633510655484
rna_IL21	-0.048877326118156254
mut_EGFR	0.04752038265562567
rna_STAT1	0.04304463245430054
rna_XCR1	-0.04289141762840303
rna_NFKB2	0.04254332215349859
rna_TAP1	0.04246173079612873
rna_ENTPD1	-0.039387609905953844
rna_AREG	0.03921987677519634
rna_PSMB10	0.03919084552326137
rna_CD68	-0.03901979743651723
rna_IRF1	0.03877445200987908
rna_TNF	-0.03810358865131039
rna_HLA-DQA1	-0.03791725859075531
til_score	-0.03673360609078806
til_density	-0.0366029101204728
rna_HLA-DQB1	-0.03582155382429953
rna_CD40LG	-0.03561901013409237
rna_NCR3	-0.0352265485362426
rna_IL1A	0.03421259142301865
rna_CXCR6	-0.033161484170327986
rna_RELA	0.030251797416700758
rna_HLA-DRA	-0.02891712742344729
rna_TDO2	0.02696235504272551
rna_STAT3	-0.02636392006274335
rna_NFKB1	0.02207533538035489
rna_NOS2	0.019810225107308333
rna_CCL21	0.019578051518615094
rna_TNFSF9	0.019145159736150167
rna_OAS1	0.017194439014978788
rna_ADORA2A	0.016925171150604032
rna_CD79A	-0.01640446356786361
rna_S100A12	0.01617183490002282
rna_HLA-DRB1	-0.013309286262245295
rna_MRC1	-0.009612531859001327
mut_STK11	0.00894669636233077
rna_TNFSF4	0.008941013933927981
rna_IL10	-0.007178051784176158
rna_NCR1	-0.006774325691368138
rna_CD19	-0.005121642269678587
rna_HLA-DPB1	-0.004567462741164822
rna_IRF7	0.0036779249387547002
rna_FASLG	-0.0019486218855173216
rna_CXCL8	0.0005923952451973574
rna_CTLA4	-0.0004967595442329187
